,https://roic.ai/company/LXRX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4700000,14458561,305577000,35200000,42838000,61740000,75680000,72798000,50118000,32321000,10700000,4908000,1849000,1089000,2222000,22854000,130014000,83337000,90335000,63209000,322073000,23995000,298000
2,COGS,-2000000,-2620969,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1899000,2491000,3231000,1929000,- -
3,Gross Profit,6700000,17079530,- -,- -,- -,- -,- -,- -,- -,- -,10700000,4908000,1849000,- -,- -,- -,- -,- -,88436000,60718000,318842000,22066000,298000
4,Gross Profit Ratio,1.4255,1.1813,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,0.9790,0.9606,0.9900,0.9196,1.0000
5,Research and Development Exp.,14600000,31646848,53355000,74859000,82198000,90586000,93625000,106695000,104332000,108575000,81238000,75350000,91828000,82574000,89682000,89279000,95187000,178151000,156813000,100243000,91924000,153621000,55046000
6,General and Administrative Exp.,- -,18288628,20861000,- -,- -,- -,- -,- -,- -,- -,19418000,22566000,- -,17043000,17121000,19411000,23835000,43044000,66203000,63754000,- -,47230,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,18288628,20861000,- -,- -,- -,- -,- -,- -,- -,19418000,22566000,- -,17043000,17121000,19411000,23835000,43044000,66203000,63754000,- -,47230,32342000
9,Other Expenses,4900000,2620969,275000000,23234000,23233000,18608000,18174000,21334000,20740000,20281000,- -,2710000,24116000,- -,- -,- -,- -,- -,- -,- -,56835000,47182770,- -
10,Operating Expenses,19500000,52556445,349216000,98093000,105431000,109194000,111799000,128029000,125072000,128856000,100656000,100626000,115944000,99617000,106803000,108690000,119022000,221195000,223016000,163997000,148759000,200851000,87388000
11,COGS and Expenses,17500000,49935476,349216000,98093000,105431000,109194000,111799000,128029000,125072000,128856000,100656000,100626000,115944000,99617000,106803000,108690000,119022000,221195000,224915000,166488000,151990000,202780000,87388000
12,Interest Income ,- -,9904873,8781000,3230000,1796000,1638000,2645000,3653000,7286000,5762000,880000,519000,255000,213000,157000,2255000,572000,2293000,1954000,3508000,3350000,2767000,134000
13,Interest Expense (Gain),- -,422038,314000,7000,325000,2660000,3280000,3253000,2771000,2691000,2966000,2719000,2528000,2114000,1971000,2253000,6722000,6567000,6984000,20777000,20676000,14544000,802000
14,Depreciation and Amortization,2000000,2620969,16550000,20579000,21530000,12872000,11635000,11201000,10422000,10070000,6159000,5394000,4887000,4190000,2863000,1928000,727000,2056000,3399000,3683000,3654000,2934000,- -
15,EBITDA,-10500000,-22951073,-18308000,-39084000,-42343000,-31640000,-21281000,-39976000,-45601000,-64099000,-73757000,-93688000,-108800000,-103907000,-99292000,-96183000,2767000,-132806000,-131328000,-96088000,148449000,-41096000,-86956000
16,EBITDA ratio,-2.2340,-1.5874,-0.0599,-1.1103,-0.9884,-0.5125,-0.2812,-0.5491,-0.9099,-1.9832,-6.8932,-19.0888,-58.8426,-95.4151,-44.6859,-4.2086,0.0213,-1.5936,-1.4538,-1.5202,0.4609,-1.7127,-291.7987
17,Operating Income,-12800000,-35476915,-43639000,-62893000,-62593000,-47454000,-36119000,-55231000,-74954000,-96535000,-89956000,-95718000,-114095000,-108415000,-102371000,-100366000,1468000,-137155000,-136681000,-103279000,141445000,-47800000,-87090000
18,Operating Income ratio,-2.7234,-2.4537,-0.1428,-1.7867,-1.4612,-0.7686,-0.4773,-0.7587,-1.4956,-2.9868,-8.4071,-19.5024,-61.7063,-99.5546,-46.0716,-4.3916,0.0113,-1.6458,-1.5130,-1.6339,0.4392,-1.9921,-292.2483
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,1304000,75315000,109661000,3721000,-349000,-3463000,-6083000,-2120000,-1796000,-1755000,2000,-6150000,-4274000,-5030000,-17269000,-17326000,-10774000,-668000
