,https://roic.ai/company/VTNR,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10813447,3122277,2219000,1300000,389000,20000,- -,- -,- -,- -,93784,- -,- -,38703847,58140985,109740257,134573243,161967252,258904867,146942461,98078914,145499092,180720661,163365565,135028488,115781375
2,COGS,7620465,2798344,1366037,600000,356000,9000,- -,- -,- -,- -,2786448,- -,- -,35974295,53901041,101666187,124788116,145628215,244292715,136246273,81759814,123393313,151314039,134777113,118856361,111206796
3,Gross Profit,3192982,323933,852963,700000,33000,11000,- -,- -,- -,- -,-2692664,- -,- -,2729552,4239944,8074070,9785127,16339037,14612152,10696188,16319100,22105779,29406622,28588452,16172127,4574579
4,Gross Profit Ratio,0.2953,0.1037,0.3844,0.5385,0.0848,0.5500,- -,- -,- -,- -,-28.7113,- -,- -,0.0705,0.0729,0.0736,0.0727,0.1009,0.0564,0.0728,0.1664,0.1519,0.1627,0.1750,0.1198,0.0395
5,Research and Development Exp.,1061885,683732,315004,200000,- -,- -,- -,- -,284587,250060,273894,2380943,16359,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2567782,2650900,982575,900000,316000,132000,52000,16000,2124436,3351247,4154108,5251888,4832861,3089539,3093307,4099682,6137301,11472842,26073782,24046464,19966426,21685542,21927264,24182407,26144264,- -
7,Selling and Marketing Exp.,2803361,1064094,268239,- -,76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5371143,3714994,1250814,900000,392000,132000,52000,16000,2124436,3351247,4154108,5251888,4832861,3089539,3093307,4099682,6137301,11472842,26073782,24046464,19966426,21685542,21927264,24182407,26144264,17732690
9,Other Expenses,1425861,1671459,196579,200000,2000,- -,- -,- -,- -,- -,9737344,8454106,- -,- -,- -,- -,- -,- -,- -,7291413,6277215,6643324,6991010,7180089,1895588,107664
10,Operating Expenses,7858889,6070185,1762397,1300000,394000,132000,52000,16000,2409023,3601307,14165346,16086937,4849220,3089539,3093307,4099682,6137301,11472842,26073782,31337877,26243641,28328866,28918274,31362496,28039852,17840354
11,COGS and Expenses,15479354,8868529,3128434,1900000,750000,141000,52000,16000,2409023,3601307,16951794,16086937,4849220,39063834,56994348,105765869,130925417,157101057,270366497,167584150,108003455,151722179,180232313,166139609,146896213,129047150
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,63485,107810,579268,- -,- -,- -,- -,1740,- -,- -,- -,- -,- -,659,920197,- -,- -
13,Interest Expense (Gain),227841,- -,33815,- -,51000,49000,29000,- -,65195,- -,- -,- -,- -,- -,116747,62686,135364,422954,2636690,3580726,3094956,3483062,3281855,3070071,1042840,3487448
14,Depreciation and Amortization,832415,741498,398350,200000,2000,- -,- -,- -,8315,418163,3178771,2702060,6354,65572,145977,161048,711555,2320735,4277843,6636593,6277215,6643324,6991010,7180089,6985940,594092
15,EBITDA,-3773984,-2971802,685079,-600000,-342000,-110000,-1960000,-16000,-2400708,-3183144,-21777749,-13384877,-4842866,-543812,1511947,4135436,3104545,8923159,1380053,-6993570,5301704,1418730,8055098,2922210,-19142577,-16274573
16,EBITDA ratio,-0.3490,-0.9518,0.3087,-0.4615,-0.8792,-5.5000,-Infinity,-Infinity,-Infinity,-Infinity,-232.2118,-Infinity,-Infinity,-0.0141,0.0260,0.0377,0.0231,0.0551,0.0053,-0.0476,0.0541,0.0098,0.0446,0.0179,-0.1418,-0.1406
17,Operating Income,-4665907,-5746252,-909434,-600000,-361000,-121000,-52000,-16000,-2409023,-3601307,-18701625,-16086937,-4849220,-609384,1146637,3974388,2391250,7051203,-10494621,-14093041,-10112514,-6223087,488348,-2774044,-11867725,-15389478
18,Operating Income ratio,-0.4315,-1.8404,-0.4098,-0.4615,-0.9280,-6.0500,-Infinity,-Infinity,-Infinity,-Infinity,-199.4117,-Infinity,-Infinity,-0.0157,0.0197,0.0362,0.0178,0.0435,-0.0405,-0.0959,-0.1031,-0.0428,0.0027,-0.0170,-0.0879,-0.1329
19,Total Other Income Expenses (Gains),59508,827857,- -,-200000,17000,11000,1908000,- -,-65195,385962,-6254895,734268,-97130,-249397,102586,-62686,-133624,-439771,4634742,-3117848,6044226,-2189461,-2471927,-2711509,471550,-15015081
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-2474218,- -,-24956520,-15352669,-4946350,- -,1249223,3911702,2257626,6611432,-5859879,-17210889,-4068288,-8412548,-1983579,-5485553,-11396175,-30404559
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -,-266.1064,-Infinity,-Infinity,- -,0.0215,0.0356,0.0168,0.0408,-0.0226,-0.1171,-0.0415,-0.0578,-0.0110,-0.0336,-0.0844,-0.2626
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20797,-1841813,-1400641,-1700000,11763,5306000,-117646,-274423,- -,- -,- -,- -
23,Net Income,-4834240,-3713300,252914,-800000,-395000,-159000,1827000,-16000,-2474218,-3151860,-24956520,-15352669,-4946350,-609384,1228426,5753515,3658267,7879470,-5546243,-22516889,-3952821,-8433233,-2217767,-7327950,-27171357,-20356113
24,Net Income ratio,-0.4471,-1.1893,0.1140,-0.6154,-1.0154,-7.9500,Infinity,-Infinity,-Infinity,-Infinity,-266.1064,-Infinity,-Infinity,-0.0157,0.0211,0.0524,0.0272,0.0486,-0.0214,-0.1532,-0.0403,-0.0580,-0.0123,-0.0449,-0.2012,-0.1758
25,EPS,-209.58,-143.71,2.40,-5.99,-2.62,-1.06,11.98,-0.10,-1.40,-1.60,-13.40,-10.60,-5.50,-0.08,0.15,0.65,0.22,0.37,-0.23,-0.86,-0.51,-0.36,-0.23,-0.28,-0.68,-0.45
26,EPS Diluted,-209.58,-143.71,2.40,-5.99,-2.62,-1.06,11.98,-0.10,-1.40,-1.60,-13.40,-10.60,-5.50,-0.08,0.09,0.39,0.22,0.37,-0.23,-0.86,-0.51,-0.36,-0.23,-0.28,-0.68,-0.45
27,Weighted Average Shares Outstanding,22913,25439,109407,150709,150709,150709,155051,155259,1710455,2427766,2502153,2678345,2759431,7453958,8294436,8884681,16965464,21205609,23807780,28181096,30520820,32653402,35411264,40988946,45509470,45509470
28,Weighted Average Shares Outstanding Diluted,22913,25439,109407,150709,150709,150709,155051,155259,1710455,2427766,2502153,2678345,2759431,7453958,14128864,14775339,16965464,21205609,23807780,28181096,30520820,32653402,35411264,40988946,45509470,45509470
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890447/000101968707000902/0001019687-07-000902-index.html,- -,https://www.sec.gov/Archives/edgar/data/890447/000135448809000395/0001354488-09-000395-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209310000181/0001432093-10-000181-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209311000145/0001432093-11-000145-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000143209312000177/0001432093-12-000177-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000121478213000147/0001214782-13-000147-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000144530514001139/0001445305-14-001139-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828015002098/0001628280-15-002098-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828016014012/0001628280-16-014012-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828017002541/0001628280-17-002541-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828018002827/0001628280-18-002827-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828019002489/0001628280-19-002489-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828020002802/0001628280-20-002802-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828021004184/0001628280-21-004184-index.htm,https://www.sec.gov/Archives/edgar/data/890447/000162828022005958/0001628280-22-005958-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,226615,34559,71303,100000,11000,36000,1000,1000,1128502,2864377,14330840,2711200,7577949,514136,744313,675188,807940,2678628,6017076,765364,1701435,1105787,1349831,4099655,10895044,36129941
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7093418,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,226615,34559,71303,100000,11000,36000,1000,1000,1128502,2864377,14330840,9804618,7577949,514136,744313,675188,807940,2678628,6017076,765364,1701435,1105787,1349831,4099655,10895044,36129941
34,Net Receivables,323409,148228,193881,- -,4000,19000,- -,- -,- -,- -,12517,- -,- -,2188423,1482510,5438465,7160780,11714813,13866233,6315414,10952219,11288991,9165202,12206684,11138933,5296867
35,Inventory,1831217,213717,314350,100000,48000,- -,- -,- -,- -,- -,- -,- -,- -,2978883,3901781,6408780,5870121,8540459,12620616,3548311,4357958,6304842,8091397,6547479,4439839,3735878
36,Other Current Assets,1730215,10500,7452,100000,- -,- -,- -,- -,94203,524966,174589,1419949,56350,115541,100485,151821,492467,1161721,1245307,12537685,4173840,1771832,4936482,4553090,3311573,188988862
37,Total Current Assets,4111456,407004,586986,300000,63000,55000,1000,1000,1222705,3389343,14517946,11224567,7634299,5796983,6229089,12674254,14331308,24095621,33749232,23166774,21185452,20471452,23542912,27406908,29785389,234151548
38,PP&E,648632,243133,92072,-200000,- -,- -,- -,- -,4998869,17036101,9267727,35302,- -,75807,76290,124168,11617368,15091176,56161348,53028607,50029934,48619828,47285007,81199852,81293103,16778048
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3515977,4502743,4922353,- -,- -,176349,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,450625,450625,1266014,- -,- -,1675197,1833966,1929549,15934724,15172816,18512960,16967985,15252332,14323005,12578519,11243800,9397441,358882
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,450625,450625,1266014,- -,- -,1675197,1833966,1929549,19450701,19675559,23435313,16967985,15252332,14499354,12578519,11243800,9397441,358882
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2006000,3703000,5684000,9495000,- -,- -,274423,137211,68605,- -,- -
44,Other Non-Current Assets,1015486,481948,230175,- -,16000,21000,- -,- -,114278,104839,36519,36519,4719,- -,- -,- -,- -,- -,10981338,2175322,518250,440417,616759,840754,1624025,14771642
45,Total Non-Current Assets,1664118,725081,322247,- -,16000,21000,- -,- -,5563772,17591565,10570260,71821,4719,1751004,1910256,4059717,34771069,40450735,100072999,72171914,65800516,63834022,60617496,93353011,92314569,31908572
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5775574,1132085,909233,300000,79000,76000,1000,1000,6786477,20980908,25088206,11296388,7639018,7547987,8139345,16733971,49102377,64546356,133822231,95338688,86985968,84305474,84160408,120759919,122099958,266060119
48,Accounts Payable,4340981,63518,562648,100000,1137000,1293000,7000,2000,1380791,1292810,503752,359988,229734,5580289,407273,620724,8869234,- -,- -,13244388,9440696,10318738,8791529,7620098,10484911,4216275
49,Short-Term Debt,- -,185000,50000,600000,620000,620000,- -,- -,5343,250000,45615,49524,- -,- -,- -,- -,1749329,1956847,40629339,21414433,12508474,6208453,5265733,11396043,10611631,3675034
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11396000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,463210,323891,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,857922,138320,223509,900000,- -,- -,- -,18000,369445,786295,382621,399173,94496,841855,4593199,6699750,- -,14096185,21984136,376571,504474,420713,2938349,5781158,2753870,41262214
53,Total Current Liabilities,5198903,386838,836157,1600000,1757000,1913000,7000,20000,1755579,2329105,931988,808685,324230,6422144,5000472,7320474,10618563,16053032,63076685,35359283,22453644,16947904,16995611,24797299,23850412,49153523
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,17025,2957169,- -,- -,- -,- -,- -,- -,13031457,6558851,1867574,5539659,1848111,13531179,14402179,12433000,7981496,68182290
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000,341000,378000,4189000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,3229376,570000,- -,- -,- -,- -,- -,- -,9068509,14587200,22843466,33054235,- -,600000,- -,4711000,3220250,6069000,1548604,4365992,2482088,1773611,36678141,60588789,75210525
58,Total Non-Current Liabilities,- -,3229376,570000,- -,- -,- -,- -,- -,17025,12025678,14587200,22843466,33054235,- -,600000,76000,18083457,10157101,12125574,7088263,6214103,16013267,16175790,49111141,68570285,143392815
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80351,30826,- -,- -,- -,- -,- -,- -,665409,186948,133153,- -,372212,36414499,34757719,5313620
61,Total Liabilities,5198903,3616214,1406157,1600000,1757000,1913000,7000,20000,1772604,14354783,15519188,23652151,33378465,6422144,5600472,7396474,28702020,26210133,75202259,42447546,28667747,32961171,33171401,73908440,92420697,192546338
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4756,4676,4427,1513,1319,630,11955820,17088627,22960431,22180383,23749873,23754932,386
63,Common Stock,13949,16012,90246,100000,90000,90000,94000,97000,22725,24686,25412,27575,27595,8254,8371,9415,16965,21206,28109,28239,33151,32658,40175,43396,45555,63288
64,Retained Earnings,-27183923,-30897223,-587170,-1400000,-1768000,-1927000,-100000,-116000,-3705712,-7600105,-41635863,-70000282,-85205864,-977674,250752,6004267,9662534,17542004,11995761,-12106971,-27958578,-39816300,-47800886,-59246514,-90008778,-110614035
65,Other Comprehensive Income/Loss,-1376449,-230611,-314002,-200000,-190000,-190000,- -,- -,-16508,-30958,-944365,-165944,- -,- -,- -,- -,-335167,-1353170,-3758373,-7818217,-12286874,-16617824,-19927479,-24708151,- -,- -
66,Other Total Stockholders Equity,29123094,28627693,314002,200000,190000,190000,- -,- -,8713368,14232502,52123834,57782888,59438822,2090507,2275074,3319388,11054512,20932902,50353845,60832271,81337998,84386333,95058601,106235502,94569674,138620254
67,Total Stockholders Equity,576671,-2484129,-496924,-1300000,-1678000,-1837000,-6000,-19000,5013873,6626125,9569018,-12355763,-25739447,1125843,2538873,9337497,20400357,37144261,58619972,52891142,58214324,50945298,49550794,46074106,28361383,28069893
