,https://roic.ai/company/TIGO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,61300000,81400000,131400000,215600000,347400000,447900000,552401000,570840000,644570000,605186000,647104000,921466000,1083669000,1576100000,2630614000,3412380000,3372727000,3920249000,4529597000,4814000000,5159000000,6386000000,6730000000,4374000000,4133000000,4075000000,4336000000,4172000000,4617000000
2,COGS,25900000,34500000,52900000,85000000,130000000,159300000,197358000,158032000,185253000,164707000,258002000,388334000,356064000,616739000,980056000,1255077000,1202902000,1331003000,1564401000,1737000000,2041000000,2522000000,1854000000,1279000000,1218000000,1146000000,1201000000,1171000000,1302000000
3,Gross Profit,35400000,46900000,78500000,130600000,217400000,288600000,355043000,412808000,459317000,440479000,389102000,533132000,727605000,959361000,1650558000,2157303000,2169825000,2589246000,2965196000,3077000000,3118000000,3864000000,4876000000,3095000000,2915000000,2929000000,3135000000,3001000000,3315000000
4,Gross Profit Ratio,0.5775,0.5762,0.5974,0.6058,0.6258,0.6443,0.6427,0.7232,0.7126,0.7278,0.6013,0.5786,0.6714,0.6087,0.6274,0.6322,0.6433,0.6605,0.6546,0.6392,0.6044,0.6051,0.7245,0.7076,0.7053,0.7188,0.7230,0.7193,0.7180
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,18400000,38100000,61400000,69300000,122600000,160900000,246055000,183675000,200065000,190530000,196024000,250105000,299763000,530208000,987632000,1228582000,606213000,738779000,839423000,956000000,1099000000,1432000000,847000000,618000000,577000000,669000000,497000000,478000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,647009000,737691000,816715000,914000000,1076000000,1280000000,833000000,528000000,469000000,404000000,402000000,396000000,- -
8,"Selling, General and Administrative Exp.",18400000,38100000,61400000,69300000,122600000,160900000,246055000,183675000,200065000,190530000,196024000,250105000,299763000,530208000,987632000,1228582000,1253222000,1476470000,1656138000,1870000000,2175000000,2712000000,1680000000,1146000000,1046000000,1073000000,899000000,874000000,- -
9,Other Expenses,7700000,9400000,18600000,27900000,48200000,80000000,102917000,248818000,201513000,241221000,32776000,34145000,69814000,-12135000,- -,61438000,65580000,71046000,52037000,103000000,162000000,228000000,2212000000,1583000000,1437000000,1430000000,1806000000,1841000000,2867000000
10,Operating Expenses,26100000,47500000,80000000,97200000,170800000,240900000,348972000,432493000,401578000,431751000,228800000,284250000,369577000,518073000,987632000,1290020000,1318802000,1547516000,1708175000,1973000000,2337000000,2940000000,4085000000,2729000000,2483000000,2503000000,2705000000,2715000000,2867000000
11,COGS and Expenses,52000000,82000000,132900000,182200000,300800000,400200000,546330000,590525000,586831000,596458000,486802000,672584000,725641000,1134812000,1967688000,2545097000,2521704000,2878519000,3272576000,3710000000,4378000000,5462000000,5939000000,4008000000,3701000000,3649000000,3906000000,3886000000,4169000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11573000,14748000,15000000,14000000,23000000,22000000,22000000,22000000,16000000,21000000,20000000,13000000,23000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173475000,214810000,187000000,220000000,276000000,426000000,442000000,394000000,316000000,326000000,505000000,542000000,476000000
14,Depreciation and Amortization,7700000,9400000,18600000,27900000,48200000,80000000,102917000,143329000,154191000,139318000,128569000,170994000,218590000,257757000,354940000,515908000,611435000,676986000,738980000,811000000,875000000,1158000000,1321000000,932000000,879000000,830000000,1100000000,1208000000,1196000000
15,EBITDA,58000000,30200000,-3700000,22500000,-46200000,154700000,95401000,524981000,24355000,-116147000,359761000,298135000,293932000,544909000,1139159000,1084643000,1823696000,2771125000,1832148000,1932000000,1562000000,4483000000,1495000000,1474000000,1438000000,1262000000,1874000000,1508000000,2451000000
16,EBITDA ratio,0.9462,0.3710,-0.0282,0.1044,-0.1330,0.3454,0.1727,0.9197,0.0378,-0.1919,0.5560,0.3235,0.2712,0.3457,0.4330,0.3179,0.5407,0.7069,0.4045,0.4013,0.3028,0.7020,0.2221,0.3370,0.3479,0.3097,0.4322,0.3615,0.5309
17,Operating Income,9300000,-600000,-1500000,33400000,46600000,47700000,6071000,-50623000,57739000,8728000,160302000,248882000,202173000,441288000,662926000,867283000,851023000,1041730000,1257021000,1104000000,781000000,924000000,791000000,482000000,629000000,655000000,575000000,446000000,659000000
18,Operating Income ratio,0.1517,-0.0074,-0.0114,0.1549,0.1341,0.1065,0.0110,-0.0887,0.0896,0.0144,0.2477,0.2701,0.1866,0.2800,0.2520,0.2542,0.2523,0.2657,0.2775,0.2293,0.1514,0.1447,0.1175,0.1102,0.1522,0.1607,0.1326,0.1069,0.1427
19,Total Other Income Expenses (Gains),41200000,21400000,-20800000,-38800000,-141000000,27000000,-13587000,428707000,-187575000,-241699000,85585000,-104951000,-133638000,-87287000,-123484000,-163076000,-159435000,828433000,-185828000,-207000000,-394000000,2112000000,-944000000,-411000000,-474000000,-526000000,-357000000,-717000000,73000000
20,Income Before Tax,50500000,20800000,-22300000,-5400000,-94400000,74700000,-7516000,378084000,-129836000,-232971000,245887000,143931000,68535000,354001000,539442000,704207000,691588000,1870163000,1071193000,897000000,387000000,3036000000,-153000000,71000000,155000000,129000000,218000000,-271000000,732000000
21,Income Before Tax Ratio,0.8238,0.2555,-0.1697,-0.0250,-0.2717,0.1668,-0.0136,0.6623,-0.2014,-0.3850,0.3800,0.1562,0.0632,0.2246,0.2051,0.2064,0.2051,0.4771,0.2365,0.1863,0.0750,0.4754,-0.0227,0.0162,0.0375,0.0317,0.0503,-0.0650,0.1585
