,https://roic.ai/company/MPVDF,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,139919,100584,99695,100709,99623,100043,2,17902,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170108000,310969000,276334000,226993000,308723000
2,COGS,- -,- -,- -,100709,- -,- -,-7247,-15601,- -,5307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117975000,229938000,251491000,228478000,194995000
3,Gross Profit,- -,- -,- -,- -,- -,- -,7249,33503,- -,-5307,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52133000,81031000,24843000,-1485000,113728000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,4597.7752,1.8715,- -,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3065,0.2606,0.0899,-0.0065,0.3684
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1711997,2109551,3111227,3195272,3725219,3121715,6186038,6171969,9081000,7811000,6621000,7676000,8388000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82816,78499,109854,- -,179277,- -,- -,- -,6493000,6607000,6219000,5259000,5259000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1794813,2188050,3221081,3195272,3904496,3121715,6186038,6171969,15574000,14418000,12840000,12935000,13647000
9,Other Expenses,- -,1299443,1899751,2400000,2800000,2199507,1900671,1469952,1564009,1225048,847519,1130830,1360738,1189605,- -,- -,9047374,11011745,23054870,1729335,226864,510671,1053000,8882000,10206000,5077000,6468000
10,Operating Expenses,- -,1299443,1899751,2400000,2800000,2199507,1900671,1469952,1564009,1225048,847519,1130830,1360738,1189605,1794813,2188050,12268455,14207017,26959366,4851050,6412902,6682640,16627000,23300000,23046000,18012000,20115000
11,COGS and Expenses,- -,1299443,1899751,2500709,2800000,2199507,1893424,1454351,1564009,1230355,847519,1130830,1360738,1189605,1794813,2188050,12268455,14207017,26959366,4851050,6412902,6682640,134602000,253238000,274537000,246490000,215110000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,12127,- -,- -,- -,- -,36782,122590,303354,147762,355428,458659,1130419,976039,1081000,582000,521000,170000,202000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1137,- -,- -,- -,- -,2355,- -,63315,- -,- -,- -,- -,104138,30419000,34628000,33048000,34015000,32476000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,29508,19356,17319,2853,2135,1082,1676,14239,- -,- -,14789,21246,259334,6795,8537,16254,44634000,79441000,83043000,63929000,39384000
15,EBITDA,-839513,-1000408,-1700360,-3300709,-4800000,-2099464,-3014830,-1423310,-1381392,-633861,-3212018,-49748,-879062,-2250786,-1758031,-2188050,-12679832,-24907416,-26700032,-4842567,31228285,-5945175,92205000,99253000,-15848000,-165485000,368747000
