,https://roic.ai/company/IRS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,172865420,200899500,167646464,173725626,216895493,214092943,261692755,369730197,578322881,721926434,1082966419,1220584000,1323326000,1441930000,1567251000,2187180000,2845176000,3402629000,32675000000,74172000000,33088000000,59410000000,95793000000,12978000000
2,COGS,81283740,92053950,62435510,87938205,124559190,143726634,147917543,166734051,244100647,304548078,489085023,508506000,475295000,600755000,550331000,1087611000,1354493000,1510574000,22499000000,51521000000,19629000000,42000000000,62204000000,6564000000
3,Gross Profit,91581680,108845550,105210954,85787420,92336303,70366309,113775212,202996146,334222233,417378356,593881396,712078000,848031000,841175000,1016920000,1099569000,1490683000,1892055000,10176000000,22651000000,13459000000,17410000000,33589000000,6414000000
4,Gross Profit Ratio,0.5298,0.5418,0.6276,0.4938,0.4257,0.3287,0.4348,0.5490,0.5779,0.5781,0.5484,0.5834,0.6408,0.5834,0.6489,0.5027,0.5239,0.5561,0.3114,0.3054,0.4068,0.2930,0.3506,0.4942
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147329000,195291000,200359000,217406000,194841000,296928000,374481000,1933000000,3146000000,3061000000,5982000000,7317000000,2396000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236201000,185401000,106704000,108514000,106125000,146236000,193470000,5948000000,13441000000,4669000000,8734000000,13757000000,1490000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383530000,380692000,307063000,325920000,300966000,443164000,567951000,7881000000,16587000000,7730000000,14716000000,21074000000,3886000000
9,Other Expenses,42391520,48375800,59732051,46420358,140676498,50140695,8699117,61902163,131570601,223370107,339340062,32832000,-72392000,-51289000,-43390000,13270000,-6575000,9715000,32000000,863000000,870000000,2286000000,2584000000,617000000
10,Operating Expenses,42391520,48375800,59732051,46420358,140676498,50140695,8699117,61902163,131570601,223370107,339340062,416362000,308300000,255774000,282530000,314236000,436589000,577666000,7913000000,17450000000,8600000000,17002000000,23658000000,4503000000
11,COGS and Expenses,123675260,140429750,122167562,134358563,265235688,193867329,156616660,228636215,375671248,527918185,828425084,924868000,783595000,856529000,832861000,1401847000,1791082000,2088240000,30412000000,68971000000,28229000000,59002000000,85862000000,11067000000
12,Interest Income ,- -,- -,- -,- -,9912027,- -,- -,- -,- -,21659546,- -,11813000,20204000,20000000,279160000,38244000,75680000,65840000,767000000,848000000,740000000,1304000000,1623000000,457000000
13,Interest Expense (Gain),- -,- -,- -,- -,16520046,- -,- -,12212443,- -,65014897,- -,331518000,146402000,230811000,279123000,320956000,470488000,627773000,2381000000,6474000000,7671000000,15344000000,20346000000,6506000000
14,Depreciation and Amortization,7298540,9995000,13303339,11809819,21587496,79211882,68752325,74928577,81403926,96059843,116493167,133370000,159981000,154126000,159309000,220021000,225819000,175281000,2694000000,4715000000,3737000000,7503000000,16268000000,642000000
15,EBITDA,45690860,58470750,25898819,-16250375,-464453755,365798974,182719929,243527255,236941917,351275647,249321928,703857000,789311000,771565000,821196000,912561000,-154447000,1250127000,4531000000,17134000000,26287000000,-4458000000,57732000000,-1108000000
16,EBITDA ratio,0.2643,0.2910,0.1545,-0.0935,-2.1414,1.7086,0.6982,0.6587,0.4097,0.4866,0.2302,0.5767,0.5965,0.5351,0.5240,0.4172,-0.0543,0.3674,0.1387,0.2310,0.7945,-0.0750,0.6027,-0.0854
17,Operating Income,49190160,60469750,45478902,39368063,-48336285,20225614,105076095,141093982,202648546,194008249,254541334,295716000,539731000,585401000,734390000,1075638000,1237156000,2515362000,3432000000,9550000000,28114000000,-12073000000,38339000000,-5949000000
18,Operating Income ratio,0.2846,0.3010,0.2713,0.2266,-0.2229,0.0945,0.4015,0.3816,0.3504,0.2687,0.2350,0.2423,0.4079,0.4060,0.4686,0.4918,0.4348,0.7392,0.1050,0.1288,0.8497,-0.2032,0.4002,-0.4584
19,Total Other Income Expenses (Gains),-10797840,-11994000,-32883422,-67428257,-454225012,266361478,21778871,38432682,-19892564,27902378,-93843482,-82092000,-13350000,-141008000,-337907000,-645583000,-2133040000,-1957027000,-4573000000,-4433000000,-19422000000,-16944000000,-25824000000,-1046000000
20,Income Before Tax,38392320,48475750,12595480,-28060194,-502561297,286587092,126854966,179526665,182755982,221910626,160697853,213624000,526381000,444393000,396483000,430055000,-895884000,558335000,-1141000000,5117000000,8692000000,-29017000000,12515000000,-6995000000
21,Income Before Tax Ratio,0.2221,0.2413,0.0751,-0.1615,-2.3171,1.3386,0.4847,0.4856,0.3160,0.3074,0.1484,0.1750,0.3978,0.3082,0.2530,0.1966,-0.3149,0.1641,-0.0349,0.0690,0.2627,-0.4884,0.1306,-0.5390
22,Income Tax expense (Gain),1599680,3998000,6690662,2587741,10244383,-1414846,25807281,53185175,58856551,85544327,78018942,80334000,148427000,104524000,102683000,132847000,-64267000,488266000,149000000,2915000000,-124000000,-1690000000,6869000000,21673000000
