,https://roic.ai/company/ENTX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,500000,236000,365000,571000
2,COGS,- -,- -,- -,- -,210000,209000,373000
3,Gross Profit,- -,- -,- -,- -,26000,156000,198000
4,Gross Profit Ratio,- -,- -,- -,- -,0.1102,0.4274,0.3468
5,Research and Development Exp.,2115000,2648000,2768000,8518000,7199000,6398000,6771000
6,General and Administrative Exp.,1586000,2719000,8575000,2843000,4281000,4891000,5690000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1586000,2719000,8575000,2843000,4281000,4891000,5690000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3701000,5367000,11343000,11361000,11480000,11289000,12461000
11,COGS and Expenses,3701000,5367000,11343000,11361000,11690000,11498000,12834000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,28000,35000,43000,54000,238000,225000,53000
15,EBITDA,-3673000,-5332000,-11446000,-10250000,-10557000,-9738000,12299000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-20.5000,-44.7331,-26.6795,21.5394
17,Operating Income,-3701000,-5367000,11343000,-10861000,-11454000,-11133000,-12217000
18,Operating Income ratio,-Infinity,-Infinity,Infinity,-21.7220,-48.5339,-30.5014,-21.3958
19,Total Other Income Expenses (Gains),-581000,4168000,-22540000,557000,659000,1170000,24463000
20,Income Before Tax,-4282000,-1199000,-11197000,-10304000,-10795000,-9963000,12246000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-20.6080,-45.7415,-27.2959,21.4466
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,20000,59000
23,Net Income,-4282000,-1199000,-11197000,-10304000,-10795000,-9983000,12187000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-20.6080,-45.7415,-27.3507,21.3433
25,EPS,-0.36,-0.10,-1.35,-1.30,-0.89,-0.54,0.42
26,EPS Diluted,-0.36,-0.10,-1.39,-1.31,-0.89,-0.55,0.42
27,Weighted Average Shares Outstanding,11897252,11897252,8573391,7955447,12146729,18417093,28680833
28,Weighted Average Shares Outstanding Diluted,11897252,11897252,11897252,7983402,12146729,18563675,28680833
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1638097/000117891319000961/0001178913-19-000961-index.html,https://www.sec.gov/Archives/edgar/data/1638097/000117891320000939/0001178913-20-000939-index.html,- -,https://www.sec.gov/Archives/edgar/data/1638097/000117891322000994/0001178913-22-000994-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,1205000,4163000,11746000,7506000,15185000,8593000,24892000
32,Short-Term Investments,- -,- -,- -,4015000,- -,- -,- -
33,Cash and Short-Term Investments,1205000,4163000,11746000,11521000,15185000,8593000,24892000
34,Net Receivables,- -,- -,- -,725000,278000,255000,183000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,695000,1270000,671000,220000,173000,261000,254000
37,Total Current Assets,1900000,5433000,12417000,12466000,15636000,9109000,25329000
38,PP&E,193000,199000,207000,224000,462000,548000,395000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,654000,654000,654000,- -,- -,- -,- -
41,Intangible Assets,654000,654000,654000,651000,605000,605000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,217000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,46000
45,Total Non-Current Assets,847000,853000,861000,875000,1067000,1153000,658000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2747000,6286000,13278000,13341000,16703000,10262000,25987000
