,https://roic.ai/company/DERM,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,7300000,7300000,22585000,4541000,42339000,34921000,44531000,63134000
2,COGS,- -,- -,- -,- -,1176000,10532000,14594000,32084000
3,Gross Profit,- -,- -,- -,- -,41163000,24389000,29937000,31050000
4,Gross Profit Ratio,- -,- -,- -,- -,0.9722,0.6984,0.6723,0.4918
5,Research and Development Exp.,30710000,66831000,83166000,104409000,80547000,- -,- -,2739000
6,General and Administrative Exp.,8288000,17721000,30043000,71903000,172581000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8288000,17721000,30043000,71903000,172581000,- -,- -,39833000
9,Other Expenses,- -,2518000,- -,128555000,2017000,19130000,22086000,55443000
10,Operating Expenses,38998000,87070000,113209000,304867000,255145000,19130000,22086000,98015000
11,COGS and Expenses,38998000,87070000,113209000,304867000,256321000,29662000,36680000,130099000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,-2000
13,Interest Expense (Gain),153000,147000,1540000,8140000,15639000,255000,698000,7034000
14,Depreciation and Amortization,47000,72000,123000,339000,555000,90000,96000,2658000
15,EBITDA,-31644000,-78802000,-87421000,-294782000,-205540000,5349000,7947000,-32668000
16,EBITDA ratio,-4.3348,-10.7948,-3.8708,-64.9157,-4.8546,0.1532,0.1785,-0.5174
17,Operating Income,-31698000,-79770000,-90624000,-300326000,-213982000,5259000,7851000,-34881000
18,Operating Income ratio,-4.3422,-10.9274,-4.0126,-66.1365,-5.0540,0.1506,0.1763,-0.5525
19,Total Other Income Expenses (Gains),-146000,749000,1540000,-2935000,-7752000,-255000,-698000,-7479000
20,Income Before Tax,-31844000,-79021000,-89084000,-303261000,-221734000,5004000,7153000,-42360000
21,Income Before Tax Ratio,-4.3622,-10.8248,-3.9444,-66.7829,-5.2371,0.1433,0.1606,-0.6710
22,Income Tax expense (Gain),31000,-622000,- -,- -,-194000,1379000,1870000,1634000
23,Net Income,-31875000,-78399000,-89084000,-303261000,-221540000,3625000,5283000,-43994000
24,Net Income ratio,-4.3664,-10.7396,-3.9444,-66.7829,-5.2325,0.1038,0.1186,-0.6968
25,EPS,-4.96,-2.93,-2.70,-7.48,-5.27,0.22,0.32,-2.68
26,EPS Diluted,-4.96,-2.93,-2.70,-7.48,-5.27,0.22,0.32,-2.68
27,Weighted Average Shares Outstanding,6426020,26727390,33044850,40562000,42003000,16441244,16441244,16441244
28,Weighted Average Shares Outstanding Diluted,6426020,26727390,33044850,40562000,42003000,16441244,16441244,16441244
