,https://roic.ai/company/SBLK,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,3633000,238883000,142351000,121042000,107065000,86162000,69894000,147387000,234286000,222106000,331976000,651561000,821365000,693241000
2,COGS,- -,- -,- -,43000,29702000,51664000,45764000,50772000,86138000,54216000,138108000,292154000,263763000,265863000,466507000,709061000,594873000
3,Gross Profit,- -,- -,- -,3590000,209181000,90687000,75278000,56293000,24000,15678000,9279000,-57868000,-41657000,66113000,185054000,112304000,98368000
4,Gross Profit Ratio,- -,- -,- -,0.9882,0.8757,0.6371,0.6219,0.5258,0.0003,0.2243,0.0630,-0.2470,-0.1876,0.1991,0.2840,0.1367,0.1419
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,7756000,21672000,9513000,15568000,- -,9320000,9910000,32723000,23621000,24602000,30955000,33972000,34819000,31881000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,7756000,21672000,9513000,15568000,- -,9320000,9910000,32723000,23621000,24602000,30955000,33972000,34819000,31881000
9,Other Expenses,- -,- -,- -,1390000,50799000,55273000,24503000,59042000,-3507000,-3787000,-10003000,-592000,-1565000,-2918000,722000,-816000,-2858000
10,Operating Expenses,- -,- -,- -,9146000,72471000,64786000,40071000,59042000,5813000,6123000,22720000,23029000,23037000,28037000,34694000,34003000,29023000
11,COGS and Expenses,- -,50211,1211100,9189000,102173000,116450000,85835000,109814000,91951000,60339000,160828000,315183000,286800000,293900000,501201000,743064000,623896000
12,Interest Income ,- -,183542,4395873,9021000,1201000,806000,525000,744000,246000,230000,629000,1090000,876000,2997000,1866000,1299000,267000
13,Interest Expense (Gain),- -,- -,- -,45000,10238000,9914000,5916000,5227000,7838000,6814000,8579000,26306000,37761000,47243000,68221000,80375000,59227000
14,Depreciation and Amortization,- -,- -,408,745000,51050000,58298000,46937000,50224000,39414000,22413000,43263000,91610000,82189000,82623000,101032000,122267000,142293000
15,EBITDA,- -,-50211,-971134,4210000,195026000,9797000,47722000,-14108000,-267269000,31077000,40119000,-340261000,-34011000,120331000,227711000,186550000,211332000
16,EBITDA ratio,- -,-Infinity,-Infinity,1.1588,0.8164,0.0688,0.3943,-0.1318,-3.1019,0.4446,0.2722,-1.4523,-0.1531,0.3625,0.3495,0.2271,0.3048
17,Operating Income,- -,-50211,-1211100,-5556000,142775000,-49307000,260000,-64769000,-5789000,8434000,-1432000,-425574000,-64694000,38844000,131938000,78301000,69345000
18,Operating Income ratio,- -,-Infinity,-Infinity,-1.5293,0.5977,-0.3464,0.0021,-0.6050,-0.0672,0.1207,-0.0097,-1.8165,-0.2913,0.1170,0.2025,0.0953,0.1000
19,Total Other Income Expenses (Gains),- -,183542,4395873,8976000,-9037000,-9108000,-34947000,-62327000,-308732000,-6584000,-10291000,-32603000,-89267000,-48379000,-73480000,-94393000,-59533000
20,Income Before Tax,- -,133331,3184773,3420000,133738000,-58415000,- -,- -,-314521000,1850000,-11723000,-458177000,-153961000,-9535000,58458000,-16092000,9812000
21,Income Before Tax Ratio,- -,Infinity,Infinity,0.9414,0.5598,-0.4104,- -,- -,-3.6503,0.0265,-0.0795,-1.9556,-0.6932,-0.0287,0.0897,-0.0196,0.0142
22,Income Tax expense (Gain),- -,23000,206687,9000,- -,- -,- -,- -,- -,- -,- -,- -,267000,236000,61000,109000,152000
23,Net Income,- -,110331,2978086,3411000,133738000,-58415000,-5131000,-69559000,-314521000,1850000,-11723000,-458177000,-154228000,-9771000,58397000,-16201000,9660000
24,Net Income ratio,- -,Infinity,Infinity,0.9389,0.5598,-0.4104,-0.0424,-0.6497,-3.6503,0.0265,-0.0795,-1.9556,-0.6944,-0.0294,0.0896,-0.0197,0.0139
25,EPS,- -,0.73,7.31,8.04,191.25,-72.00,-6.00,-72.75,-291.60,0.65,-1.00,-11.70,-3.24,-0.16,0.76,-0.17,0.10
26,EPS Diluted,- -,0.73,7.31,6.58,184.50,-72.00,-6.00,-72.75,-291.60,0.65,-1.00,-11.70,-3.24,-0.16,0.76,-0.17,0.10
27,Weighted Average Shares Outstanding,- -,135682,397090,411303,699709,811649,819859,947301,1078626,2810268,11688238,39124672,47574454,63034394,77061227,93735549,96128173
28,Weighted Average Shares Outstanding Diluted,- -,135682,397090,503667,725976,811649,819859,947301,1078626,2823277,11688238,39124672,47574454,63034394,77326111,93735549,96281389
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386716/000091957409008897/d968870_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957410002702/0000919574-10-002702-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957411002542/d1183687_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957412002515/0000919574-12-002515-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957413002451/0000919574-13-002451-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957414002395/d1460935_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000156761915000448/s000840x1_20f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000156761916002064/0001567619-16-002064-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000156761917000493/0001567619-17-000493-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036118014673/0001140361-18-014673-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036119005312/0001140361-19-005312-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036120007197/0001140361-20-007197-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,593281,2118141,18985000,31989000,40142000,12824000,15072000,12950000,44298000,86000000,208056000,181758000,257911000,204921000,117819000,183211000
32,Short-Term Investments,- -,188858542,192915257,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,189451823,195033398,18985000,31989000,40142000,12824000,15072000,12950000,44298000,86000000,208056000,181758000,257911000,204921000,117819000,183211000
34,Net Receivables,- -,- -,- -,- -,5591000,8103000,4727000,4832000,6197000,3770000,25091000,12098000,14924000,18752000,40008000,60274000,38929000
35,Inventory,- -,- -,- -,598000,1276000,982000,1094000,3867000,3613000,1726000,14368000,14247000,14534000,19345000,27436000,51153000,47294000
36,Other Current Assets,- -,118766,149647,299000,3417000,11601000,5273000,7626000,15203000,4635000,8971000,17657000,17250000,16618000,26471000,36796000,37977000
37,Total Current Assets,- -,189570589,195183045,19882000,42273000,60828000,23918000,31397000,37963000,54429000,134430000,252058000,228466000,312626000,298836000,266042000,307411000
38,PP&E,- -,- -,3256,381188000,821284000,668698000,654290000,638532000,291207000,326674000,1441851000,1757552000,1707209000,1775081000,2656108000,2966743000,2878005000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,14330000,7978000,11908000,254000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,14330000,7978000,11908000,254000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,29920000,- -,- -,- -,- -,634000,844000,970000,1063000,1108000,1162000,1321000
43,Tax Assets,- -,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2672000,27819000,1195000,25042000,47999000,11206000,79007000,473261000,154175000,75057000,56994000,66085000,4724000,5056000
45,Total Non-Current Assets,- -,9000,3256,383860000,849103000,699813000,679332000,686531000,316743000,413659000,1927654000,1912825000,1783236000,1833138000,2723301000,2972629000,2884382000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,189579589,195186301,403742000,891376000,760641000,703250000,717928000,354706000,468088000,2062084000,2164883000,2011702000,2145764000,3022137000,3238671000,3191793000
48,Accounts Payable,- -,344638,603520,168000,1187000,3977000,3233000,8501000,8264000,6638000,18487000,9436000,5200000,9944000,20959000,42779000,32853000
49,Short-Term Debt,- -,- -,- -,- -,49250000,59675000,33785000,34674000,28766000,18286000,96485000,127141000,- -,173958000,101007000,150350000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,916000,3554000,4811000,3694000,4543000,1736000,750000,3600000,2465000,2060000,7229000,10855000,7374000,11675000
52,Other Current Liabilities,- -,4000000,6369744,1973000,3296000,2629000,2523000,4436000,3684000,4060000,21626000,27907000,20859000,28143000,89896000,110428000,221904000
53,Total Current Liabilities,- -,4344638,6973264,3057000,57287000,71092000,43235000,52154000,42450000,29734000,140198000,166949000,28119000,219274000,222717000,310931000,266432000
54,Long-Term Debt,- -,- -,- -,- -,247250000,187575000,171044000,231466000,195348000,172048000,765308000,784597000,792476000,623137000,734229000,1009410000,987931000
55,Deferred Revenue,- -,- -,- -,- -,5072000,847000,203000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,64660400,64679990,25307000,21627000,1870000,516000,95000,162000,200000,2276000,77979000,153877000,215301000,545146000,374290000,387903000
58,Total Non-Current Liabilities,- -,64660400,64679990,25307000,273949000,190292000,171763000,231561000,195510000,172248000,767584000,862576000,946353000,838438000,1279375000,1383700000,1375834000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79520000,158848000,230089000,606762000,423192000,428176000
61,Total Liabilities,- -,69005038,71653254,28364000,331236000,261384000,214998000,283715000,237960000,201982000,907782000,1029525000,974472000,1057712000,1502092000,1694631000,1642266000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2903,2903,425000,584000,611000,634000,804000,54000,291000,1094000,2191000,566000,642000,926000,961000,971000
64,Retained Earnings,- -,110331,3088417,6499000,79964000,15364000,-2152000,-86102000,-404254000,-402404000,-414127000,-872304000,-1026532000,-1036303000,-980165000,-1001170000,-996314000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-51795000,-92332000,-126589000,-176813000,-482453000,-155495000,-201435000,-1000000,-332426000,1000000,-493165000,-445396000,-587689000
66,Other Total Stockholders Equity,- -,120461317,120441727,368454000,531387000,575614000,616359000,696324000,1003399000,823714000,1768770000,2006471000,2395622000,2122713000,2992449000,2989645000,3132559000
67,Total Stockholders Equity,- -,120574551,123533047,375378000,560140000,499257000,488252000,434213000,116746000,266106000,1154302000,1135358000,1037230000,1088052000,1520045000,1544040000,1549527000
68,Total Liabilities And Stockholders Equity,- -,189579589,195186301,403742000,891376000,760641000,703250000,717928000,354706000,468088000,2062084000,2164883000,2011702000,2145764000,3022137000,3238671000,3191793000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,189579589,195186301,403742000,891376000,760641000,703250000,717928000,354706000,468088000,2062084000,2164883000,2011702000,2145764000,3022137000,3238671000,3191793000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1386716/000091957409008897/d968870_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957410002702/0000919574-10-002702-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957411002542/d1183687_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000091957412002515/0000919574-12-002515-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957413002451/0000919574-13-002451-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000091957414002395/d1460935_20-f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000156761915000448/s000840x1_20f.htm,https://www.sec.gov/Archives/edgar/data/1386716/000156761916002064/0001567619-16-002064-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000156761917000493/0001567619-17-000493-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036118014673/0001140361-18-014673-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036119005312/0001140361-19-005312-index.html,https://www.sec.gov/Archives/edgar/data/1386716/000114036120007197/0001140361-20-007197-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,110331,2978086,3411000,133738000,-58415000,-5131000,-69559000,-314521000,1850000,-11723000,-458177000,-154228000,-9771000,58397000,-16201000,9660000
74,Depreciation and Amortization,- -,- -,408,745000,51050000,58298000,46937000,50224000,39414000,22413000,43263000,91610000,82189000,82623000,101032000,122267000,142293000
75,Deferred Income Tax,- -,- -,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,267000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,184000,3986000,1832000,6511000,1362000,1546000,1488000,5834000,2684000,4166000,9267000,8072000,7943000,4624000
77,Change in Working Capital,- -,-137255,-1288385,-370000,-1176000,-5756000,3553000,1015000,-13524000,2218000,-13864000,1237000,-9982000,-154000,-20888000,-43067000,5256000
