,https://roic.ai/company/RMAX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,140217000,138302000,143677000,158862000,170984000,176868000,176302000,195929000,212626000,282293000,266001000,329701000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,72299000,64402000,82391000
3,Gross Profit,140217000,138302000,143677000,158862000,170984000,176868000,- -,- -,- -,209994000,201599000,247310000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,0.7439,0.7579,0.7501
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,96243000,91847000,90986000,87629000,107268000,120179000,118890000,128998000,179873000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64402000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,96243000,91847000,90986000,87629000,107268000,120179000,118890000,193400000,179873000
9,Other Expenses,98088000,99764000,96427000,15166000,15316000,15124000,16094000,20512000,20678000,22323000,-37711000,31333000
10,Operating Expenses,98088000,99764000,96427000,111409000,107163000,106110000,103723000,127780000,140857000,141213000,155689000,211206000
11,COGS and Expenses,98088000,99764000,96427000,111409000,107163000,106110000,103723000,127780000,140857000,213512000,220091000,293597000
12,Interest Income ,538000,372000,286000,321000,313000,178000,160000,352000,676000,1446000,340000,217000
13,Interest Expense (Gain),22295000,12203000,11686000,14647000,9295000,10413000,8596000,9996000,12051000,12229000,9223000,11344000
14,Depreciation and Amortization,16735000,14473000,12090000,15166000,15316000,15124000,16094000,20512000,20678000,22323000,26691000,31333000
15,EBITDA,48391000,53011000,59238000,34163000,47995000,54222000,62700000,98899000,75572000,70501000,55981000,29520000
16,EBITDA ratio,0.3451,0.3833,0.4123,0.2150,0.2807,0.3066,0.3556,0.5048,0.3554,0.2497,0.2105,0.0895
17,Operating Income,38410000,38471000,45546000,47080000,63835000,74155000,72401000,100225000,77851000,68439000,38008000,-9931000
18,Operating Income ratio,0.2739,0.2782,0.3170,0.2964,0.3733,0.4193,0.4107,0.5115,0.3661,0.2424,0.1429,-0.0301
19,Total Other Income Expenses (Gains),-39108000,-12050000,-10084000,-15984000,-9908000,-10775000,-9318000,-9470000,-11687000,-10674000,-8885000,-12230000
20,Income Before Tax,-698000,26421000,35462000,31096000,53927000,63380000,63083000,90755000,66164000,57765000,29123000,-22161000
21,Income Before Tax Ratio,-0.0050,0.1910,0.2468,0.1957,0.3154,0.3583,0.3578,0.4632,0.3112,0.2046,0.1095,-0.0672
22,Income Tax expense (Gain),2049000,2172000,2138000,2844000,9948000,12030000,15273000,55576000,15799000,10909000,9103000,2459000
23,Net Income,7312000,- -,33324000,1506000,13436000,16655000,22737000,12815000,27044000,25040000,10964000,-15616000
24,Net Income ratio,0.0521,- -,0.2319,0.0095,0.0786,0.0942,0.1290,0.0654,0.1272,0.0887,0.0412,-0.0474
25,EPS,-1.60,- -,1.78,0.13,1.16,1.31,1.29,0.72,1.52,1.41,0.60,-0.84
26,EPS Diluted,-1.60,- -,1.78,0.13,1.10,1.30,1.29,0.72,1.52,1.40,0.60,-0.84
27,Weighted Average Shares Outstanding,10107971,10107971,10107971,11607971,11611164,12671051,17628741,17688533,17737649,17812065,18170348,18690442
28,Weighted Average Shares Outstanding Diluted,10107971,10107971,10107971,11607971,12241977,12829214,17677768,17731800,17767499,17867752,18324246,18690442
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1581091/000156459014001100/0001564590-14-001100-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000156459015001651/0001564590-15-001651-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837016003588/0001558370-16-003588-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837017000964/0001558370-17-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837018002152/0001558370-18-002152-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837019000930/0001558370-19-000930-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837020001165/0001558370-20-001165-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837021001856/0001558370-21-001856-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837022001747/0001558370-22-001747-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,38611000,68501000,88375000,107199000,110212000,57609000,50807000,59974000,83001000,101355000,126270000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,38611000,68501000,88375000,107199000,110212000,57609000,50807000,59974000,83001000,101355000,126270000
34,Net Receivables,- -,15086000,15089000,15985000,17637000,16769000,19419000,22174000,21718000,29540000,31207000,36365000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2981000,3487000,5720000,5930000,7765000,4186000,6924000,5855000,30238000,33810000,48139000
37,Total Current Assets,- -,56678000,87077000,110080000,130766000,134746000,81214000,79905000,87547000,142779000,166372000,210774000
38,PP&E,- -,5166000,3332000,2583000,2661000,2395000,2691000,2905000,4390000,56573000,46750000,49209000
39,Goodwill,- -,41882000,71039000,72781000,72463000,71871000,126633000,135213000,150684000,159038000,175835000,269115000
40,Intangible Assets,- -,74469000,81159000,91557000,78230000,66880000,118951000,127825000,126122000,119985000,102165000,176362000
41,Intangible Assets,- -,116351000,152198000,164338000,150693000,138751000,245584000,263038000,276806000,279023000,278000000,445477000
42,Investments,- -,3517000,3900000,3642000,3693000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,67791000,66903000,106033000,105770000,59151000,53698000,52595000,48855000,51314000
44,Other Non-Current Assets,- -,4753000,5005000,4389000,3611000,3388000,1894000,1563000,4399000,11382000,17415000,19359000
45,Total Non-Current Assets,- -,129787000,164435000,242743000,227561000,250567000,355939000,326657000,339293000,399573000,391020000,565359000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,186465000,251512000,352823000,358327000,385313000,437153000,406562000,426840000,542352000,557392000,776133000
48,Accounts Payable,- -,2783000,2915000,1748000,1675000,515000,1000000,517000,1890000,2983000,2108000,5189000
49,Short-Term Debt,- -,- -,- -,17300000,9460000,14805000,2350000,2350000,2622000,2648000,2428000,10928000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9579000,4599000
51,Deferred Revenue,- -,14167000,15996000,15821000,17142000,16501000,16306000,18918000,25489000,25663000,25282000,27178000
52,Other Current Liabilities,- -,17651000,21411000,14162000,14387000,25433000,26882000,21775000,16918000,75702000,87427000,102924000
53,Total Current Liabilities,- -,34601000,40322000,49031000,42664000,57254000,46538000,43560000,46919000,106996000,117245000,146219000
54,Long-Term Debt,- -,187066000,221726000,211104000,202213000,187079000,228470000,226636000,225165000,223033000,221137000,493407000
55,Deferred Revenue,- -,1385000,514000,234000,- -,- -,- -,- -,20224000,18763000,19864000,18929000
56,Deferred Tax Liabilities,- -,- -,- -,195000,190000,120000,133000,151000,400000,293000,490000,14699000
57,Other Non-Current Liabilities,- -,72937000,85719000,76720000,73977000,101446000,101303000,66820000,54857000,94891000,85975000,33812000
58,Total Non-Current Liabilities,- -,261388000,307959000,288253000,276380000,288645000,329906000,293607000,300646000,336980000,327466000,560847000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,61061000,55966000,52276000
61,Total Liabilities,- -,295989000,348281000,337284000,319044000,345899000,376444000,337167000,347565000,443976000,444711000,707066000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,-111426000,-98516000,1000,1000,2000,2000,2000,2000,2000,2000,2000
64,Retained Earnings,- -,- -,- -,1506000,12041000,4693000,16808000,16027000,21138000,30525000,25139000,-7821000
65,Other Comprehensive Income/Loss,- -,-19493000,-20426000,1000000,1000000,-13183000,-12196000,-12326000,-13280000,-14940000,612000,650000
66,Other Total Stockholders Equity,- -,21395000,22173000,239457000,241768000,458159000,459169000,464040000,473709000,482299000,491422000,- -
67,Total Stockholders Equity,- -,-109524000,-96769000,241964000,254810000,449671000,463783000,467743000,481569000,497886000,517175000,508274000
68,Total Liabilities And Stockholders Equity,- -,186465000,251512000,579248000,573854000,795570000,840227000,804910000,829134000,941862000,961886000,1215340000
69,Minority Interest,- -,- -,- -,-226425000,-215527000,-410257000,-403074000,-398348000,-402294000,-399510000,-404494000,-439207000
70,Total Liabilities & Equity,- -,186465000,251512000,352823000,358327000,385313000,437153000,406562000,426840000,542352000,557392000,776133000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1581091/000156459014001100/0001564590-14-001100-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000156459015001651/0001564590-15-001651-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837016003588/0001558370-16-003588-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837017000964/0001558370-17-000964-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837018002152/0001558370-18-002152-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837019000930/0001558370-19-000930-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837020001165/0001558370-20-001165-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837021001856/0001558370-21-001856-index.htm,https://www.sec.gov/Archives/edgar/data/1581091/000155837022001747/0001558370-22-001747-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,7312000,- -,33324000,1506000,13436000,16655000,22737000,12815000,27044000,25040000,10964000,-15616000
74,Depreciation and Amortization,16735000,14473000,12090000,15166000,15316000,15124000,16094000,20512000,20678000,22323000,26691000,31333000
75,Deferred Income Tax,- -,35000,- -,402000,1865000,2531000,3473000,46494000,9552000,2310000,1840000,-2528000
76,Stock Based Compensation,- -,- -,1089000,2995000,2002000,1453000,2330000,2900000,9176000,10934000,16267000,34298000
77,Change in Working Capital,-2790000,21216000,24678000,14294000,27053000,-10610000,-42816000,1669000,4283000,-4845000,13344000,3483000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-3241000,- -,-3460000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,276000,- -,-173000,- -,- -,- -,- -,- -,- -,- -,1419000,- -
81,Other Working Capital,861000,22077000,46755000,61049000,88102000,77492000,34676000,36345000,40628000,35783000,49127000,-9638000
82,Other Non-Cash Items,15165000,7865000,-19922000,15706000,4037000,49435000,62561000,-21102000,5331000,23213000,1741000,-8528000
83,Cash Provided by Operating Activities,36422000,43589000,51259000,50069000,63709000,74588000,64379000,63288000,76064000,78975000,70847000,42442000
