,https://roic.ai/company/EVH,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,25671000,- -,96878000,254188000,434950000,627063000,846383000,1022433000,907957000
2,COGS,30018000,- -,57398000,155177000,269352000,327825000,513059000,701373000,657551000
3,Gross Profit,-4347000,- -,39480000,99011000,165598000,299238000,333324000,321060000,250406000
4,Gross Profit Ratio,-0.1693,- -,0.4075,0.3895,0.3807,0.4772,0.3938,0.3140,0.2758
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,15600000,- -,75286000,160692000,205670000,306307000,392820000,310551000,219499000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15600000,- -,75286000,160692000,205670000,306307000,392820000,310551000,219499000
9,Other Expenses,1208000,- -,7166000,17224000,32368000,44515000,60913000,61475000,60037000
10,Operating Expenses,16808000,- -,82452000,177916000,238038000,350822000,453733000,372026000,279536000
11,COGS and Expenses,46826000,- -,139850000,333093000,507390000,678647000,966792000,1073399000,937087000
12,Interest Income ,- -,- -,- -,- -,1656000,3440000,3987000,3164000,407000
13,Interest Expense (Gain),- -,- -,- -,- -,3636000,5484000,14534000,28337000,25425000
14,Depreciation and Amortization,1208000,- -,7166000,17224000,32368000,44515000,60913000,61475000,60037000
15,EBITDA,21239000,- -,363135000,-153273000,-31298000,-2619000,-248060000,-247987000,48344000
16,EBITDA ratio,0.8274,- -,3.7484,-0.6030,-0.0720,-0.0042,-0.2931,-0.2425,0.0532
17,Operating Income,-21155000,- -,-42972000,-237419000,-72840000,-47480000,-306612000,-270624000,-42411000
18,Operating Income ratio,-0.8241,- -,-0.4436,-0.9340,-0.1675,-0.0757,-0.3623,-0.2647,-0.0467
19,Total Other Income Expenses (Gains),41186000,-25246000,386261000,-114000,-3564000,-6671000,-20504000,-67175000,12610000
20,Income Before Tax,20031000,-25246000,343289000,-237533000,-76404000,-54151000,-327116000,-337799000,-29801000
21,Income Before Tax Ratio,0.7803,-Infinity,3.5435,-0.9345,-0.1757,-0.0864,-0.3865,-0.3304,-0.0328
22,Income Tax expense (Gain),8000,- -,23475000,-10755000,-6637000,40000,-21536000,-3553000,483000
23,Net Income,20023000,-25246000,332494000,-159742000,-60665000,-52658000,-301971000,-334246000,-37601000
24,Net Income ratio,0.7800,-Infinity,3.4321,-0.6284,-0.1395,-0.0840,-0.3568,-0.3269,-0.0414
25,EPS,0.06,-0.81,13.14,-3.55,-0.94,-0.68,-3.67,-3.94,-0.44
26,EPS Diluted,0.06,-0.81,6.93,-3.55,-0.94,-0.68,-3.67,-3.94,-0.44
27,Weighted Average Shares Outstanding,38226748,38226748,25129000,45031000,64351000,77338000,82364000,84928000,86067000
28,Weighted Average Shares Outstanding Diluted,38226748,38226748,46136000,45031000,64351000,77338000,82364000,84928000,86067000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1628908/000162890816000030/0001628908-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890817000006/0001628908-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890818000015/0001628908-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890819000006/0001628908-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890820000032/0001628908-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890821000026/0001628908-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890822000027/0001628908-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,67891000,- -,145726000,134563000,238433000,228320000,101008000,340490000,266280000
32,Short-Term Investments,- -,- -,9445000,44341000,- -,818000,1807000,3858000,- -
33,Cash and Short-Term Investments,67891000,- -,155171000,178904000,238433000,229138000,102815000,344348000,266280000
34,Net Receivables,10520000,- -,20381000,40635000,68947000,82310000,77418000,126315000,130604000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1881000,1074000,8911000,45427000,70802000,176518000,48568000,75471000,127076000
37,Total Current Assets,80292000,1074000,184463000,264966000,378182000,487966000,228801000,546134000,523960000
38,PP&E,14291000,- -,12796000,31179000,50922000,73628000,157328000,144039000,131568000
39,Goodwill,- -,- -,608903000,626569000,628186000,768124000,572064000,354734000,426297000
40,Intangible Assets,1574000,647000,163152000,258923000,241261000,335036000,308459000,268072000,279784000
41,Intangible Assets,1574000,- -,772055000,885492000,869447000,1103160000,880523000,622806000,706081000
42,Investments,2352000,37203000,44618000,2159000,1531000,16286000,139369000,17417000,5458000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3466000,- -,1582000,16043000,12615000,41241000,91994000,39789000,52391000
45,Total Non-Current Assets,21683000,37203000,831051000,934873000,934515000,1234315000,1269214000,824051000,895498000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,101975000,38277000,1015514000,1199839000,1312697000,1722281000,1498015000,1370185000,1419458000
48,Accounts Payable,1976000,- -,16699000,43892000,42930000,146760000,37488000,32068000,96084000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,6269000,33914000,7069000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,16374000,- -,14835000,20481000,24807000,20584000,19828000,14327000,11944000
52,Other Current Liabilities,10972000,901000,27972000,67568000,64962000,102012000,129184000,321470000,330396000
53,Total Current Liabilities,29322000,- -,59506000,131941000,132699000,269356000,192769000,401779000,445493000
54,Long-Term Debt,- -,- -,- -,120283000,121394000,221041000,293667000,325869000,273398000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1074000,21318000,20846000,2437000,25438000,1942000,728000,1403000
57,Other Non-Current Liabilities,41609000,39273000,111000,14655000,9861000,17090000,80590000,22209000,5531000
58,Total Non-Current Liabilities,41609000,40347000,21429000,155784000,133692000,263569000,376199000,348806000,280332000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,75127000,69883000,64791000
61,Total Liabilities,70931000,40347000,80935000,287725000,266391000,532925000,568968000,750585000,725825000
62,Preferred Stock,31044000,2000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,590000,659000,774000,823000,846000,859000,908000
64,Retained Earnings,- -,-25806000,306688000,146617000,85952000,50009000,-251962000,-589178000,-626779000
65,Other Comprehensive Income/Loss,-1337000,-3984000,-1233000,-5236000,-14458000,-182000,-234000,-278000,-362000
66,Other Total Stockholders Equity,32381000,27717000,343296000,560486000,938611000,1093174000,1173708000,1208197000,- -
67,Total Stockholders Equity,31044000,-2070000,649341000,702526000,1010879000,1143824000,922358000,619600000,693633000
68,Total Liabilities And Stockholders Equity,101975000,38277000,730276000,990251000,1277270000,1676749000,1491326000,1370185000,1419458000
69,Minority Interest,- -,- -,285238000,209588000,35427000,45532000,6689000,- -,- -
70,Total Liabilities & Equity,101975000,38277000,1015514000,1199839000,1312697000,1722281000,1498015000,1370185000,1419458000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1628908/000162890816000030/0001628908-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890817000006/0001628908-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890818000015/0001628908-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890819000006/0001628908-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890820000032/0001628908-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890821000026/0001628908-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890822000027/0001628908-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,20023000,-25246000,332494000,-159742000,-60665000,-52658000,-301971000,-334246000,-37601000
74,Depreciation and Amortization,1208000,- -,7166000,17224000,32368000,44515000,60913000,61475000,- -
75,Deferred Income Tax,- -,- -,23460000,-10755000,-7271000,44000,-23124000,-1132000,- -
76,Stock Based Compensation,91000,- -,14730000,22501000,20437000,17609000,15618000,14606000,- -
77,Change in Working Capital,6227000,-49896000,123883000,8068000,112458000,-26873000,-182578000,108323000,- -
78,Accounts Receivable,-8670000,- -,11756000,-11044000,-11258000,-24503000,6326000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-843000,- -,2764000,-6371000,5563000,7598000,-5480000,3547000,- -
81,Other Working Capital,50970000,1074000,124957000,133025000,245483000,218610000,36032000,144355000,- -
82,Other Non-Cash Items,-41178000,75142000,-520201000,87194000,-125285000,-3288000,388497000,134749000,76348000
83,Cash Provided by Operating Activities,-13629000,- -,-18468000,-35510000,-27958000,-20651000,-42645000,-16225000,38747000
84,CAPEX,-10438000,-11034000,-6515000,-15526000,-27848000,-39550000,-35534000,-29473000,- -
85,Acquisitions Net,-15521000,- -,13065000,-85560000,-4822000,-139601000,-96055000,-300000,- -
86,Purchases of Investments,- -,- -,-54234000,- -,- -,-10010000,-11125000,-11170000,- -
87,Sales/Maturities of Investments,- -,- -,4000000,9379000,44210000,349000,2575000,143441000,- -
88,Other Investing Activites,50000,-3576000,- -,-6090000,-23805000,28437000,-41495000,158574000,-15786000
89,Cash Used for Investing Activites,-25909000,- -,-43684000,-97797000,-12265000,-160375000,-181634000,261072000,-15786000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-16606000,- -
91,Common Stock Issued,- -,- -,209087000,- -,166947000,- -,- -,- -,- -
92,Common Stock Repurchased,-100000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-20000000,- -
94,Other Financing Activites,34386000,-1365000,-1209000,122144000,-1390000,274024000,-35545000,24744000,-29548000
95,Cash Used/Provided by Financing Activities,34286000,- -,207878000,122144000,165557000,274024000,-35545000,-11862000,-29548000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-36000,30000,65000,-52000
97,Net Change In Cash,- -,- -,- -,-11163000,125334000,92962000,-259794000,233050000,-6639000
98,Cash at the End of Period,- -,- -,145726000,134563000,295363000,388325000,128531000,361581000,354942000
99,Cash at the Beginning of Period,5252000,- -,- -,145726000,170029000,295363000,388325000,128531000,361581000
100,Free Cash Flow,-24067000,- -,-24983000,-51036000,-55806000,-60201000,-78179000,-45698000,38747000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1628908/000162890816000030/0001628908-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890817000006/0001628908-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890818000015/0001628908-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890819000006/0001628908-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890820000032/0001628908-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890821000026/0001628908-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1628908/000162890822000027/0001628908-22-000027-index.htm
102,false,,,,,,,,,
