,https://roic.ai/company/WPRT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,72469,70447,198810,206535,50828,20750324,16783976,24732550,28466856,37358361,53100000,69300000,108200000,119900000,- -,155600000,164000000,130569000,103304000,167181000,229833000,270283000,305338000,252497000
2,COGS,- -,72469,- -,66270,- -,- -,14988782,11322968,17172010,19643090,24568651,33700000,47500000,80800000,81900000,- -,102500000,148700000,101053000,85232000,133055000,169552000,206059000,237086000,212953000
3,Gross Profit,- -,- -,- -,132540,206535,50828,5761542,5461008,7560540,8823766,12789710,19400000,21800000,27400000,38000000,- -,53100000,15300000,29516000,18072000,34126000,60281000,64224000,68252000,39544000
4,Gross Profit Ratio,- -,- -,- -,0.6667,1.0000,1.0000,0.2777,0.3254,0.3057,0.3100,0.3424,0.3653,0.3146,0.2532,0.3169,- -,0.3413,0.0933,0.2261,0.1749,0.2041,0.2623,0.2376,0.2235,0.1566
5,Research and Development Exp.,- -,362345,1549841,3048417,5576439,13300407,24228295,25403221,19897589,15229256,14529509,19200000,22300000,27500000,26100000,- -,73200000,91100000,76580000,52777000,55452000,50133000,30619000,25172000,20976000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,5433227,- -,- -,- -,- -,12300000,16100000,5929000,10198000,- -,44788000,46493000,40319000,52697000,42012000,46440000,51075000,41339000,26629000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,1815281,- -,- -,- -,- -,- -,- -,15071000,18102000,- -,30112000,28707000,25489000,- -,20949000,16776000,15923000,16380000,11510000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,7248508,- -,- -,- -,- -,12300000,16100000,21000000,28300000,- -,74900000,75200000,65808000,52697000,62961000,63216000,66998000,57719000,38139000
9,Other Expenses,- -,434814,845368,1590478,2203037,6200161,3576358,11781501,14720216,13089255,11552379,798890,1587370,-3130554,6142476,- -,11416000,16302000,22772000,13654000,21461000,11938000,8824000,7778000,6239000
10,Operating Expenses,- -,797159,2395210,4638895,7779476,19500568,35053161,37184721,34617804,28318511,26081888,32298890,39987370,45369446,60542476,- -,159516000,182602000,165160000,119128000,139874000,125287000,106441000,90669000,65354000
11,COGS and Expenses,- -,869628,2395210,4705165,7779476,19500568,50041943,48507689,51789814,47961601,50650539,59600000,88900000,132100000,138900000,- -,263900000,358200000,289254000,213563000,257312000,296521000,323001000,326731000,278307000
12,Interest Income ,- -,- -,- -,265080,344225,1489478,1081141,- -,547336,374640,326679,- -,1278539,1490457,375711,- -,426000,1018000,817000,192000,-1656000,1377000,465000,4065000,2000
13,Interest Expense (Gain),- -,- -,- -,66270,68845,104878,215087,- -,234607,228589,269254,- -,1229962,1859507,3146949,- -,6091000,5384000,6552000,5907000,12429000,14487000,9133000,7265000,7988000
14,Depreciation and Amortization,- -,- -,70447,265080,757294,2372875,3576358,4552995,5232582,5227252,2360962,1240000,1500000,1760000,1950000,- -,11400000,16290000,18666000,13654000,15322000,14741000,16510000,16340000,14034000
