,https://roic.ai/company/EB,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,133499000,201597000,291611000,326801000,106006000,187134000
2,COGS,55689000,81667000,120653000,129141000,62330000,70294000
3,Gross Profit,77810000,119930000,170958000,197660000,43676000,116840000
4,Gross Profit Ratio,0.5829,0.5949,0.5863,0.6048,0.4120,0.6244
5,Research and Development Exp.,22723000,30608000,46071000,64196000,54551000,66303000
6,General and Administrative Exp.,41749000,67559000,93782000,100541000,103146000,82399000
7,Selling and Marketing Exp.,48391000,55170000,69780000,102874000,84259000,35916000
8,"Selling, General and Administrative Exp.",90140000,122729000,163562000,203415000,187405000,118315000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,112863000,153337000,209633000,267611000,241956000,184618000
11,COGS and Expenses,168552000,235004000,330286000,396752000,304286000,254912000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3513000,6462000,11295000,2986000,24586000,16267000
14,Depreciation and Amortization,7639000,19418000,34608000,24324000,22610000,18716000
15,EBITDA,-29109000,-12680000,-17025000,-41642000,-177602000,-102669000
16,EBITDA ratio,-0.2180,-0.0629,-0.0584,-0.1274,-1.6754,-0.5486
17,Operating Income,-35053000,-33407000,-38675000,-69951000,-198280000,-67778000
18,Operating Income ratio,-0.2626,-0.1657,-0.1326,-0.2140,-1.8705,-0.3622
19,Total Other Income Expenses (Gains),-5208000,-5153000,-24253000,999000,-26518000,-69874000
20,Income Before Tax,-40261000,-38560000,-62928000,-68952000,-224798000,-137652000
21,Income Before Tax Ratio,-0.3016,-0.1913,-0.2158,-0.2110,-2.1206,-0.7356
22,Income Tax expense (Gain),131000,-13000,1150000,-192000,-80000,1428000
23,Net Income,-40392000,-38547000,-64078000,-68760000,-224718000,-139080000
24,Net Income ratio,-0.3026,-0.1912,-0.2197,-0.2104,-2.1199,-0.7432
25,EPS,-1.90,-0.64,-1.71,-0.84,-2.52,-1.47
26,EPS Diluted,-1.90,-0.64,-1.71,-0.84,-2.52,-1.47
27,Weighted Average Shares Outstanding,21289000,56600000,37540000,81979000,89335000,94462000
28,Weighted Average Shares Outstanding Diluted,21289000,56600000,37540000,81979000,89335000,94462000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1475115/000147511519000007/0001475115-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1475115/000147511520000021/0001475115-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1475115/000147511521000020/0001475115-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1475115/000147511522000032/0001475115-22-000032-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,139538000,188986000,437892000,420712000,505756000,634378000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,139538000,188986000,437892000,420712000,505756000,634378000
34,Net Receivables,28051000,54524000,62766000,57828000,11265000,19307000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,16115000,36060000,45046000,46036000,20112000,19923000
37,Total Current Assets,183704000,279570000,545704000,524576000,537133000,673608000
38,PP&E,40723000,42492000,44219000,41895000,25460000,18102000
39,Goodwill,9725000,158766000,170560000,170560000,174388000,174388000
40,Intangible Assets,1684000,79541000,59973000,49158000,42333000,31116000
41,Intangible Assets,11409000,238307000,230533000,219718000,216721000,205504000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9501000,11555000,16428000,21826000,16371000,5762000
45,Total Non-Current Assets,61633000,292354000,291180000,283439000,258552000,229368000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,245337000,571924000,836884000,808015000,795685000,902976000
48,Accounts Payable,632000,1481000,1028000,1870000,1903000,1083000
49,Short-Term Debt,- -,- -,5635000,9115000,4940000,4149000
50,Tax Payable,410000,3702000,8028000,5409000,2992000,11068000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,148634000,245788000,301541000,339323000,239693000,352734000
53,Total Current Liabilities,149266000,247269000,308204000,350308000,246536000,357966000
54,Long-Term Debt,- -,77751000,67087000,- -,218147000,362241000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,245155000,402718000,46371000,31892000,15430000,12869000
58,Total Non-Current Liabilities,245155000,480469000,113458000,31892000,233577000,375110000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,30274000,29494000,28510000,25277000,16457000,12826000
61,Total Liabilities,394421000,727738000,421662000,382200000,480113000,733076000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,1000,1000
64,Retained Earnings,-200070000,-238617000,-302695000,-372826000,-597544000,-733571000
65,Other Comprehensive Income/Loss,-25341000,-34049000,-44576000,-52554000,- -,- -
66,Other Total Stockholders Equity,76327000,116852000,762493000,851194000,913115000,903470000
67,Total Stockholders Equity,-149084000,-155814000,415222000,425815000,315572000,169900000
68,Total Liabilities And Stockholders Equity,245337000,571924000,836884000,808015000,795685000,902976000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,245337000,571924000,836884000,808015000,795685000,902976000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1475115/000147511519000007/0001475115-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1475115/000147511520000021/0001475115-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1475115/000147511521000020/0001475115-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1475115/000147511522000032/0001475115-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-40392000,-38547000,-64078000,-68760000,-224718000,-139080000
74,Depreciation and Amortization,7639000,19418000,34608000,24324000,22610000,18716000
75,Deferred Income Tax,-58000,-400000,103000,-380000,-183000,- -
76,Stock Based Compensation,8531000,10858000,30231000,37594000,40215000,47523000
77,Change in Working Capital,21603000,-2137000,205199000,-63232000,116329000,87343000
78,Accounts Receivable,-1364000,-775000,-2092000,-288000,-2505000,-591000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,37354000,53222000,24016000,36840000,-116566000,93246000
81,Other Working Capital,34438000,32301000,237500000,174268000,290597000,-9856000
82,Other Non-Cash Items,5462000,40629000,-198901000,99112000,-111145000,64579000
83,Cash Provided by Operating Activities,2785000,29821000,7162000,28658000,-156892000,79081000
84,CAPEX,-8466000,-8678000,-12650000,-13598000,-6282000,-2533000
85,Acquisitions Net,-1693000,-131974000,12611000,- -,-6375000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5483000,-6142000,-7232000,-7710000,-4583000,-1548000
89,Cash Used for Investing Activites,-10159000,-140652000,-39000,-13598000,-12657000,-2533000
90,Debt Repayment,-578000,-8447000,-111779000,-73884000,-517000,-143247000
91,Common Stock Issued,- -,- -,240965000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2903000,167961000,110870000,42364000,255556000,194428000
