,https://roic.ai/company/RRR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1230221000,1256137000,1291616000,1352135000,1452427000,1615616000,1681030000,1856534000,1182445000,1617899000
2,COGS,602040000,571083000,573139000,582244000,635289000,735298000,794063000,949941000,501299000,552489000
3,Gross Profit,628181000,685054000,718477000,769891000,817138000,880318000,886967000,906593000,681146000,1065410000
4,Gross Profit Ratio,0.5106,0.5454,0.5563,0.5694,0.5626,0.5449,0.5276,0.4883,0.5760,0.6585
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,325694000,379246000,390492000,416355000,324644000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,325694000,379246000,390492000,416355000,324644000,347090000
9,Other Expenses,437736000,457000000,448721000,466887000,157399000,38917000,89617000,222114000,231376000,157791000
10,Operating Expenses,437736000,457000000,448721000,466887000,483093000,418163000,480109000,638469000,556020000,504881000
11,COGS and Expenses,1039776000,1028083000,1021860000,1049131000,1118382000,1153461000,1274172000,1588410000,1057319000,1057370000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),189781000,165220000,151702000,144489000,140189000,131442000,143099000,156679000,128465000,103206000
14,Depreciation and Amortization,132298000,134053000,132043000,137865000,156668000,178217000,180255000,222211000,231391000,157791000
15,EBITDA,343194000,204275000,384287000,420012000,340361000,479566000,504770000,373805000,323540000,433560000
16,EBITDA ratio,0.2790,0.1626,0.2975,0.3106,0.2343,0.2968,0.3003,0.2013,0.2736,0.2680
17,Operating Income,170421000,214976000,237061000,287189000,309446000,330399000,372208000,186001000,88589000,401542000
18,Operating Income ratio,0.1385,0.1711,0.1835,0.2124,0.2131,0.2045,0.2214,0.1002,0.0749,0.2482
19,Total Other Income Expenses (Gains),-137909000,-294065000,-105926000,-143771000,-145459000,-132605000,-128853000,-194472000,-149051000,-115999000
20,Income Before Tax,32512000,-79089000,131135000,143418000,163987000,197794000,243355000,-8471000,-60462000,285543000
21,Income Before Tax Ratio,0.0264,-0.0630,0.1015,0.1061,0.1129,0.1224,0.1448,-0.0046,-0.0511,0.1765
22,Income Tax expense (Gain),- -,- -,- -,- -,8212000,134755000,23875000,-1734000,114081000,-69287000
23,Net Income,21115000,-94998000,100542000,137658000,35292000,35152000,157541000,-3351000,-150397000,241850000
24,Net Income ratio,0.0172,-0.0756,0.0778,0.1018,0.0243,0.0218,0.0937,-0.0018,-0.1272,0.1495
25,EPS,0.54,-2.44,2.58,3.53,1.03,0.52,2.28,-0.05,-2.13,3.50
26,EPS Diluted,0.54,-2.44,2.58,3.53,1.03,0.42,1.77,-0.05,-2.13,2.84
27,Weighted Average Shares Outstanding,38971058,38971058,38971058,38971058,34141000,67397000,69115000,69565000,70542000,69071000
28,Weighted Average Shares Outstanding Diluted,38971058,38971058,38971058,38971058,34285000,115930000,116859000,69565000,70542000,116452000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1653653/000165365317000004/0001653653-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365318000004/0001653653-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365319000005/0001653653-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365320000005/0001653653-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365321000005/0001653653-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365322000004/0001653653-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,133598000,122579000,116426000,133776000,231465000,114607000,128835000,121176000,275281000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,8162000,- -
33,Cash and Short-Term Investments,- -,133598000,122579000,116426000,133776000,231465000,114607000,128835000,129338000,275281000
34,Net Receivables,- -,45846000,35621000,35505000,51245000,48986000,51356000,56683000,35130000,36739000
35,Inventory,- -,8937000,9960000,10329000,11956000,12572000,14910000,17765000,13079000,11734000
36,Other Current Assets,- -,34171000,29958000,49586000,52864000,48539000,81092000,78347000,71412000,105386000
37,Total Current Assets,- -,222552000,198118000,211846000,249841000,341562000,261965000,281630000,248959000,429140000
38,PP&E,- -,2372497000,2339132000,2304360000,2601829000,2719293000,3206091000,3300202000,3091713000,- -
39,Goodwill,- -,195676000,195676000,195676000,195676000,195676000,195676000,195676000,195676000,195676000
40,Intangible Assets,- -,186667000,168332000,149997000,149199000,128000000,117220000,108506000,100817000,87172000
41,Intangible Assets,- -,382343000,364008000,345673000,344875000,323676000,312896000,304182000,296493000,282848000
42,Investments,- -,14799000,19840000,13991000,10572000,10133000,8903000,8867000,8162000,- -
43,Tax Assets,- -,- -,- -,- -,244466000,132220000,111833000,113185000,- -,98625000
44,Other Non-Current Assets,- -,106307000,74861000,56241000,74572000,92726000,107838000,106121000,94627000,2329720000
45,Total Non-Current Assets,- -,2875946000,2797841000,2720265000,3276314000,3278048000,3747561000,3832557000,3490995000,2711193000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3098498000,2995959000,2932111000,3526155000,3619610000,4009526000,4114187000,3739954000,3140333000
48,Accounts Payable,- -,17888000,26256000,24258000,30710000,21626000,25896000,33970000,11208000,17466000
49,Short-Term Debt,- -,- -,- -,- -,46063000,30094000,33894000,33989000,22844000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,27394000,27158000
51,Deferred Revenue,- -,- -,- -,- -,16283000,13914000,18624000,22185000,11854000,- -
52,Other Current Liabilities,- -,214061000,220628000,234662000,153721000,173527000,255268000,185852000,154351000,187350000
53,Total Current Liabilities,- -,231949000,246884000,258920000,246777000,239161000,333682000,275996000,200257000,204816000
54,Long-Term Debt,- -,2147985000,2083607000,2066260000,2376238000,2587728000,2821465000,2999302000,2879163000,2827603000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,25743000,21351000,33222000,269788000,155430000,37384000,56292000,55893000,57881000
58,Total Non-Current Liabilities,- -,2173728000,2104958000,2099482000,2646026000,2743158000,2858849000,3055594000,2935056000,2885484000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3646000,2936000,- -
61,Total Liabilities,- -,2405677000,2351842000,2358402000,2892803000,2982319000,3192531000,3331590000,3135313000,3090300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,667219000,625042000,558227000,660000,690000,698000,706000,713000,615000
64,Retained Earnings,- -,- -,- -,- -,17628000,25723000,155869000,124423000,-33071000,3851000
65,Other Comprehensive Income/Loss,- -,-274862000,-375319000,-478874000,2000000,2000000,1000000,-1000000,-1000000,- -
66,Other Total Stockholders Equity,- -,262929000,368220000,473571000,329460000,353412000,362053000,376588000,385956000,45567000
67,Total Stockholders Equity,- -,655286000,617943000,552924000,349748000,381825000,519620000,500717000,352598000,50033000
68,Total Liabilities And Stockholders Equity,- -,3060963000,2969785000,2911326000,3242551000,3364144000,3712151000,3832307000,3487911000,3140333000
69,Minority Interest,- -,37535000,26174000,20785000,283604000,255466000,297375000,281880000,252043000,- -
70,Total Liabilities & Equity,- -,3098498000,2995959000,2932111000,3526155000,3619610000,4009526000,4114187000,3739954000,3140333000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1653653/000165365317000004/0001653653-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365318000004/0001653653-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365319000005/0001653653-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365320000005/0001653653-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365321000005/0001653653-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1653653/000165365322000004/0001653653-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,21115000,-94998000,100542000,137658000,35292000,35152000,157541000,-3351000,-150397000,241850000
74,Depreciation and Amortization,132298000,134053000,132043000,137865000,156668000,178217000,180255000,222211000,231391000,157791000
75,Deferred Income Tax,- -,- -,- -,- -,6962000,-3175000,-66778000,-1832000,114066000,-74161000
76,Stock Based Compensation,8166000,16438000,12775000,19726000,-11846000,7922000,11289000,16848000,10886000,12728000
77,Change in Working Capital,16330000,-9422000,-39369000,1692000,50138000,99337000,-174118000,77351000,43068000,175622000
78,Accounts Receivable,-2574000,2228000,-6700000,178000,-3492000,-4610000,-2054000,- -,16425000,- -
79,Inventory,3559000,-1606000,-73000,-2389000,-510000,-6999000,-17749000,-397000,10344000,-14406000
80,Accounts Payable,3541000,-3613000,2911000,4954000,8934000,-1184000,2677000,9686000,-21411000,7367000
81,Other Working Capital,25000,-9397000,-48766000,-47074000,3064000,102401000,-71717000,5634000,48702000,224324000
82,Other Non-Cash Items,39927000,204619000,63800000,52499000,108994000,-28395000,237818000,5405000,-36224000,96133000
83,Cash Provided by Operating Activities,217836000,250690000,269791000,349440000,346208000,289058000,346007000,316632000,212790000,609963000
84,CAPEX,-62048000,-86728000,-102748000,-129925000,-162377000,-248427000,-36106000,-57354000,-58496000,-61295000
85,Acquisitions Net,- -,- -,- -,- -,-306000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-14013000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,585000,9842000,11023000,- -,- -
88,Other Investing Activites,97101000,-94237000,-42887000,-106273000,-138096000,-282238000,-616524000,-416160000,-55544000,586259000
89,Cash Used for Investing Activites,97101000,-94237000,-42887000,-106273000,-444096000,-281653000,-606682000,-405137000,-69557000,586259000
90,Debt Repayment,-896643000,-2161248000,-71129000,-62684000,-1593735000,-1159830000,-223566000,-585252000,-1932241000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-10645000,-26980000,-27698000,-27899000,-7307000,- -
94,Other Financing Activites,616673000,2012712000,-170539000,-187176000,1719421000,1277094000,395453000,716313000,1789105000,- -
95,Cash Used/Provided by Financing Activities,-279970000,-148536000,-241668000,-249860000,115041000,90284000,144189000,103162000,-150443000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,34967000,7917000,-14764000,-6693000,17153000,97689000,-116486000,14657000,-7210000,- -
98,Cash at the End of Period,130163000,138080000,123316000,116623000,133776000,231465000,118258000,132915000,125705000,- -
