,https://roic.ai/company/NSS,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,1481564000,1618500000
2,COGS,680055000,654666000
3,Gross Profit,801509000,963834000
4,Gross Profit Ratio,0.5410,0.5955
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,102716000,113207000
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",102716000,113207000
9,Other Expenses,300863000,274871000
10,Operating Expenses,403579000,388078000
11,COGS and Expenses,1272462000,1382046000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),229054000,-213985000
14,Depreciation and Amortization,403579000,274380000
15,EBITDA,436313000,102508000
16,EBITDA ratio,0.2945,0.0633
17,Operating Income,209102000,236454000
18,Operating Income ratio,0.1411,0.1461
19,Total Other Income Expenses (Gains),-405422000,-194341000
20,Income Before Tax,-196320000,42113000
21,Income Before Tax Ratio,-0.1325,0.0260
22,Income Tax expense (Gain),2663000,3888000
23,Net Income,-198983000,38225000
24,Net Income ratio,-0.1343,0.0236
25,EPS,-2.55,0.49
26,EPS Diluted,-2.55,0.49
27,Weighted Average Shares Outstanding,77886100,77886100
28,Weighted Average Shares Outstanding Diluted,77886100,77886100
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1110805/000111080521000009/0001110805-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080522000008/0001110805-22-000008-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,153625000,5637000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,153625000,5637000
34,Net Receivables,133473000,135126000
35,Inventory,11059000,16644000
36,Other Current Assets,25400000,27135000
37,Total Current Assets,323557000,184542000
38,PP&E,3957512000,3541642000
39,Goodwill,766416000,732356000
40,Intangible Assets,630209000,557785000
41,Intangible Assets,1396625000,1290141000
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,139324000,140007000
45,Total Non-Current Assets,5493461000,4971790000
46,Other Assets,- -,- -
47,Total Assets,5817018000,5156332000
48,Accounts Payable,71731000,82446000
49,Short-Term Debt,3839000,3848000
50,Tax Payable,- -,14475000
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,145615000,128432000
53,Total Current Liabilities,221185000,214726000
54,Long-Term Debt,3593496000,3183555000
55,Deferred Revenue,- -,11831000
56,Deferred Tax Liabilities,- -,11831000
57,Other Non-Current Liabilities,170836000,136125000
58,Total Non-Current Liabilities,3764332000,3343342000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,3985517000,3558068000
62,Preferred Stock,- -,- -
63,Common Stock,- -,- -
64,Retained Earnings,- -,- -
65,Other Comprehensive Income/Loss,-96656000,-73978000
66,Other Total Stockholders Equity,1328615000,1055803000
67,Total Stockholders Equity,1231959000,981825000
68,Total Liabilities And Stockholders Equity,5217476000,4539893000
69,Minority Interest,599542000,616439000
70,Total Liabilities & Equity,5817018000,5156332000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1110805/000111080521000009/0001110805-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1110805/000111080522000008/0001110805-22-000008-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,- -,38225000
74,Depreciation and Amortization,- -,274380000
75,Deferred Income Tax,- -,-1369000
76,Stock Based Compensation,- -,14209000
77,Change in Working Capital,- -,- -
78,Accounts Receivable,- -,- -
79,Inventory,- -,- -
80,Accounts Payable,- -,1264000
81,Other Working Capital,- -,-30184000
82,Other Non-Cash Items,- -,176033000
83,Cash Provided by Operating Activities,- -,501478000
84,CAPEX,- -,-181133000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,75978000
89,Cash Used for Investing Activites,- -,75978000
90,Debt Repayment,- -,-1389700000
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,- -,664121000
95,Cash Used/Provided by Financing Activities,- -,-725579000
96,Effect of Forex Changes on Cash,- -,136000
97,Net Change In Cash,- -,-147987000
98,Cash at the End of Period,- -,14439000
99,Cash at the Beginning of Period,- -,162426000
100,Free Cash Flow,- -,320345000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1110805/000111080522000008/0001110805-22-000008-index.htm
102,false,,
