,https://roic.ai/company/TXMD,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,201182,196780,195834,244051,193099,193971,214190,368022,332573,286602,437586,621927,934525,1005274,- -,- -,10569,48217,2088177,3818013,8775598,15026219,20142898,19356450,16777713,16099460,49646937,64872280,86951000
2,COGS,- -,- -,59346,51983,55584,- -,40824,68981,66532,87921,116190,77065,130793,192187,272129,205371,- -,- -,43152,71932,947112,1348113,1959597,3671803,4506673,4185708,2636943,2737652,6334585,15974977,18838000
3,Gross Profit,- -,- -,141836,144797,140250,- -,152275,124990,147658,280101,216383,209537,306793,429740,662396,799903,- -,- -,-32583,-23715,1141065,2469900,6816001,11354416,15636225,15170742,14140770,13361808,43312352,48897303,68113000
4,Gross Profit Ratio,- -,- -,0.7050,0.7358,0.7162,- -,0.7886,0.6444,0.6894,0.7611,0.6506,0.7311,0.7011,0.6910,0.7088,0.7957,- -,- -,-3.0829,-0.4918,0.5464,0.6469,0.7767,0.7556,0.7763,0.7838,0.8428,0.8300,0.8724,0.7537,0.7833
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107241,4492362,13551263,43218938,72042774,53943477,33852993,27299138,19792212,10431907,7086000
6,General and Administrative Exp.,- -,- -,86433,82615,83498,- -,96695,94667,87464,105945,- -,- -,- -,- -,- -,- -,- -,- -,1318478,376873,- -,- -,- -,- -,- -,- -,- -,- -,- -,192963967,92602000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218421,5988,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108195000
8,"Selling, General and Administrative Exp.",- -,- -,86433,82615,83498,- -,96695,94667,87464,105945,- -,- -,- -,- -,- -,- -,- -,- -,1536899,382861,- -,- -,- -,- -,- -,- -,- -,- -,- -,192963967,200797000
9,Other Expenses,- -,- -,13469,26343,25938,- -,6318,32072,47113,36865,118934,109651,133332,232982,313404,311020,93743,395553,76203,61383,6461042,14125961,19072982,22176539,28783636,51480865,57916487,116282840,174725398,1042170,- -
10,Operating Expenses,- -,- -,99902,108958,109436,- -,103013,126739,134577,142810,118934,109651,133332,232982,313404,311020,93743,395553,1613102,444244,6568283,18618323,32624245,65395477,100826410,105424342,91769480,143581978,194517610,204438044,207883000
11,COGS and Expenses,- -,- -,159248,160941,165020,169588,143837,195720,201109,230731,235124,186716,264125,425169,585533,516391,93743,395553,1656254,516176,7515395,19966436,34583842,69067280,105333083,109610050,94406423,146319630,200852195,220413021,226721000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27234,37309,17442,10824,7699,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,4592,- -,- -,5745,395,- -,- -,- -,- -,- -,- -,- -,- -,- -,8856,64086,64380,1905409,2669903,260027,- -,- -,- -,4677834,17382215,28581043,32917000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000,55187,54368,- -,- -,76203,61383,54845,56260,58145,52467,62400,132451,213117,293886,1391478,4066561,4093000
15,EBITDA,- -,- -,42579,34183,36103,73793,-12738,-9837,12825,131668,61535,98912,104109,192993,427552,537383,-93743,-395553,-1569482,-569906,-12794140,-33158566,-25691265,-53904716,-85014624,-89743008,-76712263,-127645440,-157371306,-150876533,-135405000
