,https://roic.ai/company/SKKY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,718840,729336,783773,916869,1221598,1172306,1336316,1466412,1367448,1506929,1830459
2,COGS,3053,4815,7759,2578,31903,23316,32254,50921,- -,- -,- -
3,Gross Profit,715787,724521,776014,914291,1189695,1148990,1304062,1415491,- -,- -,- -
4,Gross Profit Ratio,0.9958,0.9934,0.9901,0.9972,0.9739,0.9801,0.9759,0.9653,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,2007265,- -,2296491,- -,1915349,1924384,1896705,1983596
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,2007265,- -,2296491,- -,1915349,1924384,1896705,1983596
9,Other Expenses,1098742,826528,1092027,1628,2613350,978,2054459,496,- -,2455,2624
10,Operating Expenses,1098742,826528,1092027,2008893,2613350,2297469,2054459,1915845,- -,1899160,1986220
11,COGS and Expenses,1101795,831343,1099786,2011471,2645253,2320785,2086713,1966766,1924864,1899160,1986220
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,6320,12640,15437,13,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2969,1875,1761,1628,38978,978,701,496,480,2455,2624
15,EBITDA,-408186,-100132,-313157,-1080946,-1351258,-1130236,-775542,-522622,-605856,-324882,-186865
16,EBITDA ratio,-0.5678,-0.1373,-0.3996,-1.1790,-1.1061,-0.9641,-0.5804,-0.3564,-0.4431,-0.2156,-0.1021
17,Operating Income,-382955,-102007,-316013,-1094602,1454642,-1148479,-750397,-500354,-557416,-392232,-155761
18,Operating Income ratio,-0.5327,-0.1399,-0.4032,-1.1938,1.1908,-0.9797,-0.5615,-0.3412,-0.4076,-0.2603,-0.0851
19,Total Other Income Expenses (Gains),-28200,-6320,-11545,-3409,-64393,17265,-25846,-22764,-17436,64895,-33728
