,https://roic.ai/company/PAGS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,208288000,444715000,740619000,1696185000,2641715000,3550294000,4508719000,6784800000
2,COGS,142483000,382483000,623667000,1324380000,2144699000,2762087000,3772298000,5775900000
3,Gross Profit,65805000,62232000,116952000,371805000,497016000,788207000,736421000,1008900000
4,Gross Profit Ratio,0.3159,0.1399,0.1579,0.2192,0.1881,0.2220,0.1633,0.1487
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,51348000,61129000,84461000,153177000,581668000,427366000,563893000,877600000
7,Selling and Marketing Exp.,81428000,162642000,199937000,245759000,351439000,565170000,617463000,1523900000
8,"Selling, General and Administrative Exp.",132776000,223771000,284398000,398936000,933107000,992536000,1181356000,2401500000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,132776000,223771000,284398000,398936000,933107000,992536000,1181356000,2401500000
11,COGS and Expenses,275259000,606254000,908065000,1723316000,3077806000,3754623000,4953654000,8177400000
12,Interest Income ,115792000,219462000,392429000,818624000,1414532000,2030511000,2177360000,3514400000
13,Interest Expense (Gain),11085000,29696000,68301000,104544000,31209000,38138000,109232000,790600000
14,Depreciation and Amortization,11637000,18933000,31246000,51571000,95363000,128348000,376335000,768593000
15,EBITDA,57595000,88539000,254313000,839606000,1343054000,2077597000,2259616000,3047011000
16,EBITDA ratio,0.2765,0.1991,0.3434,0.4950,0.5084,0.5852,0.5012,0.4491
17,Operating Income,50577000,-161539000,230320000,800069000,-436091000,-204329000,-444935000,-1392600000
18,Operating Income ratio,0.2428,-0.3632,0.3110,0.4717,-0.1651,-0.0576,-0.0987,-0.2053
19,Total Other Income Expenses (Gains),-14427000,201854000,-74961000,-116565000,1653714000,2116868000,2219626000,2880600000
20,Income Before Tax,36150000,40315000,155359000,683504000,1217623000,1912539000,1774691000,1488000000
21,Income Before Tax Ratio,0.1736,0.0907,0.2098,0.4030,0.4609,0.5387,0.3936,0.2193
22,Income Tax expense (Gain),8901000,4826000,27580000,204710000,307215000,545514000,482391000,321700000
23,Net Income,25972000,35084000,127186000,478781000,909267000,1365597000,1291658000,1166118000
24,Net Income ratio,0.1247,0.0789,0.1717,0.2823,0.3442,0.3846,0.2865,0.1719
25,EPS,0.08,0.13,0.40,1.83,2.86,4.16,3.92,11.12
26,EPS Diluted,0.08,0.13,0.40,1.83,2.86,4.15,3.92,10.85
27,Weighted Average Shares Outstanding,315140070,262288607,315140070,262288607,317647562,328169609,329292240,104899000
28,Weighted Average Shares Outstanding Diluted,315140070,262288607,315140070,262288607,318126671,329259656,329814177,107486000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1712807/000119312519106992/d715041d20f.htm,https://www.sec.gov/Archives/edgar/data/1712807/000119312520115076/d853065d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,1199000,6888000,79969000,66767000,2763050000,1403955000,1640065000,1794362000
32,Short-Term Investments,33000,- -,131239000,210103000,- -,1349666000,979837000,782647000
33,Cash and Short-Term Investments,1232000,6888000,211208000,276870000,2763050000,2753621000,2619902000,2577009000
34,Net Receivables,761224000,1192669000,2038521000,3689474000,8190480000,10732839000,16596750000,24092788000
35,Inventory,16114000,41204000,21023000,61609000,88551000,61936000,30429000,49537000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,778570000,1240761000,2270752000,4027953000,11042081000,13548396000,19247081000,26719334000
38,PP&E,1943000,3838000,4558000,10889000,67104000,399990000,1802613000,2289052000
39,Goodwill,- -,- -,- -,23686000,40574000,54858000,169667000,- -
40,Intangible Assets,28451000,48619000,86108000,135182000,265040000,534695000,953953000,- -
41,Intangible Assets,28451000,48619000,86108000,158868000,305614000,589553000,1123620000,1650176000
42,Investments,- -,- -,- -,- -,- -,1500000,16400000,15666000
43,Tax Assets,8086000,6726000,8305000,37015000,- -,- -,83296000,120762000
44,Other Non-Current Assets,548000,749000,680000,1032000,2479000,42809000,51312000,280814000
45,Total Non-Current Assets,39028000,59932000,99651000,207804000,375197000,1033852000,3077241000,4356470000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,817598000,1300693000,2370403000,4235757000,11417278000,14582248000,22324322000,31075804000
48,Accounts Payable,3537000,35344000,61719000,92444000,165246000,256281000,335539000,578004000
49,Short-Term Debt,- -,- -,205204000,- -,- -,- -,- -,1005787000
50,Tax Payable,2849000,2998000,6911000,52064000,103909000,131327000,37071000,63934000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,186219000,162566000
52,Other Current Liabilities,381785000,797191000,1452240000,3226523000,4545529000,5636782000,11052717000,17256562000
53,Total Current Liabilities,385322000,832535000,1719163000,3318967000,4710775000,5893063000,11574475000,19002919000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,27336000,17300000
56,Deferred Tax Liabilities,5377000,6257000,24378000,42809000,132125000,630950000,1132595000,1391760000
57,Other Non-Current Liabilities,336000,24000,- -,3590000,2000,43287000,262457000,161627000
58,Total Non-Current Liabilities,5713000,6281000,24378000,46399000,132127000,674237000,1422388000,1570687000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,391035000,838816000,1743541000,3365366000,4842902000,6567300000,12996863000,20573606000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,42568000,441616000,524577000,524577000,26000,26000,26000,26000
64,Retained Earnings,- -,- -,- -,- -,- -,2274864000,3566522000,4732624000
65,Other Comprehensive Income/Loss,646000,8345000,102285000,342318000,6590076000,5758941000,5762407000,6054559000
66,Other Total Stockholders Equity,381569000,9730000,- -,- -,-39532000,-41267000,-13609000,-285011000
67,Total Stockholders Equity,424783000,459691000,626862000,866895000,6550570000,7992564000,9315346000,10502198000
68,Total Liabilities And Stockholders Equity,815818000,1298507000,2370403000,4232261000,11393472000,14559864000,22312209000,31075804000
69,Minority Interest,1780000,2186000,- -,3496000,23806000,22384000,12113000,- -
70,Total Liabilities & Equity,817598000,1300693000,2370403000,4235757000,11417278000,14582248000,22324322000,31075804000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1712807/000119312519106992/d715041d20f.htm,https://www.sec.gov/Archives/edgar/data/1712807/000119312520115076/d853065d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,25972000,35084000,127186000,478781000,909267000,1365597000,1291658000,1166118000
74,Depreciation and Amortization,11637000,18933000,31246000,51571000,95363000,128348000,376335000,768593000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-84294000,-4638000
76,Stock Based Compensation,- -,- -,- -,- -,264179000,93369000,122870000,370629000
77,Change in Working Capital,-75913000,-111762000,-282226000,-366560000,-3626687000,-2192501000,-570496000,-3775045000
78,Accounts Receivable,- -,- -,- -,- -,- -,-3125537000,-5586919000,-9303060000
79,Inventory,-13846000,-25090000,20181000,-40586000,-47012000,14216000,31602000,-132398000
80,Accounts Payable,3968000,31836000,25430000,29531000,72579000,89962000,72328000,243585000
81,Other Working Capital,251695000,121617000,-210724000,-67023000,142762000,-176333000,190919000,324100000
82,Other Non-Cash Items,53851000,105343000,200783000,289823000,594678000,1084794000,1016589000,2372350000
83,Cash Provided by Operating Activities,15547000,47598000,76989000,453615000,-1763200000,479607000,2152662000,898007000
84,CAPEX,-22776000,-42099000,-72390000,-107546000,-253608000,-693394000,-2046554000,-1751829000
85,Acquisitions Net,- -,- -,- -,-22225000,-1813000,-17739000,-345603000,-43367000
86,Purchases of Investments,- -,- -,-337098000,-209569000,- -,-1109619000,- -,- -
87,Sales/Maturities of Investments,150000,190000,206190000,132107000,211116000,- -,530667000,- -
88,Other Investing Activites,-21002000,-38880000,-70394000,-99673000,-192048000,-365068000,-523784000,-455308000
89,Cash Used for Investing Activites,-22626000,-41909000,-203298000,-207233000,-44305000,-1820752000,-1861489000,-1470949000
90,Debt Repayment,- -,- -,- -,-199480000,- -,- -,- -,-15148000
91,Common Stock Issued,- -,- -,- -,- -,4717875000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-39532000,-1735000,-44774000,-257992000
93,Dividends Paid,- -,- -,- -,-54273000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,199390000,-5831000,-174555000,-16215000,-10289000,1000378000
95,Cash Used/Provided by Financing Activities,- -,- -,199390000,-259584000,4503788000,-17950000,-55063000,727238000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-7079000,5689000,73081000,-13202000,2696283000,-1359095000,236110000,154297000
98,Cash at the End of Period,1199000,6888000,79969000,66767000,2763050000,1403955000,1640065000,1794362000
99,Cash at the Beginning of Period,8278000,1199000,6888000,79969000,66767000,2763050000,1403955000,1640065000
