,https://roic.ai/company/EHTH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9287000,16580000,22236000,30215000,41752000,61310000,87791000,111711000,134890000,160404000,151648000,155473000,179180000,179677000,189541000,186960000,172355000,251395000,506201000,582774000,538199000
2,COGS,- -,- -,6785000,447000,614000,1305000,1702000,1746000,4581000,5499000,8340000,4783000,5461000,4494000,4178000,3176000,2273000,1228000,2738000,4083000,1992000
3,Gross Profit,- -,- -,15451000,29768000,41138000,60005000,86089000,109965000,130309000,154905000,143308000,150690000,173719000,175183000,185363000,183784000,170082000,250167000,503463000,578691000,536207000
4,Gross Profit Ratio,- -,- -,0.6949,0.9852,0.9853,0.9787,0.9806,0.9844,0.9660,0.9657,0.9450,0.9692,0.9695,0.9750,0.9780,0.9830,0.9868,0.9951,0.9946,0.9930,0.9963
5,Research and Development Exp.,- -,- -,- -,7461000,8054000,10137000,12393000,14182000,15685000,19241000,21657000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,13084000,12312000,- -,12962000,15930000,20473000,28183000,32362000,34797000,41865000,49491000,77857000,96913000,110684000,109749000,116683000,132041000,148345000,245539000,76452000,75699000
7,Selling and Marketing Exp.,10384000,7472000,7002000,12732000,17786000,21405000,29497000,42161000,53987000,60102000,56877000,57789000,71660000,69732000,75571000,72213000,65874000,82939000,150249000,209340000,271300000
8,"Selling, General and Administrative Exp.",23468000,19784000,7002000,25694000,33716000,41878000,57680000,74523000,88784000,101967000,106368000,135646000,168573000,180416000,185320000,188896000,197915000,231284000,395788000,285792000,346999000
9,Other Expenses,- -,- -,11718000,- -,- -,- -,- -,- -,- -,1138000,2046000,1615000,1414000,1529000,1153000,1040000,1040000,2091000,2187000,239576000,316845000
10,Operating Expenses,- -,- -,18720000,33155000,41770000,52015000,70073000,88705000,104469000,122346000,130071000,137261000,169987000,181945000,186473000,189936000,198955000,233375000,397975000,525368000,663844000
11,COGS and Expenses,30476000,26232000,25505000,33602000,42384000,53320000,71775000,90451000,109050000,127845000,138411000,142044000,175448000,186439000,190651000,193112000,201228000,234603000,400713000,529451000,663844000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,938000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,1484000,1136000,1526000,1709000,1863000,2211000,3347000,4404000,4026000,4680000,5721000,5928000,5515000,5341000,6771000,8991000,12943000,5966000
15,EBITDA,-19767000,-9646000,-3195000,-1843000,743000,10868000,23012000,26837000,28989000,35915000,17588000,17478000,8320000,-1139000,322000,-238000,-23826000,10077000,92490000,66932000,-118924000
16,EBITDA ratio,-2.1285,-0.5818,-0.1437,-0.0610,0.0178,0.1773,0.2621,0.2402,0.2149,0.2239,0.1160,0.1124,0.0464,-0.0063,0.0017,-0.0013,-0.1382,0.0401,0.1827,0.1149,-0.2210
17,Operating Income,-21189000,-9652000,-3269000,-3387000,-632000,7990000,16016000,21260000,25840000,32559000,13237000,13429000,3732000,-6762000,-5651000,-5855000,-29494000,2551000,81409000,53323000,-125645000
18,Operating Income ratio,-2.2816,-0.5821,-0.1470,-0.1121,-0.0151,0.1303,0.1824,0.1903,0.1916,0.2030,0.0873,0.0864,0.0208,-0.0376,-0.0298,-0.0313,-0.1711,0.0101,0.1608,0.0915,-0.2335
19,Total Other Income Expenses (Gains),1422000,6000,74000,60000,239000,1326000,5287000,3714000,938000,9000,-53000,23000,-92000,-98000,45000,102000,327000,755000,2090000,666000,755000
20,Income Before Tax,-19767000,-9646000,-3195000,-3327000,-393000,9316000,21303000,24974000,26778000,32568000,13184000,13452000,3640000,-6860000,-5606000,-5753000,-29167000,3306000,83499000,53989000,-124890000
21,Income Before Tax Ratio,-2.1285,-0.5818,-0.1437,-0.1101,-0.0094,0.1519,0.2427,0.2236,0.1985,0.2030,0.0869,0.0865,0.0203,-0.0382,-0.0296,-0.0308,-0.1692,0.0132,0.1650,0.0926,-0.2321
22,Income Tax expense (Gain),- -,- -,- -,- -,21000,-7161000,-10292000,10806000,11431000,15086000,6460000,6370000,1917000,9345000,-843000,-871000,-3755000,3065000,16612000,8539000,-20515000
23,Net Income,-19767000,-9646000,-3195000,-3327000,-414000,16503000,31595000,14168000,15347000,17482000,6724000,7082000,1723000,-16205000,-4763000,-4882000,-25412000,241000,66887000,45450000,-104375000
24,Net Income ratio,-2.1285,-0.5818,-0.1437,-0.1101,-0.0099,0.2692,0.3599,0.1268,0.1138,0.1090,0.0443,0.0456,0.0096,-0.0902,-0.0251,-0.0261,-0.1474,0.0010,0.1321,0.0780,-0.1939
25,EPS,-4.67,-2.18,-0.65,-0.74,-0.09,1.91,1.37,0.57,0.63,0.76,0.32,0.36,0.09,-0.88,-0.26,-0.27,1.37,0.01,2.90,1.75,-4.59
26,EPS Diluted,-4.67,-2.18,-0.65,-0.74,-0.09,0.80,1.22,0.55,0.61,0.73,0.31,0.34,0.09,-0.88,-0.26,-0.27,1.33,0.01,2.73,1.68,-4.59
27,Weighted Average Shares Outstanding,4229000,4428000,4903000,4473000,4661000,8590000,23092000,24963000,24309000,23118000,20947000,19867000,19145000,18367000,18008000,18272000,18512000,19294000,23075000,26025000,26781000
28,Weighted Average Shares Outstanding Diluted,4229000,4428000,19158000,4473000,4661000,20572000,25797000,25954000,25201000,23873000,21703000,20753000,19846000,18367000,18008000,18272000,19047000,20409000,24539000,27014000,26781000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1333493/000119312507060688/0001193125-07-060688-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312508058976/0001193125-08-058976-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312509053969/0001193125-09-053969-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000119312510048905/0001193125-10-048905-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000119312511067102/0001193125-11-067102-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000119312512115547/0001193125-12-115547-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349313000033/0001333493-13-000033-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349314000029/0001333493-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349315000016/a10kehth12312014.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349316000078/0001333493-16-000078-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349317000021/0001333493-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349318000025/0001333493-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000162828019002899/0001628280-19-002899-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349320000021/0001333493-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/1333493/000133349321000019/0001333493-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1333493/000133349322000023/0001333493-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,8707000,9415000,90316000,81395000,94136000,131339000,128074000,123607000,140849000,107055000,51415000,62710000,61781000,40293000,13089000,23466000,43759000,81926000
32,Short-Term Investments,- -,- -,- -,- -,- -,158000,40119000,56499000,22184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49620000,41306000
33,Cash and Short-Term Investments,- -,- -,- -,8707000,9415000,90474000,121514000,150635000,153523000,128074000,123607000,140849000,107055000,51415000,62710000,61781000,40293000,13089000,23466000,93379000,123232000
