,https://roic.ai/company/ALPN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,1731000,705000,1740000,9335000,23443000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,1740000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.1864,- -
5,Research and Development Exp.,7100267,13136000,12199547,16054000,23316000,10626000,28970000,35847000,27185000,58742000
6,General and Administrative Exp.,1929357,2141000,2287709,6844000,8586000,6079000,8362000,9467000,10899000,14560000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1929357,2141000,2287709,6844000,8586000,6079000,8362000,9467000,10899000,14560000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9029624,15277000,14487256,22898000,31902000,16705000,37332000,45314000,38084000,73302000
11,COGS and Expenses,9029624,15277000,14487256,22898000,31902000,16705000,37332000,45314000,38084000,- -
12,Interest Income ,- -,10000,- -,80000,439000,542000,1296000,1248000,245000,259000
13,Interest Expense (Gain),694073,931000,845099,- -,- -,152000,319000,338000,775000,-816000
14,Depreciation and Amortization,212033,219000,86440,66000,143000,241000,388000,468000,578000,- -
15,EBITDA,-8666654,-15048000,-14400816,-22832000,-31759000,-7590000,-36146000,-41046000,-26593000,-51062000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.3847,-51.2709,-23.5897,-2.8487,-2.1781
17,Operating Income,-9029624,-15277000,-14487256,-22898000,-31902000,-14974000,-37830000,-43574000,-28749000,-49859000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.6505,-53.6596,-25.0425,-3.0797,-2.1268
19,Total Other Income Expenses (Gains),-543136,-921000,-548756,80000,439000,6991000,977000,1722000,803000,-387000
20,Income Before Tax,-9572760,-16198000,-15036012,-22818000,-31463000,-7983000,-36853000,-41852000,-27946000,-50246000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.6118,-52.2738,-24.0529,-2.9937,-2.1433
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-200000,-366000,- -,-6000,87000
23,Net Income,-9572760,-16198000,-15036012,-22818000,-31463000,-7783000,-36487000,-41852000,-27940000,-50333000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.4962,-51.7546,-24.0529,-2.9930,-2.1470
25,EPS,-5.01,-7.10,-7.68,-9.72,-8.12,-1.20,-2.63,-2.28,-1.34,-1.98
26,EPS Diluted,-5.01,-7.10,-7.68,-9.72,-8.12,-1.20,-2.63,-2.28,-1.34,-1.98
27,Weighted Average Shares Outstanding,1909646,2281089,1909646,2342750,3873000,6481665,13849470,18358864,20826466,25476889
28,Weighted Average Shares Outstanding Diluted,1909646,2281089,1909646,2342750,3873000,6481665,13849470,18358864,20826466,25476889
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1626199/000155837016003896/0001558370-16-003896-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000155837017000560/0001558370-17-000560-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000156459018006916/0001564590-18-006916-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619919000010/0001626199-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619920000009/0001626199-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619921000038/0001626199-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1626199/000162619922000032/0001626199-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1097890,27811557,24991000,24203000,8000000,10711000,16123000,34959000,67907000
32,Short-Term Investments,- -,- -,- -,62263000,36832000,73240000,41592000,24397000,70622000,52866000
33,Cash and Short-Term Investments,- -,1097890,27811557,87254000,61035000,81240000,52303000,40520000,105581000,120773000
34,Net Receivables,- -,- -,- -,- -,- -,128000,237000,686000,388000,25000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,705013,630351,432000,628000,1180000,1005000,1096000,1132000,- -
37,Total Current Assets,- -,1802903,28441908,87686000,61663000,82548000,53545000,42302000,107101000,145773000
38,PP&E,- -,175236,91358,213000,175000,1089000,1196000,11537000,11186000,10553000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,1453000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,1453000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,25549000,94396000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000
44,Other Non-Current Assets,- -,2156269,10000,10000,97000,132000,132000,254000,254000,- -
45,Total Non-Current Assets,- -,2331505,101358,223000,272000,2674000,1328000,11791000,36989000,105163000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,215290000
47,Total Assets,- -,4134408,28543266,87909000,61935000,85222000,54873000,54093000,144090000,255900000
48,Accounts Payable,- -,670688,928941,994000,1921000,193000,1716000,1543000,582000,3349000
49,Short-Term Debt,- -,1994240,- -,- -,- -,995000,2048000,418000,3181000,5239000
50,Tax Payable,- -,- -,- -,- -,- -,30000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,277000,- -,1435000,31627000,51773000
52,Other Current Liabilities,- -,1346758,1486276,3425000,4578000,430000,4363000,5285000,5777000,9417000
53,Total Current Liabilities,- -,4011686,2415217,4419000,6499000,1895000,8127000,8681000,41167000,69778000
54,Long-Term Debt,- -,13349778,- -,- -,- -,4039000,2155000,4509000,7602000,14389000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,21348000,50830000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,305000,- -,- -,- -,- -
