,https://roic.ai/company/PUBM,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,99264000,113871000,148748000,226908000
2,COGS,31235000,36104000,41186000,58313000
3,Gross Profit,68029000,77767000,107562000,168595000
4,Gross Profit Ratio,0.6853,0.6829,0.7231,0.7430
5,Research and Development Exp.,12619000,12453000,12250000,15885000
6,General and Administrative Exp.,16998000,20307000,20260000,35761000
7,Selling and Marketing Exp.,33444000,36498000,43297000,58160000
8,"Selling, General and Administrative Exp.",50442000,56805000,63557000,93921000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,63061000,69258000,75807000,109806000
11,COGS and Expenses,94296000,105362000,116993000,168119000
12,Interest Income ,877000,1290000,537000,- -
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,12285000,12671000,15743000,23073000
15,EBITDA,17915000,21893000,47323000,87876000
16,EBITDA ratio,0.1805,0.1923,0.3181,0.3873
17,Operating Income,4968000,8509000,31755000,58789000
18,Operating Income ratio,0.0500,0.0747,0.2135,0.2591
19,Total Other Income Expenses (Gains),662000,713000,-175000,6014000
20,Income Before Tax,5630000,9222000,31580000,64803000
21,Income Before Tax Ratio,0.0567,0.0810,0.2123,0.2856
22,Income Tax expense (Gain),1205000,2579000,4967000,8199000
23,Net Income,4425000,6643000,26613000,56604000
24,Net Income ratio,0.0446,0.0583,0.1789,0.2495
25,EPS,0.10,0.16,0.51,1.12
26,EPS Diluted,0.09,0.15,0.46,1.00
27,Weighted Average Shares Outstanding,43622567,43480952,12642293,50559636
28,Weighted Average Shares Outstanding Diluted,47516217,45613853,17495551,56498891
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1422930/000142293021000009/0001422930-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1422930/000142293022000009/0001422930-22-000009-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,21215000,34250000,81188000,82505000
32,Short-Term Investments,14294000,21202000,19793000,77121000
33,Cash and Short-Term Investments,35509000,55452000,100981000,159626000
34,Net Receivables,109293000,117655000,219511000,286916000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,5104000,4534000,6622000,14207000
37,Total Current Assets,149906000,177641000,327114000,460749000
38,PP&E,18766000,20331000,30044000,71753000
39,Goodwill,6250000,6250000,6250000,6250000
40,Intangible Assets,337000,- -,- -,- -
41,Intangible Assets,6587000,6250000,6250000,6250000
42,Investments,- -,- -,- -,- -
43,Tax Assets,2332000,2139000,762000,515000
44,Other Non-Current Assets,632000,1084000,7076000,10948000
45,Total Non-Current Assets,28317000,29804000,44132000,89466000
