,https://roic.ai/company/FN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,375659000,496143000,511098000,441099000,505712000,743600000,564732000,641500000,677900000,773587000,976747000,1420490000,1371925000,1584335000,1641836000,1879350000
2,COGS,339682000,423858000,442784000,383058000,441370000,648800000,502818000,572100000,603600000,685814000,857224000,1249030000,1218513000,1405111000,1455731000,1657987000
3,Gross Profit,35977000,72285000,68314000,58041000,64342000,94800000,61914000,69400000,74300000,87773000,119523000,171460000,153412000,179224000,186105000,221363000
4,Gross Profit Ratio,0.0958,0.1457,0.1337,0.1316,0.1272,0.1275,0.1096,0.1082,0.1096,0.1135,0.1224,0.1207,0.1118,0.1131,0.1134,0.1178
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,24800000,- -,23800000,27700000,39460000,49753000,- -,57812000,55067000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,24800000,- -,23800000,27700000,39460000,49753000,- -,57812000,55067000,- -,- -
9,Other Expenses,10935000,18036000,21741000,21960000,16192000,0,23466000,-25100000,-44800000,1153000,-36000,65626000,1776000,1516000,68374000,70567000
10,Operating Expenses,10935000,18036000,21741000,21960000,16192000,24800000,23466000,-1300000,-17100000,40613000,49717000,65626000,59588000,56583000,68374000,70567000
11,COGS and Expenses,350617000,441894000,464525000,405018000,457562000,673600000,526284000,570800000,586500000,726427000,906941000,1314656000,1278101000,1461694000,1524105000,1728554000
12,Interest Income ,1015000,1370000,1364000,756000,327000,494000,844000,1083000,1793000,1253000,1535000,1977000,3925000,6699000,7592000,3783000
13,Interest Expense (Gain),3346000,2842000,1547000,1266000,500000,357000,427000,1010000,713000,616000,1569000,3321000,3606000,5381000,3044000,1100000
14,Depreciation and Amortization,5592000,6360000,7624000,8727000,8209000,9195000,9713000,10211000,10658000,12947000,17357000,23793000,29087000,29944000,30875000,36252000
15,EBITDA,31468000,61643000,54962000,43535000,56799000,78352000,-48295000,83161000,104510000,61189000,87158000,130971000,120722000,161558000,153161000,187836000
16,EBITDA ratio,0.0838,0.1242,0.1075,0.0987,0.1123,0.1054,-0.0855,0.1296,0.1542,0.0791,0.0892,0.0922,0.0880,0.1020,0.0933,0.0999
17,Operating Income,25042000,54249000,46573000,33692000,48150000,69941000,-60816000,70790000,91317000,47160000,69806000,105834000,93824000,122641000,117402000,150753000
18,Operating Income ratio,0.0667,0.1093,0.0911,0.0764,0.0952,0.0941,-0.1077,0.1104,0.1347,0.0610,0.0715,0.0745,0.0684,0.0774,0.0715,0.0802
19,Total Other Income Expenses (Gains),-2512000,-1808000,-782000,-150000,-60000,-1041000,2381000,1110000,1883000,466000,-1574000,-1977000,-5795000,3592000,1840000,-269000
20,Income Before Tax,22530000,52441000,45791000,33542000,48090000,68900000,-58435000,71900000,93200000,47626000,68232000,103857000,88029000,126233000,119242000,150484000
21,Income Before Tax Ratio,0.0600,0.1057,0.0896,0.0760,0.0951,0.0927,-0.1035,0.1121,0.1375,0.0616,0.0699,0.0731,0.0642,0.0797,0.0726,0.0801
22,Income Tax expense (Gain),1076000,2702000,3962000,2238000,3767000,4500000,-1968000,2940000,1439000,3984000,6335000,6742000,3862000,5278000,5763000,2143000
23,Net Income,21454000,49739000,41829000,31304000,44323000,64300000,-56467000,69000000,91700000,43642000,61897000,97115000,84167000,120955000,113479000,148341000
24,Net Income ratio,0.0571,0.1003,0.0818,0.0710,0.0876,0.0865,-0.1000,0.1076,0.1353,0.0564,0.0634,0.0684,0.0613,0.0763,0.0691,0.0789
25,EPS,0.70,1.61,1.40,1.03,1.44,1.90,-1.64,2.00,2.63,1.23,1.73,2.63,2.26,3.29,3.07,4.02
26,EPS Diluted,0.68,1.59,1.33,1.00,1.41,1.87,-1.64,1.98,2.58,1.21,1.68,2.57,2.21,3.23,3.01,3.95
27,Weighted Average Shares Outstanding,30854000,30854000,29889000,30360000,30854000,33922000,34382000,34557000,34938000,35354000,35857000,36927000,37257000,36798000,36908000,36872000
28,Weighted Average Shares Outstanding Diluted,31369000,31369000,31349000,31183000,31369000,34407000,34382000,34846000,35589000,35984000,36872000,37852000,38035000,37415000,37665000,37555000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408710/000119312511237974/0001193125-11-237974-index.html,- -,https://www.sec.gov/Archives/edgar/data/1408710/000119312513338274/0001193125-13-338274-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312514373828/d744961d10k.htm,https://www.sec.gov/Archives/edgar/data/1408710/000119312515296113/0001193125-15-296113-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312516684108/d209618d10k.htm,https://www.sec.gov/Archives/edgar/data/1408710/000119312517265630/0001193125-17-265630-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312518255054/0001193125-18-255054-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312519225268/0001193125-19-225268-index.html,https://www.sec.gov/Archives/edgar/data/1408710/000119312520223682/0001193125-20-223682-index.htm,https://www.sec.gov/Archives/edgar/data/1408710/000140871021000034/0001408710-21-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40063000,40873000,55682000,114845000,84942000,32700000,115507000,149700000,233500000,112978000,142804000,133825000,158102000,180839000,225430000,302969000
32,Short-Term Investments,- -,- -,- -,- -,- -,95000000,- -,- -,- -,142866000,141709000,151450000,174269000,256493000,262693000,244963000
33,Cash and Short-Term Investments,40063000,40873000,55682000,114845000,84942000,127700000,115507000,149700000,233500000,255844000,284513000,285275000,332371000,437332000,488123000,547932000
34,Net Receivables,94587000,76536000,96492000,64047000,127833000,117700000,128253000,118500000,101200000,134952000,196145000,264349000,246912000,273049000,310231000,348425000
35,Inventory,70650000,76439000,69076000,47841000,98146000,106500000,103223000,89000000,124600000,130613000,181499000,238665000,257687000,293612000,309786000,422133000
36,Other Current Assets,2900000,4055000,7738000,1649000,5405000,5800000,13688000,6800000,5200000,5630000,11134000,10465000,17340000,19842000,26716000,34017000
37,Total Current Assets,208200000,197903000,228988000,228382000,316326000,357700000,360671000,364000000,464500000,527039000,673291000,798754000,854310000,1023835000,1134856000,1352507000
38,PP&E,31025000,39846000,59635000,56034000,57651000,75400000,97923000,97200000,97200000,140654000,178410000,216881000,219640000,210686000,236342000,247828000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3806000,3828000,3705000,- -,- -
40,Intangible Assets,- -,- -,1673000,1344000,1220000,900000,380000,200000,100000,137000,499000,5840000,4880000,3887000,4312000,4371000
41,Intangible Assets,- -,- -,1673000,1344000,1220000,900000,380000,200000,100000,137000,499000,9646000,8708000,7592000,4312000,4371000
42,Investments,- -,- -,- -,- -,- -,1163000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,996000,1726000,1792000,1427000,1626000,- -,1764000,1200000,1000000,737000,854000,2905000,2284000,3561000,5675000,9428000
44,Other Non-Current Assets,594000,606000,625000,898000,602000,2637000,624000,1000000,1800000,3936000,2803000,4889000,3076000,9644000,202000,1988000
45,Total Non-Current Assets,32615000,42178000,63725000,59703000,61099000,80100000,100691000,99600000,100100000,145464000,182566000,234321000,233708000,231483000,246531000,263615000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,240815000,240081000,292713000,288085000,377425000,437800000,461362000,463600000,564600000,672503000,855857000,1033075000,1088018000,1255318000,1381387000,1616122000
48,Accounts Payable,82085000,47628000,66308000,53577000,102977000,92600000,86000000,77100000,94900000,115319000,172052000,215262000,220159000,257617000,251603000,346555000
49,Short-Term Debt,20508000,25673000,6257000,7933000,6008000,4398000,9668000,9668000,6000000,36000000,24600000,48746000,3701000,3648000,14135000,14749000
50,Tax Payable,209000,1875000,2183000,864000,2521000,2914000,353000,1825000,1024000,1470000,2010000,1976000,709000,1801000,2242000,3612000
