,https://roic.ai/company/HGEN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,590000,17710000,20260000,6100000,40000,- -,- -,- -,- -,- -,- -,312000,3595000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,22860000,18890000,18510000,24520000,32640000,26573000,16721000,10449000,11165000,2219000,2616000,72713000,213115000
6,General and Administrative Exp.,5190000,4940000,4010000,5060000,8310000,10145000,14296000,8376000,7866000,9112000,6328000,- -,23252000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5190000,4940000,4010000,5060000,8310000,10145000,14296000,8376000,7866000,9112000,6328000,- -,23252000
9,Other Expenses,2000,5000,2000,- -,3000,- -,- -,- -,- -,- -,- -,15797000,- -
10,Operating Expenses,28052000,23835000,22522000,29580000,40953000,36718000,31017000,18825000,19031000,11331000,8944000,88510000,236367000
11,COGS and Expenses,28050000,23840000,22520000,29580000,40950000,36718000,34352000,23695000,19328000,11450000,8944000,88510000,- -
12,Interest Income ,- -,- -,- -,- -,86000,88000,29000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1086000,1214000,842000,131000,3056000,852000,1349000,1336000,-2264000
14,Depreciation and Amortization,844000,843000,595000,304000,298000,310000,197000,102000,48000,19000,- -,- -,- -
15,EBITDA,-25986000,-4257000,-1635000,-23206000,-40566000,-36408000,-34155000,-23593000,-19280000,-11431000,-8945000,-88199000,-238913000
16,EBITDA ratio,-44.0441,-0.2404,-0.0807,-3.8043,-1014.1500,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-282.6891,-66.4570
17,Operating Income,-27463000,-6123000,-2267000,-23482000,-40909000,-36718000,-34352000,-18825000,-19031000,-11331000,-8944000,-88198000,-232772000
18,Operating Income ratio,-46.5475,-0.3457,-0.1119,-3.8495,-1022.7250,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-282.6859,-64.7488
19,Total Other Income Expenses (Gains),643000,1023000,37000,-28000,-1041000,-1280000,-1026000,-8194000,-2956000,-673000,-1350000,-1337000,-3877000
20,Income Before Tax,-26820000,-5100000,-2230000,-23510000,-41950000,-37998000,-35378000,-27019000,-21987000,-12004000,-10294000,-89535000,-236649000
21,Income Before Tax Ratio,-45.4576,-0.2880,-0.1101,-3.8541,-1048.7500,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-286.9712,-65.8273
22,Income Tax expense (Gain),-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-26810000,-5100000,-2230000,-23510000,-41950000,-37998000,-35378000,-27019000,-21987000,-12004000,-10294000,-89535000,-236649000
24,Net Income ratio,-45.4407,-0.2880,-0.1101,-3.8541,-1048.7500,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-286.9712,-65.8273
25,EPS,-85.16,-97.33,-6.80,-38.97,-69.20,-46.00,-42.85,-13.90,-7.35,-0.65,-0.45,-2.42,-3.98
26,EPS Diluted,-85.16,-97.33,-6.80,-38.97,-69.20,-46.00,-42.85,-13.90,-7.35,-0.65,-0.45,-2.42,-3.98
27,Weighted Average Shares Outstanding,314767,52398,314767,603197,606760,824482,825001,1941575,2995074,18951275,22361250,36963030,59486626
28,Weighted Average Shares Outstanding Diluted,314767,52398,314767,603197,606760,824482,825001,1941575,2995074,18951275,22361250,36963030,59486626
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1293310/000119312513134980/0001193125-13-134980-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000104746914002331/a2218868z10-k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000155837015000364/kbio-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465916013550/s82516010k.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465917001799/0001214659-17-001799-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465918002397/0001214659-18-002397-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465919002284/0001214659-19-002284-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465920002661/0001214659-20-002661-index.html,https://www.sec.gov/Archives/edgar/data/1293310/000121465921002990/0001214659-21-002990-index.htm,https://www.sec.gov/Archives/edgar/data/1293310/000121465922003416/0001214659-22-003416-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8900000,3340000,10950000,54220000,10923000,8431000,2906000,737000,814000,143000,67737000,70016000
32,Short-Term Investments,- -,24850000,14510000,9350000,22510000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,33750000,17850000,20300000,76730000,10923000,8431000,2906000,737000,814000,143000,67737000,70016000
34,Net Receivables,- -,680000,240000,90000,40000,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,890000,510000,870000,950000,31322000,1963000,1643000,813000,485000,309000,475000,955000
37,Total Current Assets,- -,35320000,18600000,21260000,77720000,42245000,10394000,4549000,1550000,1299000,452000,68212000,70971000
38,PP&E,- -,450000,430000,230000,280000,414000,288000,68000,19000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,45000,- -,- -,- -,- -,- -,- -,- -,20000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,210000,320000,3005000,700000,318000,464000,101000,101000,71000,71000,70000,90000
45,Total Non-Current Assets,- -,660000,750000,3280000,980000,732000,752000,169000,120000,71000,71000,90000,90000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,35980000,19350000,24540000,78700000,42977000,11146000,4718000,1670000,1370000,523000,68302000,71061000
48,Accounts Payable,- -,1170000,270000,2450000,3200000,1822000,- -,4072000,3330000,2856000,5046000,13078000,44698000
49,Short-Term Debt,- -,- -,- -,- -,3182000,10928000,- -,3016000,18018000,2278000,5240000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1874000,4145000
52,Other Current Liabilities,- -,18020000,7840000,4770000,4998000,5303000,- -,736000,3307000,3129000,3308000,5463000,19882000
53,Total Current Liabilities,- -,19190000,8110000,7220000,11380000,18053000,- -,7824000,24655000,8263000,13594000,20415000,68725000
54,Long-Term Debt,- -,- -,- -,9830000,6790000,- -,- -,1273000,1351000,1217000,1247000,- -,25006000
55,Deferred Revenue,- -,- -,- -,62000,- -,311000,- -,- -,- -,- -,- -,2342000,1018000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4020000,400000,348000,- -,- -,5414000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,4020000,400000,10240000,6790000,311000,5414000,1273000,1351000,1217000,1247000,2342000,26024000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,23210000,8510000,17460000,18170000,18364000,5414000,9097000,26006000,9480000,14841000,22757000,94749000
62,Preferred Stock,- -,- -,- -,102023000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,30000,33000,4000,15000,15000,110000,114000,52000,64000
64,Retained Earnings,- -,-72530000,-74760000,-98270000,-140220000,-178213000,-213591000,-240610000,-262597000,-274601000,-284895000,-374430000,-611079000
65,Other Comprehensive Income/Loss,- -,-3000,-1000,4000,3000,-8000,- -,-148000,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,4427000,5195000,6266000,200723000,202801000,219319000,236364000,238246000,266381000,270463000,419923000,587327000
67,Total Stockholders Equity,- -,-70403000,-72345000,-94944000,60536000,24613000,5732000,-4379000,-24336000,-8110000,-14318000,45545000,-23688000
68,Total Liabilities And Stockholders Equity,- -,-47193000,-63835000,-77484000,78706000,42977000,11146000,4718000,1670000,1370000,523000,68302000,71061000
69,Minority Interest,- -,83173000,83185000,102024000,-6000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,35980000,19350000,24540000,78700000,42977000,11146000,4718000,1670000,1370000,523000,68302000,71061000
