,https://roic.ai/company/IQV,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,3924020000,4327748000,4865513000,5099545000,5459998000,5737619000,6878000000,9739000000,10412000000,11088000000,11359000000,13874000000
2,COGS,2804837000,3185787000,3632582000,3762631000,3978282000,4136786000,4750000000,6301000000,6746000000,7300000000,7500000000,9233000000
3,Gross Profit,1119183000,1141961000,1232931000,1336914000,1481716000,1600833000,2128000000,3438000000,3666000000,3788000000,3859000000,4641000000
4,Gross Profit Ratio,0.2852,0.2639,0.2534,0.2622,0.2714,0.2790,0.3094,0.3530,0.3521,0.3416,0.3397,0.3345
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,860510000,882338000,920985000,1011000000,1605000000,1716000000,1734000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,860510000,882338000,920985000,1011000000,1605000000,1716000000,1734000000,- -,1964000000
9,Other Expenses,698406000,762299000,817755000,- -,- -,- -,289000000,1011000000,1141000000,1202000000,3076000000,1264000000
10,Operating Expenses,698406000,762299000,817755000,860510000,882338000,920985000,1300000000,2616000000,2857000000,2936000000,3076000000,3228000000
11,COGS and Expenses,3503243000,3948086000,4450337000,4623141000,4860620000,5057771000,6050000000,8917000000,9603000000,10236000000,10576000000,12461000000
12,Interest Income ,3799000,3939000,3067000,3937000,3410000,4317000,4000000,7000000,8000000,9000000,6000000,6000000
13,Interest Expense (Gain),141430000,109065000,134371000,123508000,100589000,101792000,144000000,346000000,414000000,447000000,416000000,375000000
14,Depreciation and Amortization,84217000,92004000,98288000,107504000,121013000,127742000,289000000,1011000000,1141000000,1202000000,1287000000,1264000000
15,EBITDA,463825000,457946000,503569000,553568000,728041000,775728000,893000000,1679000000,1873000000,1956000000,2054000000,2768000000
16,EBITDA ratio,0.1182,0.1058,0.1035,0.1086,0.1333,0.1352,0.1298,0.1724,0.1799,0.1764,0.1808,0.1995
17,Operating Income,395005000,345251000,396435000,462333000,590390000,646612000,642000000,719000000,741000000,777000000,731000000,1393000000
18,Operating Income ratio,0.1007,0.0798,0.0815,0.0907,0.1081,0.1127,0.0933,0.0738,0.0712,0.0701,0.0644,0.1004
19,Total Other Income Expenses (Gains),-153278000,-160576000,-129007000,-139217000,-88201000,-107617000,-163000000,-388000000,-413000000,-425000000,-358000000,-265000000
20,Income Before Tax,241727000,184675000,267428000,323116000,502189000,538995000,479000000,331000000,328000000,352000000,373000000,1128000000
21,Income Before Tax Ratio,0.0616,0.0427,0.0550,0.0634,0.0920,0.0939,0.0696,0.0340,0.0315,0.0317,0.0328,0.0813
22,Income Tax expense (Gain),77582000,15105000,93364000,95965000,150056000,158989000,345000000,-987000000,59000000,116000000,72000000,163000000
23,Net Income,160596000,241772000,177546000,226591000,356383000,387205000,115000000,1309000000,259000000,191000000,279000000,966000000
24,Net Income ratio,0.0409,0.0559,0.0365,0.0444,0.0653,0.0675,0.0167,0.1344,0.0249,0.0172,0.0246,0.0696
25,EPS,1.28,1.93,1.42,1.83,2.78,3.15,0.77,6.01,1.27,0.98,1.46,5.05
26,EPS Diluted,1.26,1.90,1.39,1.77,2.72,3.08,0.76,5.88,1.24,0.96,1.43,5.05
27,Weighted Average Shares Outstanding,125468000,125468000,125468000,124147000,127994000,123038000,149100000,217800000,203700000,195100000,191300000,191300000
28,Weighted Average Shares Outstanding Diluted,127554000,127554000,127554000,127862000,131083000,125630000,152000000,222600000,208200000,199600000,195000000,191300000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1478242/000119312514050071/0001193125-14-050071-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000119312515045845/0001193125-15-045845-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459016012629/0001564590-16-012629-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000119312517046709/0001193125-17-046709-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459018002340/0001564590-18-002340-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459019003180/0001564590-19-003180-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000156459020004901/0001564590-20-004901-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000147824221000020/0001478242-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1478242/000147824222000041/0001478242-22-000041-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,516299000,567728000,778143000,867358000,977151000,1198000000,959000000,891000000,837000000,1814000000,1366000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,40000000,46000000,47000000,62000000,88000000,111000000
33,Cash and Short-Term Investments,- -,516299000,567728000,778143000,867358000,977151000,1238000000,1005000000,938000000,899000000,1902000000,1477000000
34,Net Receivables,- -,716490000,762970000,940376000,1020612000,1199838000,1741000000,2040000000,2463000000,2638000000,2466000000,2609000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,132689000,179296000,227169000,258113000,234996000,358000000,405000000,473000000,589000000,722000000,677000000
37,Total Current Assets,- -,1365478000,1509994000,1945688000,2146083000,2411985000,3337000000,3450000000,3874000000,4126000000,5090000000,4763000000
38,PP&E,- -,185772000,193999000,199578000,190297000,188393000,406000000,440000000,434000000,954000000,953000000,903000000
39,Goodwill,- -,278041000,302429000,409626000,464434000,719740000,10727000000,11850000000,11800000000,12159000000,12654000000,13301000000
40,Intangible Assets,- -,269413000,272813000,298054000,280243000,368106000,6390000000,6591000000,5951000000,5514000000,5205000000,4943000000
41,Intangible Assets,- -,547454000,575242000,707680000,744677000,1087846000,17117000000,18441000000,17751000000,17673000000,17859000000,18244000000
42,Investments,- -,11782000,19148000,22927000,31508000,52382000,69000000,70000000,101000000,87000000,162000000,164000000
43,Tax Assets,- -,78177000,37313000,32864000,35972000,42684000,89000000,98000000,109000000,119000000,114000000,124000000
44,Other Non-Current Assets,- -,134254000,163457000,158060000,157295000,143026000,190000000,243000000,280000000,292000000,386000000,491000000
45,Total Non-Current Assets,- -,957439000,989159000,1121109000,1159749000,1514331000,17871000000,19292000000,18675000000,19125000000,19474000000,19926000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2322917000,2499153000,3066797000,3305832000,3926316000,21208000000,22742000000,22549000000,23251000000,24564000000,24689000000
48,Accounts Payable,- -,70028000,84712000,100616000,108743000,145484000,250000000,322000000,437000000,2512000000,2813000000,621000000
