,https://roic.ai/company/GOLF,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1477219000,1537610000,1502958000,1572275000,1560258000,1633721000,1681357000,1612169000,2147930000
2,COGS,744090000,779678000,727120000,773550000,759466000,791370000,809122000,782333000,1029493000
3,Gross Profit,733129000,757932000,775838000,798725000,800792000,842351000,872235000,829836000,1118437000
4,Gross Profit Ratio,0.4963,0.4929,0.5162,0.5080,0.5132,0.5156,0.5188,0.5147,0.5207
5,Research and Development Exp.,42152000,44243000,45977000,48804000,48148000,51489000,51601000,48942000,55335000
6,General and Administrative Exp.,- -,- -,- -,600804000,579837000,611883000,627503000,610603000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,600804000,579837000,611883000,627503000,610603000,795422000
9,Other Expenses,575125000,609442000,610635000,6608000,6499000,6644000,7478000,11629000,- -
10,Operating Expenses,617277000,653685000,656612000,656216000,634484000,670016000,686582000,671174000,850757000
11,COGS and Expenses,1361367000,1433363000,1383732000,1429766000,1393950000,1461386000,1495704000,1453507000,1880250000
12,Interest Income ,570000,924000,1693000,1351000,1198000,1245000,848000,484000,- -
13,Interest Expense (Gain),68719000,64453000,61987000,51259000,16907000,19171000,19472000,12796000,7709000
14,Depreciation and Amortization,39423000,43159000,41702000,40834000,40871000,40496000,43002000,45429000,41243000
15,EBITDA,144928000,145869000,130717000,176812000,204948000,206771000,224144000,167269000,296775000
16,EBITDA ratio,0.0981,0.0949,0.0870,0.1125,0.1314,0.1266,0.1333,0.1038,0.1382
17,Operating Income,114897000,104247000,117583000,140836000,166308000,172335000,185653000,145455000,259812000
18,Operating Income ratio,0.0778,0.0678,0.0782,0.0896,0.1066,0.1055,0.1104,0.0902,0.1210
19,Total Other Income Expenses (Gains),-73434000,-62181000,-85433000,-51614000,-14632000,-22031000,-20488000,-32406000,-11989000
20,Income Before Tax,41463000,42066000,32150000,89222000,151676000,150304000,165165000,113049000,247823000
21,Income Before Tax Ratio,0.0281,0.0274,0.0214,0.0567,0.0972,0.0920,0.0982,0.0701,0.1154
22,Income Tax expense (Gain),17150000,16700000,27994000,39707000,55056000,47232000,40600000,13038000,63583000
23,Net Income,19636000,21557000,-966000,45012000,92114000,99872000,121070000,96006000,184240000
24,Net Income ratio,0.0133,0.0140,-0.0006,0.0286,0.0590,0.0611,0.0720,0.0596,0.0858
25,EPS,0.28,0.23,0.24,0.31,1.24,1.34,1.61,1.29,2.40
26,EPS Diluted,0.28,0.23,0.24,0.31,1.23,1.34,1.60,1.28,2.38
27,Weighted Average Shares Outstanding,70988319,16716825,69106356,74093598,74399836,74760062,75418204,74494310,74536637
28,Weighted Average Shares Outstanding Diluted,70992198,16716825,69107445,74093598,74590999,74760062,75759605,75060610,75265074
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1672013/000155837017002327/0001558370-17-002327-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000155837018001635/0001558370-18-001635-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201319000009/0001672013-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201320000008/0001672013-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1672013/000167201321000013/0001672013-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1672013/000167201322000009/0001672013-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,47667000,54409000,76058000,47722000,31014000,34184000,151452000,281677000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,47667000,54409000,76058000,47722000,31014000,34184000,151452000,281677000
34,Net Receivables,- -,197677000,192384000,177506000,190851000,186114000,215428000,201518000,174435000
35,Inventory,- -,291141000,326359000,323289000,363962000,361207000,398368000,357682000,413314000
36,Other Current Assets,- -,100306000,98371000,87678000,84541000,85666000,94838000,89155000,99750000
37,Total Current Assets,- -,636791000,671523000,664531000,687076000,664001000,742818000,799807000,969176000
38,PP&E,- -,266592000,254894000,239748000,228922000,228388000,231575000,222811000,231761000
39,Goodwill,- -,187580000,181179000,179241000,185941000,209671000,214056000,215186000,210431000
40,Intangible Assets,- -,509412000,499494000,489988000,481234000,478257000,480794000,473533000,465341000
41,Intangible Assets,- -,696992000,680673000,669229000,667175000,687928000,694850000,688719000,675772000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,131112000,132265000,130416000,110318000,78028000,70541000,80060000,60814000
44,Other Non-Current Assets,- -,31216000,19618000,32247000,33833000,33276000,77265000,75158000,- -
45,Total Non-Current Assets,- -,1125912000,1087450000,1071640000,1040248000,1027620000,1074231000,1066748000,968347000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1762703000,1758973000,1736171000,1727324000,1691621000,1817049000,1866555000,1937523000
48,Accounts Payable,- -,94028000,89869000,87608000,92759000,86045000,102335000,112867000,- -
49,Short-Term Debt,- -,81162000,441704000,61245000,47083000,36545000,71623000,20310000,116000
50,Tax Payable,- -,31435000,29432000,41962000,34310000,38268000,36032000,40952000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,80060000,- -
52,Other Current Liabilities,- -,171663000,224018000,313255000,166941000,172277000,185160000,144442000,482908000
53,Total Current Liabilities,- -,346853000,755591000,462108000,306783000,294867000,359118000,357679000,483024000
54,Long-Term Debt,- -,824179000,394511000,348348000,416970000,346953000,330701000,313619000,297354000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,4950000
56,Deferred Tax Liabilities,- -,6761000,7112000,7452000,9318000,4635000,4837000,3821000,4950000
57,Other Non-Current Liabilities,- -,264954000,277217000,149440000,146861000,118182000,170760000,174057000,131992000
