,https://roic.ai/company/SRLP,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,2460115000,2817191000,3797427000,4043907000,4600734000,5069762000,3481914000,2389998000,2854996000,3771133000,3502410000,2335983000,- -
2,COGS,2313644000,2676301000,3638717000,3934017000,4490194000,4772656000,3209266000,2200326000,2630913000,3478763000,3262018000,2105871000,- -
3,Gross Profit,146471000,140890000,158710000,109890000,110540000,297106000,272648000,189672000,224083000,292370000,240392000,230112000,- -
4,Gross Profit Ratio,0.0595,0.0500,0.0418,0.0272,0.0240,0.0586,0.0783,0.0794,0.0785,0.0775,0.0686,0.0985,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,53580000,76420000,94403000,84257000,87582000,80799000,78135000,81514000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,53580000,76420000,94403000,84257000,87582000,80799000,78135000,81514000,- -
9,Other Expenses,102899000,92258000,98846000,93503000,51839000,62993000,71468000,65882000,72284000,88659000,84924000,68976000,- -
10,Operating Expenses,102899000,92258000,98846000,93503000,105419000,139413000,165871000,150139000,159866000,169458000,163059000,150490000,- -
11,COGS and Expenses,2416543000,2768559000,3737563000,4027520000,4595613000,4912069000,3375137000,2350465000,2790779000,3648221000,3425077000,2256361000,3530310000
12,Interest Income ,383000,503000,755000,534000,603000,569000,456000,388000,339000,577000,555000,299000,171000
13,Interest Expense (Gain),20809000,21897000,24049000,23960000,28695000,29651000,27367000,27533000,31345000,38931000,42944000,40669000,- -
14,Depreciation and Amortization,12214000,13025000,12792000,14814000,19035000,22441000,23893000,25211000,33361000,36930000,37605000,39094000,37928000
15,EBITDA,64610000,60931000,83049000,26797000,25327000,180415000,131424000,65018000,98025000,160712000,115115000,120963000,5949000
16,EBITDA ratio,0.0263,0.0216,0.0219,0.0066,0.0055,0.0356,0.0377,0.0272,0.0343,0.0426,0.0329,0.0518,Infinity
17,Operating Income,43572000,48632000,59864000,7456000,5121000,157693000,106777000,39533000,64217000,122912000,77333000,79622000,-32150000
18,Operating Income ratio,0.0177,0.0173,0.0158,0.0018,0.0011,0.0311,0.0307,0.0165,0.0225,0.0326,0.0221,0.0341,-Infinity
19,Total Other Income Expenses (Gains),-20426000,-20500000,-17278000,-23083000,-27524000,-29370000,-26613000,-27259000,-30898000,-38061000,-42767000,-38422000,- -
20,Income Before Tax,23146000,28132000,42586000,-15627000,-22403000,128323000,80164000,12274000,33319000,84851000,34566000,41200000,- -
21,Income Before Tax Ratio,0.0094,0.0100,0.0112,-0.0039,-0.0049,0.0253,0.0230,0.0051,0.0117,0.0225,0.0099,0.0176,- -
22,Income Tax expense (Gain),11843000,10288000,16636000,-2796000,5097000,5509000,1816000,2108000,3822000,5032000,3310000,7389000,2828000
23,Net Income,19744000,15721000,29572000,-9181000,-27500000,122814000,78348000,10166000,29497000,79819000,31256000,33811000,-68916000
24,Net Income ratio,0.0080,0.0056,0.0078,-0.0023,-0.0060,0.0242,0.0225,0.0043,0.0103,0.0212,0.0089,0.0145,-Infinity
25,EPS,1.80,0.72,2.70,-0.42,-1.50,5.88,3.71,0.40,1.15,3.17,1.10,1.11,-2.69
26,EPS Diluted,0.90,0.72,1.35,-0.42,-1.50,5.84,3.65,0.38,1.13,3.16,1.10,1.11,-2.69
27,Weighted Average Shares Outstanding,21923052,21923052,21923052,21923052,20144000,20203898,21047911,21274397,22208964,22728218,22736916,22901140,25652890
28,Weighted Average Shares Outstanding Diluted,21923052,21923052,21923052,21923052,20144000,20267536,21213303,21632587,22474872,22737404,22770883,22905113,25652890
