,https://roic.ai/company/KNX,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,37542888,56170279,77503786,99428693,125030245,151489829,216858875,250818733,285790000,340069000,442288000,566813000,664407000,713583000,766935000,651721000,730709000,866199000,936036000,969237000,1102332000,1182964000,1118034000,2425453000,5344066000,4843950000,4673863000,5998019000
2,COGS,10814989,21637747,31589451,40283554,48475423,61065349,79543743,104034160,114430000,136650000,178551000,229314000,279471000,328843000,305348000,222926000,277988000,454612000,779581000,805284000,896037000,944474000,908622000,2043792000,4474326000,4089530000,3704744000,4585477000
3,Gross Profit,26727899,34532532,45914335,59145139,76554822,90424480,137315132,146784573,171360000,203419000,263737000,337499000,384936000,384740000,461587000,428795000,452721000,411587000,156455000,163953000,206295000,238490000,209412000,381661000,869740000,754420000,969119000,1412542000
4,Gross Profit Ratio,0.7119,0.6148,0.5924,0.5948,0.6123,0.5969,0.6332,0.5852,0.5996,0.5982,0.5963,0.5954,0.5794,0.5392,0.6019,0.6579,0.6196,0.4752,0.1671,0.1692,0.1871,0.2016,0.1873,0.1574,0.1627,0.1557,0.2073,0.2355
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,16360690,20554679,27858072,33039719,42075144,52698996,78931493,102238123,118350000,137872000,178460000,213096000,217739000,234296000,216812000,204222000,212001000,224220000,37310000,34365000,36032000,37727000,38623000,105890000,236273000,213856000,212436000,297864000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16360690,20554679,27858072,33039719,42075144,52698996,78931493,102238123,118350000,137872000,178460000,213096000,217739000,234296000,216812000,204222000,212001000,224220000,37310000,34365000,36032000,37727000,38623000,105890000,236273000,213856000,212436000,297864000
9,Other Expenses,3469560,5141831,39309269,51433445,63066093,76885930,110773173,119258819,132323000,159306000,206785000,277181000,353365000,409285000,99711000,98403000,95399000,87346000,10878000,15679000,7541000,22763000,22310000,41781000,61626000,109640000,186910000,148682000
10,Operating Expenses,19830250,25696510,67167341,84473164,105141237,129584926,189704666,221496942,250673000,297178000,385245000,490277000,571104000,643581000,316523000,302625000,307400000,311566000,48188000,50044000,43573000,60490000,60933000,147671000,297899000,323496000,399346000,446546000
11,COGS and Expenses,30645239,47334257,98756792,124756718,153616660,190650275,269248409,325531102,365103000,433828000,563796000,719591000,850575000,972424000,621871000,525551000,585388000,766178000,827769000,855328000,939610000,1004964000,969555000,2191463000,4772225000,4413026000,4104090000,5032023000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1236000,1534000,1554000,1068000,417000,413000,458000,460000,309000,1207000,3200000,3834000,1928000,1173000
