,https://roic.ai/company/YTRA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,8345234000,9345148000,12248513000,9358580000,7259355000,1271268000
2,COGS,- -,- -,- -,- -,- -,4164352000,6295619000,7833597000,6833017000,4700202000,801191000
3,Gross Profit,- -,- -,- -,- -,- -,4180882000,3049529000,4414916000,2525563000,2559153000,470077000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.5010,0.3263,0.3604,0.2699,0.3525,0.3698
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,12557134,30098935,5137709000,552830000,746704000,1024514000,825033000,503978000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,2457242000,4155420000,809996000,196209000,79584000
8,"Selling, General and Administrative Exp.",- -,- -,- -,12557134,30098935,5137709000,3010072000,4902124000,1834510000,1021242000,583562000
9,Other Expenses,- -,- -,- -,11414077,11968085,248090000,1907439000,2583568000,2792512000,2364823000,1215934000
10,Operating Expenses,- -,- -,- -,23971211,42067020,5385799000,4917511000,7485692000,4627022000,3386065000,1799496000
11,COGS and Expenses,- -,- -,- -,23971211,42067020,9550151000,11213130000,15319289000,11460039000,8086267000,2600687000
12,Interest Income ,- -,- -,- -,483196,5854455,- -,139158000,91912000,41310000,54319000,81546000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1395000,119331000,122568000,147705000,166133000,95232000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,233703000,275587000,425600000,581746000,666369000,749480000
15,EBITDA,- -,- -,- -,-23971211,-42067020,-977211000,-5465578000,-3388085000,-370915000,68499000,-268535000
16,EBITDA ratio,- -,- -,- -,-Infinity,-Infinity,-0.1171,-0.5849,-0.2766,-0.0396,0.0094,-0.2112
17,Operating Income,- -,- -,- -,-23971211,-42067020,-1204917000,-1863415000,-3360133000,-2578199000,-625054000,-1470166000
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-0.1444,-0.1994,-0.2743,-0.2755,-0.0861,-1.1565
19,Total Other Income Expenses (Gains),- -,- -,- -,483196,5854455,-31870000,-4032561000,-634956000,1432441000,-145336000,339384000
20,Income Before Tax,- -,- -,- -,-23488015,-36212566,-1236787000,-5895976000,-3995089000,-1145758000,-770390000,-1130782000
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-0.1482,-0.6309,-0.3262,-0.1224,-0.1061,-0.8895
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,6515000,40987000,56887000,47837000,69805000,64096000
23,Net Income,- -,- -,- -,-23488015,-36212566,-1218824000,-5901483000,-3993140000,-1148203000,-833808000,-1177343000
24,Net Income ratio,- -,- -,- -,-Infinity,-Infinity,-0.1461,-0.6315,-0.3260,-0.1227,-0.1149,-0.9261
25,EPS,- -,- -,- -,-3.80,-5.32,-58.10,-237.89,-116.41,-26.37,-17.94,-20.38
26,EPS Diluted,- -,- -,- -,-3.80,-5.32,-58.10,-237.89,-116.41,-26.95,-17.94,-20.42
27,Weighted Average Shares Outstanding,- -,- -,- -,5817793,6493437,20976500,24807613,34301152,43543991,46477249,57771701
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,5817793,6493437,20976500,24807613,34301152,44286393,46477249,58514103
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1516899/000114420417035210/0001144204-17-035210-index.html,https://www.sec.gov/Archives/edgar/data/1516899/000104746918005329/a2236356z20-f.htm,https://www.sec.gov/Archives/edgar/data/1516899/000104746919004463/a2239368z20-f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
