,https://roic.ai/company/OTIC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,683000,1236000,745000,600000,273000,125
2,COGS,- -,- -,- -,- -,1664000,3098000,946000,912000,1188000,370
3,Gross Profit,- -,- -,- -,- -,-981000,-1862000,-201000,-312000,-915000,-245
4,Gross Profit Ratio,- -,- -,- -,- -,-1.4363,-1.5065,-0.2698,-0.5200,-3.3516,-1.9600
5,Research and Development Exp.,8523000,16336000,31803000,38762000,60723000,42701000,31844000,32805000,27997000,34673
6,General and Administrative Exp.,2408000,3514000,7836000,23214000,49777000,46838000,20008000,11690000,14575000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2408000,3514000,7836000,23214000,49777000,46838000,20008000,11690000,14575000,14707
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,370
10,Operating Expenses,10931000,19850000,39639000,61976000,110500000,89539000,51852000,44495000,42572000,49750
11,COGS and Expenses,10931000,19850000,39639000,61976000,112164000,92637000,52798000,45407000,43760000,49750
12,Interest Income ,- -,- -,- -,419000,899000,1271000,1689000,1723000,326000,43
13,Interest Expense (Gain),444000,2528000,39000,- -,- -,- -,4000,1591000,1570000,-1599
14,Depreciation and Amortization,192000,257000,213000,358000,708000,1289000,1186000,1149000,1062000,856000
15,EBITDA,-7033000,-19607000,-39426000,-61618000,-109875000,-88841000,-49178000,-41935000,-42099000,803220
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-160.8712,-71.8778,-66.0107,-69.8917,-154.2088,6425.7600
17,Operating Income,-10931000,-19850000,-39639000,-61976000,-111481000,-91401000,-52053000,-44807000,-43487000,-49625000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-163.2225,-73.9490,-69.8698,-74.6783,-159.2930,-397000.0000
19,Total Other Income Expenses (Gains),3362000,291000,-3238000,308000,898000,1271000,1685000,132000,-1244000,49573819
20,Income Before Tax,-7569000,-19559000,-42877000,-61668000,-110583000,-90130000,-50368000,-44675000,-44731000,-51181
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-161.9078,-72.9207,-67.6081,-74.4583,-163.8498,-409.4480
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-7569000,-19559000,-42877000,-61668000,-110583000,-90130000,-50368000,-44675000,-44731000,-51181
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-161.9078,-72.9207,-67.6081,-74.4583,-163.8498,-409.4480
