,https://roic.ai/company/ADMA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,1118118,3067577,5915545,7177633,10661037,22760560,16985290,29349083,42219783,80942625
2,COGS,- -,- -,- -,- -,- -,- -,- -,669056,2023441,3742367,4311461,6360761,29164321,42194635,39504238,61291426,79769341
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,449062,1044136,2173178,2866172,4300276,-6403761,-25209345,-10155155,-19071643,1173284
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.4016,0.3404,0.3674,0.3993,0.4034,-0.2814,-1.4842,-0.3460,-0.4517,0.0145
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,3469078,9303077,9517014,7015946,7688238,6229587,3926120,2343848,5907013,3646060
6,General and Administrative Exp.,- -,- -,- -,- -,- -,20530,26464,3142289,4365334,4823869,6745968,8494742,18092835,22502922,25910757,35050817,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,20530,26464,3142289,4365334,4823869,6745968,8494742,18092835,22502922,25910757,35050817,42896889
9,Other Expenses,- -,- -,29735000,24916000,- -,- -,- -,1746864,2418156,7659117,4618065,5447691,7738424,8650557,3014567,4885404,13004076
10,Operating Expenses,- -,- -,29735000,24916000,- -,20530,26464,8358231,16086567,22000000,18379979,21630671,32060846,35079599,31269172,45843234,59547025
11,COGS and Expenses,- -,- -,29735000,24916000,- -,20530,26464,9027287,18110008,21934078,22691440,27991432,61225167,77274234,70773410,107134660,139316366
12,Interest Income ,- -,- -,- -,- -,- -,4,4,20924,7623,14217,37830,50317,57228,195403,800785,288126,34532
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,30683,618225,1286215,1842716,2239569,3285847,5522783,8993379,11985066,-13056834
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,182089,210633,247852,469821,469576,2692301,3446398,3258148,3942292,5495502
15,EBITDA,- -,- -,-29687000,-24891000,-20009000,-20530,-26464,-7706156,-14698388,-15830820,-15657393,-16806006,-37780827,-56774264,-36027790,-59821190,-79208950
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.8921,-4.7915,-2.6761,-2.1814,-1.5764,-1.6599,-3.3426,-1.2276,-1.4169,-0.9786
17,Operating Income,- -,- -,-29687000,-24891000,-20009000,-20530,-26464,-7909169,-15042431,-16018533,-15513807,-17330395,-39309996,-60288944,-41424327,-64914877,-58373741
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.0736,-4.9037,-2.7079,-2.1614,-1.6256,-1.7271,-3.5495,-1.4114,-1.5375,-0.7212
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,4,4,-9759,-484815,-1346354,-2456123,-2184756,-4448979,-5454501,-6854990,-10833671,-13273877
20,Income Before Tax,- -,- -,-29687000,-24891000,-20009000,-20526,-26460,-7918928,-15527246,-17364887,-17969930,-19515151,-43758975,-65743445,-48279317,-75748548,-71647618
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.0824,-5.0617,-2.9355,-2.5036,-1.8305,-1.9226,-3.8706,-1.6450,-1.7941,-0.8852
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-617615,- -,-551724,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-29687000,-24891000,-20009000,-20526,-26460,-7301313,-15527246,-16813163,-17969930,-19515151,-43758975,-65743445,-48279317,-75748548,-71647618
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.5300,-5.0617,-2.8422,-2.5036,-1.8305,-1.9226,-3.8706,-1.6450,-1.7941,-0.8852
25,EPS,- -,- -,-11.87,-9.96,-8.00,-0.01,-0.01,-1.57,-2.38,-1.81,-1.73,-1.61,-1.91,-1.45,-0.89,-0.88,-0.83
26,EPS Diluted,- -,- -,-11.87,-9.96,-8.00,-0.01,-0.01,-1.57,-2.38,-1.81,-1.73,-1.61,-1.91,-1.45,-0.89,-0.88,-0.83
27,Weighted Average Shares Outstanding,- -,- -,2500000,2500000,2500000,2500000,2500000,4654303,6531029,9291823,10412305,12153407,22896042,45188899,54348136,86145052,86145052
28,Weighted Average Shares Outstanding Diluted,- -,- -,2500000,2500000,2500000,2500000,2500000,4654303,6531029,9291823,10412305,12153407,22896042,45188899,54348136,86145052,86145052
