,https://roic.ai/company/UNVR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,9428200000,7194500000,- -,9718500000,9747100000,10324600000,10373900000,8981800000,8073700000,8253700000,8632500000,9286900000,8265000000,9535500000
2,COGS,8039200000,5985900000,- -,7883000000,7924600000,8448700000,8443200000,7182700000,6346600000,6448200000,6732400000,7146100000,6262000000,7142300000
3,Gross Profit,1389000000,1208600000,- -,1835500000,1822500000,1875900000,1930700000,1799100000,1727100000,1805500000,1900100000,2140800000,2003000000,2393200000
4,Gross Profit Ratio,0.1473,0.1680,- -,0.1889,0.1870,0.1817,0.1861,0.2003,0.2139,0.2188,0.2201,0.2305,0.2423,0.2510
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,963500000,1008200000,893300000,1053400000,899000000,955500000,923600000,952100000,1093900000,1036800000,1217200000
7,Selling and Marketing Exp.,- -,- -,- -,895400000,907100000,951700000,923500000,874400000,877800000,909800000,931400000,1068800000,1022000000,- -
8,"Selling, General and Administrative Exp.",930300000,811700000,- -,1858900000,1915300000,1845000000,1976900000,1773400000,1833300000,1833400000,1883500000,2162700000,2058800000,1217200000
9,Other Expenses,132400000,126400000,- -,-389800000,-359200000,-373300000,-310200000,-284200000,-340000000,-387100000,-416000000,-461800000,-338800000,602200000
10,Operating Expenses,1062700000,938100000,- -,1469100000,1556100000,1471700000,1666700000,1489200000,1493300000,1446300000,1467500000,1700900000,1720000000,1819400000
11,COGS and Expenses,9101900000,6924000000,- -,9352100000,9480700000,9920400000,10109900000,8671900000,7839900000,7894500000,8199900000,8847000000,7982000000,8961700000
12,Interest Income ,10000000,7700000,- -,7100000,9000000,11000000,8200000,4300000,3900000,4000000,3200000,7700000,2100000,4300000
13,Interest Expense (Gain),325600000,315000000,- -,280700000,277100000,305500000,258800000,211300000,163800000,152000000,135600000,147200000,114000000,101500000
14,Depreciation and Amortization,140700000,135800000,- -,198400000,205000000,228100000,229500000,225000000,237900000,200400000,179500000,214700000,222000000,203400000
15,EBITDA,477000000,378000000,- -,318800000,360300000,441500000,452400000,463000000,322100000,521200000,537300000,366200000,394000000,890100000
16,EBITDA ratio,0.0506,0.0525,- -,0.0328,0.0370,0.0428,0.0436,0.0515,0.0399,0.0631,0.0622,0.0394,0.0477,0.0933
17,Operating Income,326300000,234500000,- -,133400000,148700000,222500000,214800000,269000000,86400000,353800000,387400000,187300000,282200000,483800000
18,Operating Income ratio,0.0346,0.0326,- -,0.0137,0.0153,0.0216,0.0207,0.0299,0.0107,0.0429,0.0449,0.0202,0.0341,0.0507
19,Total Other Income Expenses (Gains),-315600000,-307300000,- -,-293700000,-270500000,-314600000,-250700000,-242300000,-166000000,-185000000,-165200000,-188400000,-223200000,101400000
20,Income Before Tax,10700000,-72800000,- -,-160300000,-121800000,-92100000,-35900000,26700000,-79600000,168800000,222200000,-1100000,59000000,585200000
21,Income Before Tax Ratio,0.0011,-0.0101,- -,-0.0165,-0.0125,-0.0089,-0.0035,0.0030,-0.0099,0.0205,0.0257,-0.0001,0.0071,0.0614
22,Income Tax expense (Gain),18700000,-30100000,- -,15900000,75600000,-9800000,-15800000,10200000,-11200000,49000000,49900000,104500000,6000000,124600000
23,Net Income,-8000000,-42700000,- -,-176200000,-197400000,-82300000,-20100000,16500000,-68400000,119800000,172300000,-100200000,52000000,460600000
24,Net Income ratio,-0.0008,-0.0059,- -,-0.0181,-0.0203,-0.0080,-0.0019,0.0018,-0.0085,0.0145,0.0200,-0.0108,0.0063,0.0483
25,EPS,-0.06,-0.31,- -,-1.28,-2.01,-0.60,-0.20,0.14,-0.50,0.85,1.22,-0.61,0.31,2.73
26,EPS Diluted,-0.06,-0.31,- -,-1.28,-2.01,-0.60,-0.20,0.14,-0.50,0.85,1.21,-0.61,0.31,2.71
27,Weighted Average Shares Outstanding,137934515,137934515,- -,137934515,98355548,137934515,99718998,119600000,137800000,140200000,141200000,164100000,169000000,169000000
28,Weighted Average Shares Outstanding Diluted,137934515,137934515,- -,137934515,98355548,137934515,99718998,120100000,137800000,141400000,142200000,164100000,169800000,169800000
29,SEC Link,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494319/000119312516490989/0001193125-16-490989-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431917000011/0001494319-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431918000014/0001494319-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431919000006/0001494319-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431920000009/0001494319-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431921000010/0001494319-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431922000011/0001494319-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,223100000,140200000,127900000,96300000,220900000,180400000,206000000,188100000,336400000,467000000,121600000,330300000,386000000,251500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,223100000,140200000,127900000,96300000,220900000,180400000,206000000,188100000,336400000,467000000,121600000,330300000,386000000,251500000
34,Net Receivables,1076600000,878300000,- -,- -,1243200000,1277000000,1277500000,1026200000,950300000,1062400000,1094700000,1160100000,1239000000,1539500000
35,Inventory,789600000,623300000,- -,- -,928800000,893500000,942700000,803400000,756600000,839500000,803300000,796000000,674000000,932200000
36,Other Current Assets,152000000,153100000,- -,- -,231700000,199000000,195600000,178600000,134800000,149600000,169100000,167200000,152000000,169100000
37,Total Current Assets,2241300000,1794900000,- -,- -,2624600000,2549900000,2621800000,2196300000,2178100000,2518500000,2188700000,2453600000,2451000000,2892300000
38,PP&E,988400000,962700000,- -,- -,1152800000,1097100000,1032300000,1082500000,1019500000,1003000000,955800000,1309700000,1065000000,1031000000
39,Goodwill,1380200000,1464500000,- -,- -,1883000000,1788400000,1767600000,1745100000,1784400000,1818400000,1780700000,2280800000,2270000000,2310400000
40,Intangible Assets,511000000,486100000,- -,- -,762200000,682100000,574900000,518900000,339200000,287700000,238100000,320200000,251000000,211700000
41,Intangible Assets,1891200000,1950600000,- -,- -,2645200000,2470500000,2342500000,2264000000,2123600000,2106100000,2018800000,2601000000,2521000000,2522100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,378200000,317100000,- -,- -,20400000,19300000,15500000,3500000,18200000,22800000,24800000,21300000,- -,29400000
44,Other Non-Current Assets,158500000,166400000,- -,- -,87500000,80200000,64500000,66100000,50500000,82300000,84300000,109200000,- -,303000000
45,Total Non-Current Assets,3416300000,3396800000,- -,- -,3905900000,3667100000,3454800000,3416100000,3211800000,3214200000,3083700000,4041200000,3586000000,3885500000
46,Other Assets,- -,- -,6755800000,5712100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5657600000,5191700000,6755800000,5712100000,6530500000,6217000000,6076600000,5612400000,5389900000,5732700000,5272400000,6494800000,6037000000,6777800000
48,Accounts Payable,721100000,566400000,- -,- -,892100000,1021200000,991900000,836000000,852300000,941700000,925400000,895000000,765000000,1009300000
49,Short-Term Debt,114000000,147200000,- -,- -,147500000,177200000,141800000,93400000,134300000,75400000,29800000,73100000,165600000,41500000
50,Tax Payable,1200000,10100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,87100000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81500000,- -,- -
52,Other Current Liabilities,456400000,386000000,- -,- -,439100000,392500000,385200000,364100000,352900000,402300000,379400000,399800000,476400000,616800000
53,Total Current Liabilities,1291500000,1099600000,- -,- -,1478700000,1590900000,1518900000,1293500000,1339500000,1419400000,1334600000,1449400000,1407000000,1667600000
54,Long-Term Debt,2287900000,1906600000,- -,- -,3750200000,3657100000,3739500000,3057400000,2845000000,2820000000,2350400000,2638500000,163000000,2223500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,347400000,344200000,- -,- -,188600000,162100000,119700000,58000000,17200000,35400000,42900000,56300000,- -,56100000
57,Other Non-Current Liabilities,1510200000,1408300000,4607400000,3632900000,586600000,425600000,450400000,386800000,378300000,367800000,352800000,617800000,330000000,538100000
58,Total Non-Current Liabilities,4145500000,3659100000,- -,- -,4525400000,4244800000,4309600000,3502200000,3240500000,3223200000,2746100000,3312600000,493000000,2817700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3648000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233100000,226900000,- -
61,Total Liabilities,5437000000,4758700000,- -,- -,6004100000,5835700000,5828500000,4795700000,4580000000,4642600000,4080700000,4762000000,4562000000,4485300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1400000,1400000,1400000,1400000,1700000,1000000,1700000
64,Retained Earnings,-287600000,-330300000,- -,- -,-898700000,-981000000,-1001300000,-985000000,-1053400000,-934100000,-761500000,-858500000,- -,-345000000
65,Other Comprehensive Income/Loss,-380600000,-125500000,- -,- -,-1400000,-81700000,-208200000,-424400000,-389900000,-278500000,-373200000,-379300000,-387100000,-362700000
66,Other Total Stockholders Equity,591000000,955200000,875900000,660300000,1864200000,1444300000,1457400000,2224700000,2251800000,2301300000,2325000000,2968900000,2178400000,- -
67,Total Stockholders Equity,220600000,433000000,875900000,660300000,526400000,381300000,248100000,816700000,809900000,1090100000,1191700000,1732800000,1792300000,2292500000
68,Total Liabilities And Stockholders Equity,5657600000,5191700000,- -,- -,6530500000,6217000000,6076600000,5612400000,5389900000,5732700000,5272400000,6494800000,6354300000,6777800000
69,Minority Interest,- -,- -,6755800000,5712100000,- -,- -,- -,- -,- -,- -,- -,- -,-317300000,- -
70,Total Liabilities & Equity,5657600000,5191700000,6755800000,5712100000,6530500000,6217000000,6076600000,5612400000,5389900000,5732700000,5272400000,6494800000,6037000000,6777800000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1494319/000119312516490989/0001193125-16-490989-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431917000011/0001494319-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431918000014/0001494319-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431919000006/0001494319-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431920000009/0001494319-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431921000010/0001494319-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1494319/000149431922000011/0001494319-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-8000000,-42700000,- -,-176200000,-197400000,-82300000,-20100000,16500000,-68400000,119800000,172300000,-100200000,52000000,460600000
74,Depreciation and Amortization,140700000,135800000,- -,198400000,205000000,228100000,229500000,225000000,237900000,200400000,179500000,214700000,222000000,203400000
75,Deferred Income Tax,-20500000,-49000000,- -,-5300000,58700000,-34400000,-38000000,-7400000,-31600000,11700000,2800000,24300000,-32000000,6400000
76,Stock Based Compensation,- -,- -,- -,19000000,17500000,15100000,12100000,7500000,10400000,19700000,20700000,25100000,14000000,25400000
