,https://roic.ai/company/REPX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,30000,- -,2100000,3017252,5241076,6996686,5700478,6205250,6109474,7172876,9001681,9368624,15600674,9731000,13216000,17085000,20557000,15700000,13788000,6164000,4672000,5263000,5871000,4911000,3038000,151036000
2,COGS,20000,3748,1700000,2532932,2614414,2951746,3094731,3412201,3364429,3046460,3287233,4322833,5887869,5315000,6020000,6204000,10585000,8436000,9024000,6900000,4560000,4857000,4386000,4114000,3748000,57103000
3,Gross Profit,10000,-3748,400000,484320,2626662,4044940,2605747,2793049,2745045,4126416,5714448,5045791,9712805,4416000,7196000,10881000,9972000,7264000,4764000,-736000,112000,406000,1485000,797000,-710000,93933000
4,Gross Profit Ratio,0.3333,-Infinity,0.1905,0.1605,0.5012,0.5781,0.4571,0.4501,0.4493,0.5753,0.6348,0.5386,0.6226,0.4538,0.5445,0.6369,0.4851,0.4627,0.3455,-0.1194,0.0240,0.0771,0.2529,0.1623,-0.2337,0.6219
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1490000,1535841,2400000,2472939,3381921,3606799,2768666,2066966,1991710,1616436,1493078,1670803,2168025,2085000,2294000,2324000,2613000,2059000,2707000,2069000,1405000,1171000,1245000,1302000,2187000,20759000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1490000,1535841,2400000,2472939,3381921,3606799,2768666,2066966,1991710,1616436,1493078,1670803,2168025,2085000,2294000,2324000,2613000,2059000,2707000,2069000,1405000,1171000,1245000,1302000,2187000,20759000
9,Other Expenses,280000,945533,500000,265807,371249,1849963,2413597,2315767,4229876,2077698,2080006,1964666,2159505,2571000,2627000,2703000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9566000
10,Operating Expenses,1770000,2481374,2900000,2738746,3753170,5456762,5182263,4382733,6221586,3694134,3573084,3635469,4327530,4656000,4921000,5027000,2613000,2059000,2707000,2069000,1405000,1171000,1245000,1302000,2187000,30325000
11,COGS and Expenses,1790000,2485122,4600000,5271678,6367584,8408508,8276994,7794934,9586015,6740594,6860317,7958302,10215399,9971000,10941000,11231000,13198000,10495000,11731000,8969000,5965000,6028000,5631000,5416000,5935000,87428000
12,Interest Income ,- -,- -,- -,- -,- -,43597,3078,985,3501,1175,17823,16988,18966,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,600000,- -,415376,850965,578039,1357963,1367180,472655,168590,333198,608096,634000,659000,642000,743000,357000,88000,80000,102000,53000,5000,10000,8000,3686000
14,Depreciation and Amortization,130000,- -,500000,265807,371249,1849963,2413597,2315767,2175522,1605043,1911416,1631468,- -,- -,2627000,- -,3403000,2912000,- -,- -,- -,- -,- -,- -,644000,26015000
15,EBITDA,-1630000,-2405855,-2000000,-2406116,-755259,438141,-162919,1127000,1548677,3165726,4221370,3374988,7778638,-1553000,452000,5484000,6392000,8098000,-706000,-17290000,-4097000,-763000,1557000,-454000,-2996000,-22949000
16,EBITDA ratio,-54.3333,-Infinity,-0.9524,-0.7975,-0.1441,0.0626,-0.0286,0.1816,0.2535,0.4413,0.4690,0.3602,0.4986,-0.1596,0.0342,0.3210,0.3109,0.5158,-0.0512,-2.8050,-0.8769,-0.1450,0.2652,-0.0924,-0.9862,-0.1519
17,Operating Income,-1760000,-2485122,-2500000,-2254426,-1126508,-1411822,-2576516,-2084684,-2789155,432282,2141364,1410322,-6831218,-240000,-2682000,5854000,7359000,5205000,-739000,-17331000,-4098000,-765000,240000,-505000,-3817000,59876000
18,Operating Income ratio,-58.6667,-Infinity,-1.1905,-0.7472,-0.2149,-0.2018,-0.4520,-0.3360,-0.4565,0.0603,0.2379,0.1505,-0.4379,-0.0247,-0.2029,0.3426,0.3580,0.3315,-0.0536,-2.8116,-0.8771,-0.1454,0.0409,-0.1028,-1.2564,0.3964
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-990000,1374772,655746,- -,- -,14001760,-1947000,-152000,-1012000,-802000,-239000,-55000,-39000,-101000,-51000,185000,41000,169000,-93729000
20,Income Before Tax,-1760000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1410322,7170542,-2187000,-2834000,4842000,6557000,4966000,-794000,-17370000,-4199000,-816000,425000,-464000,-3648000,-33853000
21,Income Before Tax Ratio,-58.6667,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1505,0.4596,-0.2247,-0.2144,0.2834,0.3190,0.3163,-0.0576,-2.8180,-0.8988,-0.1550,0.0724,-0.0945,-1.2008,-0.2241
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,7000880,-169000,-1089000,162000,2313000,2010000,-6000,7351000,- -,-242000,-17000,-28000,- -,13016000
23,Net Income,-1760000,-4176876,-3100000,-2671923,-1541884,-2262787,-3154555,-2546730,-1994025,1088028,2141364,3510322,169662,-2018000,-1745000,4680000,-67000,2819000,-788000,-24721000,-4199000,-574000,1569000,-436000,-3648000,-65666000
24,Net Income ratio,-58.6667,-Infinity,-1.4762,-0.8855,-0.2942,-0.3234,-0.5534,-0.4104,-0.3264,0.1517,0.2379,0.3747,0.0109,-0.2074,-0.1320,0.2739,-0.0033,0.1796,-0.0572,-4.0105,-0.8988,-0.1091,0.2672,-0.0888,-1.2008,-0.4348
25,EPS,-3.09,-76.57,-48.00,-40.80,-22.86,-31.20,-39.60,-28.80,-6.00,2.40,4.80,7.20,0.34,-3.60,-3.60,9.60,-0.13,6.00,-1.20,-48.72,-8.28,-0.72,1.80,-0.48,-4.10,-4.19
26,EPS Diluted,-3.09,-76.57,-48.00,-40.80,-22.86,-31.20,-39.60,-28.80,-6.00,2.40,4.80,7.20,0.33,-3.60,-3.60,9.60,-0.13,6.00,-1.20,-48.72,-8.28,-0.72,1.80,-0.48,-4.10,-4.19
27,Weighted Average Shares Outstanding,570000,54549,64583,67915,77113,85293,92186,99634,340465,433490,490430,492641,493735,495072,503463,505845,506484,507018,507018,507018,507583,840098,885677,887608,889670,16021000
28,Weighted Average Shares Outstanding Diluted,570000,54549,64583,73416,77113,85293,92186,99634,340465,433490,503037,506891,512435,495072,503463,509072,509619,507663,507080,507018,507583,840098,885677,887608,889670,16021000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001614/000093041303001024/0000930413-03-001024-index.html,https://www.sec.gov/Archives/edgar/data/1001614/000093041304001599/0000930413-04-001599-index.html,https://www.sec.gov/Archives/edgar/data/1001614/000116923205001959/0001169232-05-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161406000006/0001001614-06-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001614/000100161408000019/0001001614-08-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161409000021/0001001614-09-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000100161410000003/0001001614-10-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1001614/000100161412000009/0001001614-12-000009-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1001614/000114036115013485/0001140361-15-013485-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036116059420/0001140361-16-059420-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036117014015/0001140361-17-014015-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036118015512/0001140361-18-015512-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000156761919007789/0001567619-19-007789-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036120007405/0001140361-20-007405-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000114036121010616/0001140361-21-010616-index.htm,https://www.sec.gov/Archives/edgar/data/1001614/000162828021025024/0001628280-21-025024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,150000,4451274,900000,420590,1603975,393451,184130,312666,267735,260969,369665,2226839,244758,422000,141000,68000,31000,54000,35000,40000,76000,185000,3115000,3055000,1561000,17067000
32,Short-Term Investments,- -,- -,- -,- -,- -,150000,34500,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,150000,4451274,900000,420590,1603975,543451,218630,372666,267735,260969,369665,2226839,244758,422000,141000,68000,31000,54000,35000,40000,76000,185000,3115000,3055000,1561000,17067000
34,Net Receivables,10000,- -,100000,533983,835404,745572,801272,576780,779768,1164182,732848,1107020,1128864,1148000,2510000,1844000,1676000,1453000,877000,446000,490000,608000,533000,557000,294000,17929000
35,Inventory,- -,140253,100000,259753,251345,159364,262748,280693,341745,496331,550522,460365,475640,581000,577000,823000,1402000,1253000,804000,542000,627000,541000,464000,415000,361000,- -
36,Other Current Assets,- -,270939,100000,- -,- -,- -,323856,374139,67526,6056,11056,11056,11056,20000,306000,385000,194000,442000,379000,354000,421000,164000,235000,251000,112000,1730000
37,Total Current Assets,160000,4862466,1200000,1214326,2690724,1448387,1606506,1604278,1456774,1927538,1664091,3805280,1860318,2171000,3534000,3120000,3303000,3202000,2095000,1382000,1614000,1498000,4347000,4278000,2328000,36726000
38,PP&E,2380000,9771684,12200000,13231773,22428499,29989796,30923114,28999962,27752975,23981078,26432009,26382326,26806415,29466000,25900000,32599000,29466000,28759000,27247000,10611000,6924000,6352000,4994000,4575000,3041000,349289000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,9100880,9270000,10095000,10077000,9434000,7209000,7283000,- -,- -,242000,- -,- -,- -,- -
44,Other Non-Current Assets,190000,10661,100000,736613,105501,690062,54771,- -,- -,- -,358238,1993943,4678994,267000,220000,203000,1964000,542000,404000,10000,- -,13000,143000,69000,2000,2216000
45,Total Non-Current Assets,2570000,9782345,12300000,13968386,22534000,30679858,30977885,28999962,27752975,23981078,26790247,30476269,40586289,39003000,36215000,42879000,40864000,36510000,34934000,10621000,6924000,6607000,5137000,4644000,3043000,351505000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2730000,14644811,13500000,15182712,25224724,32128245,32584391,30604240,29209749,25908616,28454338,34281549,42446607,41174000,39749000,45999000,44167000,39712000,37029000,12003000,8538000,8105000,9484000,8922000,5371000,388231000
48,Accounts Payable,350000,527398,400000,651909,1016462,1208164,1396761,1075948,319820,597278,687475,903238,701086,742000,1543000,1468000,648000,367000,455000,151000,303000,208000,132000,269000,218000,12234000
49,Short-Term Debt,830000,2301045,1500000,1775085,2108486,6399831,7861245,9836290,3076672,58867,65267,57887,74877,119000,129000,103000,100000,82000,65000,65000,55000,41000,51000,- -,103000,2428000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,40000,3808594,1200000,193595,188075,166596,347335,1402963,4814003,2606137,38842,370679,437199,1050000,1258000,710000,940000,1183000,1508000,1149000,433000,362000,365000,341000,280000,68953000
53,Total Current Liabilities,1220000,6637037,3100000,2620589,3313023,7774591,9605341,12315201,8210495,3262282,791584,1331804,1213162,1911000,3524000,2281000,1688000,1632000,2028000,1365000,791000,611000,548000,610000,601000,83615000
54,Long-Term Debt,50000,141215,2200000,3119293,7108599,3902757,2006209,221635,106688,117912,2730534,4315773,10052023,10062000,9564000,11694000,10246000,3375000,824000,956000,2423000,49000,73000,- -,16000,60000000
