,https://roic.ai/company/AGTC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1082000,942000,1129000,2354000,47361000,39473000,24186000,41692000,2453000,500000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,2354000,3133000,8503000,16528000,38864000,26217000,32181000,33183000,35778000,44400000
6,General and Administrative Exp.,787000,1403000,5182000,10358000,10586000,11354000,14389000,12859000,13617000,14551000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",787000,1403000,5182000,10358000,10586000,11354000,14389000,12859000,13617000,14551000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3141000,4536000,13685000,26886000,49450000,37571000,46570000,46042000,49395000,58951000
11,COGS and Expenses,3141000,4536000,13685000,26886000,49450000,37571000,46570000,46042000,49395000,58951000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),69000,191000,- -,- -,- -,- -,- -,- -,- -,1506000
14,Depreciation and Amortization,262000,285000,334000,376000,567000,912000,1175000,1273000,1335000,1460000
15,EBITDA,-1593000,-4514000,-15574000,-23942000,-814000,3719000,-20053000,-657000,-44474000,-56971000
16,EBITDA ratio,-1.4723,-4.7919,-13.7945,-10.1708,-0.0172,0.0942,-0.8291,-0.0158,-18.1305,-113.9420
17,Operating Income,-2059000,-3594000,-12556000,-24532000,-2089000,1902000,-22384000,-4350000,-46942000,-58451000
18,Operating Income ratio,-1.9030,-3.8153,-11.1213,-10.4214,-0.0441,0.0482,-0.9255,-0.1043,-19.1366,-116.9020
19,Total Other Income Expenses (Gains),135000,-1396000,-3352000,214000,708000,905000,1176000,2455000,1180000,-1390000
20,Income Before Tax,-1924000,-4990000,-15908000,-24318000,-1381000,2807000,-21208000,-1895000,-45762000,-59841000
21,Income Before Tax Ratio,-1.7782,-5.2972,-14.0903,-10.3305,-0.0292,0.0711,-0.8769,-0.0455,-18.6555,-119.6820
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,2400000,72000,76000,83000,-2108000
23,Net Income,-1924000,-4990000,-15908000,-24318000,-1381000,407000,-21300000,-2006000,-45892000,-57829000
24,Net Income ratio,-1.7782,-5.2972,-14.0903,-10.3305,-0.0292,0.0103,-0.8807,-0.0481,-18.7085,-115.6580
25,EPS,-0.28,-1.20,-4.46,-1.50,-0.08,0.02,-1.18,-0.11,-2.17,-1.77
26,EPS Diluted,-0.28,-1.20,-4.46,-1.50,-0.08,0.02,-1.18,-0.11,-2.17,-1.77
27,Weighted Average Shares Outstanding,6885000,4146000,3568000,16253000,17810000,18072000,18105000,18157000,21102000,32756000
28,Weighted Average Shares Outstanding Diluted,6885000,4146000,3568000,16253000,17810000,18385000,18105000,18157000,21102000,32756000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1273636/000119312514354838/0001193125-14-354838-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459015007858/0001564590-15-007858-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459016025119/agtc-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/1273636/000156459017018636/0001564590-17-018636-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000156459018022913/0001564590-18-022913-index.html,https://www.sec.gov/Archives/edgar/data/1273636/000119312519255968/d758657d10k.htm,https://www.sec.gov/Archives/edgar/data/1273636/000119312520249103/0001193125-20-249103-index.htm,https://www.sec.gov/Archives/edgar/data/1273636/000119312521280686/0001193125-21-280686-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,774000,19615000,8623000,39187000,28868000,30706000,31065000,26703000,38463000,105052000
32,Short-Term Investments,- -,14000000,64450000,22454000,69664000,95994000,73840000,55292000,41995000,2000000
33,Cash and Short-Term Investments,774000,33615000,73073000,61641000,98532000,126700000,104905000,81995000,80458000,107052000
34,Net Receivables,184000,143000,487000,883000,954000,174000,210000,13000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,137000,475000,1876000,1608000,3089000,3361000,4009000,2276000,2506000,2655000
37,Total Current Assets,1095000,34233000,75436000,64132000,102575000,130235000,109124000,84284000,82964000,109707000
38,PP&E,53000,341000,402000,478000,2627000,2661000,5254000,4430000,7813000,7859000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1672000,1630000,1565000,1448000,1321000,1219000,968000,1013000,1098000,1287000
41,Intangible Assets,1672000,1630000,1565000,1448000,1321000,1219000,968000,1013000,1098000,1287000
42,Investments,- -,- -,- -,23629000,74183000,13749000,1980000,1945000,8096000,8000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4000,8000,4000,487000,91000,59000,1206000,544000,348000,113000
45,Total Non-Current Assets,1729000,1979000,1971000,26042000,78222000,17688000,9408000,7932000,17355000,17259000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2824000,36212000,77407000,90174000,180797000,147923000,118532000,92216000,100319000,126966000
48,Accounts Payable,118000,792000,949000,1191000,1331000,998000,945000,1331000,1355000,1879000
49,Short-Term Debt,1007000,1000,- -,- -,- -,- -,- -,- -,1106000,3335000
50,Tax Payable,- -,- -,- -,- -,- -,1514000,- -,- -,- -,- -
51,Deferred Revenue,- -,212000,- -,- -,46898000,20996000,6295000,- -,- -,- -
52,Other Current Liabilities,369000,359000,1585000,3451000,6514000,6162000,7155000,8024000,10502000,14500000
53,Total Current Liabilities,1494000,1364000,2534000,4642000,54743000,28156000,14395000,9355000,12963000,19714000
54,Long-Term Debt,16000,- -,- -,- -,- -,- -,- -,- -,9677000,21145000
55,Deferred Revenue,- -,- -,- -,- -,16766000,4438000,610000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,32604000,- -,- -,- -,- -,- -,4345000,4152000,6663000,299000
58,Total Non-Current Liabilities,32620000,- -,- -,- -,16766000,4438000,4955000,4152000,16340000,21444000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,5214000,4572000
61,Total Liabilities,34114000,1364000,2534000,4642000,71509000,32594000,19350000,13507000,29303000,41158000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,9000,14000,16000,18000,18000,18000,18000,25000,43000
64,Retained Earnings,-43436000,-48426000,-64334000,-88652000,-90033000,-89626000,-110926000,-135548000,-181440000,-239269000
65,Other Comprehensive Income/Loss,-776000,-723000,-824000,-928000,-1184000,-1652000,-2587000,-3639000,-4658000,- -
66,Other Total Stockholders Equity,12922000,83988000,140017000,175096000,200487000,206589000,212677000,217878000,257089000,325034000
