,https://roic.ai/company/ALGT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,22177000,49970000,90365000,132500000,243350000,360573000,504012000,557940000,663641000,779117000,908719000,996150000,1137046000,1262188000,1362831000,1503778000,1667447000,1840965000,990073000,1707910000
2,COGS,- -,- -,67024000,96555000,171072000,239961000,311766000,270005000,365149000,479695000,721247000,773725000,852363000,803488000,890568000,1095805000,1249959000,1297260000,994413000,1476374000
3,Gross Profit,- -,- -,23341000,35945000,72278000,120612000,192246000,287935000,298492000,299422000,187472000,222425000,284683000,458700000,472263000,407973000,417488000,543705000,-4340000,231536000
4,Gross Profit Ratio,- -,- -,0.2583,0.2713,0.2970,0.3345,0.3814,0.5161,0.4498,0.3843,0.2063,0.2233,0.2504,0.3634,0.3465,0.2713,0.2504,0.2953,-0.0044,0.1356
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,7395000,10612000,14395000,3004000,92918000,115734000,138367000,119856000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,2385000,- -,- -,- -,12803000,14361000,16458000,17062000,19905000,19222000,21678000,28492000,21349000,20527000,52711000,73514000,78910000,43517000,72742000
8,"Selling, General and Administrative Exp.",632000,2385000,7395000,10612000,14395000,15807000,107279000,132192000,155429000,139761000,19222000,21678000,28492000,21349000,20527000,52711000,73514000,78910000,43517000,72742000
9,Other Expenses,22476000,44685000,24232000,118374000,211504000,303710000,23489000,29638000,34965000,74217000,35946000,46010000,55566000,65649000,81178000,92840000,100515000,100845000,-73171000,-118279000
10,Operating Expenses,23108000,47070000,31627000,128986000,225899000,319517000,130768000,161830000,190394000,213978000,55168000,67688000,84058000,86998000,101705000,145551000,174029000,179755000,-29654000,-45537000
11,COGS and Expenses,23108000,47070000,98651000,225541000,396971000,559478000,442534000,431835000,555543000,693673000,776415000,841413000,936421000,890486000,992273000,1241356000,1423988000,1477015000,964759000,1430837000
12,Interest Income ,- -,- -,- -,- -,- -,- -,4730000,2474000,1184000,1236000,983000,1043000,774000,1391000,3010000,5808000,9226000,12523000,5509000,1814000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,5411000,4079000,2522000,7175000,8739000,9493000,21205000,26510000,28836000,38990000,53762000,72329000,56426000,68403000
14,Depreciation and Amortization,260000,1181000,-2183000,5088000,10584000,15992000,23489000,29638000,34965000,41975000,57503000,69264000,83409000,98097000,105216000,121713000,129351000,155852000,176267000,- -
15,EBITDA,-1030000,4486000,6964000,12417000,26400000,66697000,84152000,154281000,140819000,128664000,191072000,225931000,242131000,471370000,480010000,356249000,382431000,529428000,-128374000,265023000
16,EBITDA ratio,-0.0464,0.0898,0.0771,0.0937,0.1085,0.1850,0.1670,0.2765,0.2122,0.1651,0.2103,0.2268,0.2129,0.3735,0.3522,0.2369,0.2294,0.2876,-0.1297,0.1552
17,Operating Income,-931000,2900000,- -,8501000,22553000,44060000,55848000,122253000,104656000,85444000,132304000,154737000,157345000,371702000,370558000,227169000,243459000,363950000,-280985000,263075000
18,Operating Income ratio,-0.0420,0.0580,- -,0.0642,0.0927,0.1222,0.1108,0.2191,0.1577,0.1097,0.1456,0.1553,0.1384,0.2945,0.2719,0.1511,0.1460,0.1977,-0.2838,0.1540
19,Total Other Income Expenses (Gains),-358000,405000,17433000,-1172000,-6737000,6645000,-596000,-1689000,-1324000,-5930000,-7657000,-8057000,-20214000,-24983000,-24600000,-31623000,-44141000,-62703000,-80082000,-66455000
20,Income Before Tax,-1289000,3305000,9147000,7329000,15816000,50705000,55252000,120564000,103332000,79514000,124647000,146680000,137131000,346719000,345958000,195546000,199318000,301247000,-361067000,196620000
21,Income Before Tax Ratio,-0.0581,0.0661,0.1012,0.0553,0.0650,0.1406,0.1096,0.2161,0.1557,0.1021,0.1372,0.1472,0.1206,0.2747,0.2539,0.1300,0.1195,0.1636,-0.3647,0.1151
22,Income Tax expense (Gain),- -,1000,12000,37000,7076000,19196000,19845000,44233000,37630000,30116000,46233000,54901000,50828000,126389000,126368000,644000,37516000,69130000,-176974000,44767000
23,Net Income,-1290000,3304000,9135000,7292000,8740000,31509000,35407000,76331000,65702000,49398000,78597000,92273000,86689000,220374000,219590000,194902000,161802000,232117000,-184093000,151853000
24,Net Income ratio,-0.0582,0.0661,0.1011,0.0550,0.0359,0.0874,0.0703,0.1368,0.0990,0.0634,0.0865,0.0926,0.0762,0.1746,0.1611,0.1296,0.0970,0.1261,-0.1859,0.0889
25,EPS,-0.14,0.49,1.36,1.11,1.23,1.56,1.75,3.82,3.36,2.59,4.10,4.85,4.87,12.97,13.23,11.94,10.02,14.27,-11.53,9.50
26,EPS Diluted,-0.14,0.49,1.36,0.56,0.52,1.53,1.73,3.76,3.32,2.57,4.06,4.82,4.86,12.94,13.21,11.93,10.00,14.26,-11.53,9.50
27,Weighted Average Shares Outstanding,9214286,6742857,6722055,6569369,6433333,20243000,20289000,19982000,19407000,18935000,19079000,18936000,17729000,16923000,16465000,16073000,15941000,16027000,15992000,15992000
28,Weighted Average Shares Outstanding Diluted,9214286,6742857,6722055,13021429,16807692,20529000,20500000,20278000,19658000,19125000,19276000,19050000,17782000,16962000,16489000,16095000,15967000,16041000,15992000,15992000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1362468/000104746908002507/a2183318z10-k.htm,https://www.sec.gov/Archives/edgar/data/1362468/000104746909002190/0001047469-09-002190-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000104746910001935/0001047469-10-001935-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000143774911001503/algt_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1362468/000143774912001771/0001437749-12-001771-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000143774913001984/0001437749-13-001984-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246814000010/algt201310kdoc.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246815000009/algt201410kdoc.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246816000054/0001362468-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246817000006/0001362468-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246818000008/0001362468-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246819000010/0001362468-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246820000011/0001362468-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1362468/000136246821000012/0001362468-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1362468/000136246822000018/0001362468-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1569000,21259000,130273000,144269000,97153000,90239000,113293000,150740000,89557000,97711000,89610000,87112000,64711000,59449000,81520000,121888000,152764000,365600000
32,Short-Term Investments,- -,- -,- -,32066000,5808000,27110000,77635000,141231000,37000000,154779000,239139000,253378000,269817000,245583000,269269000,352681000,314464000,335928000,532477000,817200000
33,Cash and Short-Term Investments,- -,- -,1569000,53325000,136081000,171379000,174788000,231470000,150293000,305519000,328696000,351089000,359427000,332695000,333980000,412130000,395984000,457816000,685241000,1182800000
34,Net Receivables,- -,- -,2738000,6742000,7327000,15312000,5575000,7476000,7852000,12866000,18635000,16857000,14216000,15146000,40667000,71057000,36014000,25516000,192215000,- -
35,Inventory,- -,- -,1547000,1387000,3747000,6544000,7005000,10673000,13383000,14539000,18432000,19428000,16980000,15583000,16797000,17647000,19516000,28375000,24006000,- -
36,Other Current Assets,- -,- -,19615000,15623000,21501000,31653000,27049000,40254000,47875000,43437000,49504000,42547000,43004000,31819000,30610000,40441000,43734000,50514000,42171000,- -
37,Total Current Assets,- -,- -,25469000,77077000,168656000,224888000,214417000,289873000,219403000,376361000,415267000,429921000,433627000,395243000,422054000,541275000,495248000,562221000,943633000,- -
