,https://roic.ai/company/COLL,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,1711000,28476000,280413000,296701000,310016000,276868000
2,COGS,- -,- -,- -,213000,2595000,165677000,193660000,130180000,126251000
3,Gross Profit,- -,- -,- -,1498000,25881000,114736000,103041000,179836000,150617000
4,Gross Profit Ratio,- -,- -,- -,0.8755,0.9089,0.4092,0.3473,0.5801,0.5440
5,Research and Development Exp.,14157000,14959000,7975000,14948000,8572000,8661000,10340000,9772000,9451000
6,General and Administrative Exp.,1885000,2706000,18932000,- -,- -,- -,- -,113832000,- -
7,Selling and Marketing Exp.,- -,- -,- -,80632000,92756000,126760000,116449000,- -,- -
8,"Selling, General and Administrative Exp.",1885000,2706000,18932000,80632000,92756000,126760000,116449000,113832000,118960000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16042000,17665000,26907000,95580000,101328000,135421000,126789000,123604000,128411000
11,COGS and Expenses,16042000,17665000,26907000,95793000,103923000,301098000,320449000,253784000,254662000
12,Interest Income ,- -,- -,- -,- -,- -,1687000,1935000,232000,12000
13,Interest Expense (Gain),76000,252000,439000,94000,582000,20130000,909000,28882000,21014000
14,Depreciation and Amortization,169000,187000,171000,655000,594000,110908000,15483000,61550000,68917000
15,EBITDA,-15873000,-17478000,-26736000,-93427000,-73689000,91910000,-6330000,118014000,86557000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-54.6037,-2.5878,0.3278,-0.0213,0.3807,0.3126
17,Operating Income,-16042000,-17665000,-26907000,-94082000,-75447000,-20685000,-23748000,56232000,17628000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-54.9866,-2.6495,-0.0738,-0.0800,0.1814,0.0637
19,Total Other Income Expenses (Gains),-155000,-252000,-348000,-94000,582000,-18443000,1026000,-28650000,-21002000
20,Income Before Tax,-16197000,-17917000,-27255000,-94176000,-74865000,-39128000,-22722000,27582000,-3374000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-55.0415,-2.6291,-0.1395,-0.0766,0.0890,-0.0122
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,830000,-74891000
23,Net Income,-16197000,-17917000,-27255000,-94176000,-74865000,-39128000,-22722000,26752000,71517000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-55.0415,-2.6291,-0.1395,-0.0766,0.0863,0.2583
25,EPS,-0.92,-2.84,-1.48,-3.88,-2.47,-1.19,-0.68,0.78,2.02
26,EPS Diluted,-0.92,-2.84,-1.48,-3.88,-2.47,-1.19,-0.68,0.76,1.97
27,Weighted Average Shares Outstanding,7471303,7471303,13542282,24262945,30265262,32953808,33453844,34407959,35373909
28,Weighted Average Shares Outstanding Diluted,7471303,7471303,13542282,24262945,30265262,32953808,33453844,35151353,36261174
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1267565/000155837016004252/0001558370-16-004252-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837017001629/0001558370-17-001629-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837018001644/0001558370-18-001644-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837019001187/0001558370-19-001187-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837020001625/0001558370-20-001625-index.html,https://www.sec.gov/Archives/edgar/data/1267565/000155837021001814/0001558370-21-001814-index.htm,https://www.sec.gov/Archives/edgar/data/1267565/000155837022001927/0001558370-22-001927-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,7551000,1634000,95697000,153225000,118697000,146633000,170019000,174116000,186426000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7551000,1634000,95697000,153225000,118697000,146633000,170019000,174116000,186426000
34,Net Receivables,- -,- -,- -,2129000,9969000,77946000,72953000,83320000,105844000
35,Inventory,- -,- -,- -,1316000,1813000,7817000,9643000,15614000,17394000
36,Other Current Assets,710000,2862000,1186000,1905000,3005000,5116000,3105000,4838000,5879000
37,Total Current Assets,8261000,4496000,96883000,158575000,133484000,237512000,255720000,277888000,315543000
38,PP&E,693000,514000,738000,1038000,1826000,9274000,20901000,27379000,27135000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,2103000,- -,44255000,29503000,335904000,- -
41,Intangible Assets,- -,- -,- -,2103000,- -,44255000,29503000,335904000,268723000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,78042000
44,Other Non-Current Assets,80000,80000,97000,301000,258000,204000,178000,2670000,2634000
45,Total Non-Current Assets,773000,594000,835000,3442000,2084000,53733000,50582000,365953000,376534000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9034000,5090000,97718000,162017000,135568000,291245000,306302000,643841000,692077000
48,Accounts Payable,1217000,2208000,3537000,9106000,5684000,12150000,6247000,10016000,4189000
49,Short-Term Debt,333000,6194000,2667000,2667000,1479000,1642000,4489000,48225000,49167000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1817000,3192000
51,Deferred Revenue,- -,- -,- -,4944000,- -,- -,- -,- -,- -
52,Other Current Liabilities,1068000,2015000,2228000,8879000,24325000,175334000,191029000,181210000,226210000
53,Total Current Liabilities,2618000,10417000,8432000,25596000,31488000,189126000,201765000,239451000,279566000
54,Long-Term Debt,640000,6813000,4146000,1479000,- -,9858000,7667000,209594000,209583000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,194000,101000,68000,34000,- -,676000,9438000,8765000,- -
58,Total Non-Current Liabilities,834000,6914000,4214000,1513000,- -,10534000,17105000,218359000,209583000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,135000,101000,68000,34000,- -,- -,10094000,9495000,8765000
61,Total Liabilities,3452000,17331000,12646000,27109000,31488000,199660000,218870000,457810000,489149000
62,Preferred Stock,73807000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,8000,21000,29000,33000,33000,34000,35000,36000
64,Retained Earnings,-80536000,-101753000,-129008000,-223184000,-298049000,-337177000,-359899000,-333147000,-256342000
65,Other Comprehensive Income/Loss,-716000,-903000,-1074000,-1332000,-1668000,-1837000,-2288000,- -,- -
66,Other Total Stockholders Equity,13026000,90407000,215133000,359395000,403764000,430566000,449585000,519143000,459234000
67,Total Stockholders Equity,5582000,-12241000,85072000,134908000,104080000,91585000,87432000,186031000,202928000
68,Total Liabilities And Stockholders Equity,9034000,5090000,97718000,162017000,135568000,291245000,306302000,643841000,692077000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9034000,5090000,97718000,162017000,135568000,291245000,306302000,643841000,692077000
