,https://roic.ai/company/TREE,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,421355000,476478000,346378000,228572000,216775000,198181000,54617000,77443000,139240000,167350000,254216000,384402000,617736000,764865000,1106603000,909990000,1098499000
2,COGS,- -,- -,73217000,73114000,64393000,74760000,58064000,4133000,4295000,6542000,7903000,9370000,13764000,17223000,36399000,68379000,54494000,57297000
3,Gross Profit,- -,- -,403261000,273264000,164179000,142015000,140117000,50484000,73148000,132698000,159447000,244846000,370638000,600513000,728466000,1038224000,855496000,1041202000
4,Gross Profit Ratio,- -,- -,0.8463,0.7889,0.7183,0.6551,0.7070,0.9243,0.9445,0.9530,0.9528,0.9631,0.9642,0.9721,0.9524,0.9382,0.9401,0.9478
5,Research and Development Exp.,- -,- -,15168000,14991000,6687000,5962000,4155000,3203000,3529000,5264000,7457000,10485000,13761000,17925000,26958000,39953000,- -,52865000
6,General and Administrative Exp.,- -,- -,- -,- -,75205000,78109000,56790000,19751000,22231000,24658000,25883000,30030000,37227000,71541000,101219000,116847000,129101000,153472000
7,Selling and Marketing Exp.,- -,- -,- -,- -,109253000,61957000,74074000,46662000,48934000,91121000,112704000,172849000,261100000,432784000,500291000,735180000,617404000,773990000
8,"Selling, General and Administrative Exp.",- -,- -,338194000,286856000,184458000,140066000,130864000,66413000,71165000,115779000,138587000,202879000,298327000,504325000,601510000,852027000,746505000,927462000
9,Other Expenses,- -,- -,35728000,488990000,51403000,11513000,8876000,5914000,4463000,3648000,3381000,3157000,6187000,20077000,30853000,66239000,- -,60648000
10,Operating Expenses,- -,- -,389090000,790837000,242548000,157541000,143895000,75530000,79157000,124691000,149425000,216521000,318275000,542327000,659321000,958219000,746505000,1040975000
11,COGS and Expenses,- -,- -,462307000,863951000,306941000,232301000,201959000,79663000,83452000,131233000,157328000,225891000,332039000,559550000,695720000,1026598000,916593000,1098272000
12,Interest Income ,- -,- -,- -,- -,134000,88000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,650000,617000,473000,368000,881000,19000,2000,171000,561000,7028000,12437000,20271000,36300000,46867000
14,Depreciation and Amortization,- -,- -,35728000,44527000,51403000,11513000,8876000,5914000,4463000,3648000,3381000,3157000,6187000,21551000,31483000,66239000,67279000,60648000
15,EBITDA,- -,5851000,49443000,-495714000,-163497000,-12712000,-9172000,-64987000,50486000,7161000,12261000,28402000,54608000,50448000,74844000,95859000,61052000,187928000
16,EBITDA ratio,- -,0.0139,0.1038,-1.4311,-0.7153,-0.0586,-0.0463,-1.1899,0.6519,0.0514,0.0733,0.1117,0.1421,0.0817,0.0979,0.0866,0.0671,0.1711
