,https://roic.ai/company/MARA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,3418371,21404469,18977794,36629276,519622,1562372,1185227,4357443,150463770
2,COGS,- -,- -,- -,957040,11787445,16603792,19064473,7833218,5336059,3957631,11731271,197981858
3,Gross Profit,- -,- -,- -,2461331,9617024,2374002,17564803,-7313596,-3773687,-2772404,-7373828,-47518088
4,Gross Profit Ratio,- -,- -,- -,0.7200,0.4493,0.1251,0.4795,-14.0748,-2.4154,-2.3391,-1.6922,-0.3158
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,5540962,5098279,8150984,11435861,9400224,4166344,3229961,1018931,1587974,8016651
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,30928,5540962,5098279,8150984,11435861,9400224,4166344,3229961,1018931,1587974,8016651
9,Other Expenses,- -,- -,- -,1038505,5528279,10825164,7453004,- -,2850000,- -,- -,- -
10,Operating Expenses,- -,30928,5540962,6136784,13679263,22261025,16853228,4166344,6079961,1018931,1587974,8016651
11,COGS and Expenses,- -,30928,5540962,7093824,25466708,38864817,35917701,11999562,11416020,4976562,13319245,205998509
12,Interest Income ,- -,- -,978,1552,634,1068,4353,2793,14230,33651,18343,677415
13,Interest Expense (Gain),- -,- -,153,1075,543283,4245982,3140375,4870932,2371510,51915,20984,1569731
14,Depreciation and Amortization,- -,- -,8773,1041865,5528280,10832742,7457266,1850268,2069712,1077321,3161198,15102579
15,EBITDA,- -,-30928,-5531211,-2407395,-723792,-10017583,-6550576,-24716321,-8303968,-2387829,-7265589,3518525
16,EBITDA ratio,- -,-Infinity,-Infinity,-0.7043,-0.0338,-0.5279,-0.1788,-47.5660,-5.3150,-2.0147,-1.6674,0.0234
17,Operating Income,- -,-30928,-5540962,-3675453,-6206727,-25680432,-15583614,-14183490,-12076336,-4239111,-9833104,-85087730
18,Operating Income ratio,- -,-Infinity,-Infinity,-1.0752,-0.2900,-1.3532,-0.4254,-27.2958,-7.7295,-3.5766,-2.2566,-0.5655
19,Total Other Income Expenses (Gains),- -,- -,13325,-38342,-588627,584125,-1728451,-17254031,-668854,722046,-614667,71933945
