,https://roic.ai/company/CVNA,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,41679000,130392000,365148000,858870000,1955467000,3939896000,5586565000,12814000000
2,COGS,42103000,129046000,345951000,790779000,1758758000,3433482000,4792800000,10885000000
3,Gross Profit,-424000,1346000,19197000,68091000,196709000,506414000,793765000,1929000000
4,Gross Profit Ratio,-0.0102,0.0103,0.0526,0.0793,0.1006,0.1285,0.1421,0.1505
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10606000,25899000,81688000,167703000,314029000,582697000,839728000,1554000000
7,Selling and Marketing Exp.,4078000,10779000,26988000,55697000,111229000,204020000,286433000,479000000
8,"Selling, General and Administrative Exp.",14684000,36678000,108676000,223400000,425258000,786717000,1126161000,2033000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,14684000,36678000,108676000,223400000,425258000,786717000,1126161000,2033000000
11,COGS and Expenses,56787000,165724000,454627000,1014179000,2184016000,4220199000,5918961000,12918000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),108000,1412000,3587000,7659000,25018000,80606000,131528000,176000000
14,Depreciation and Amortization,1705000,2800000,4658000,11568000,23539000,41265000,73791000,105000000
15,EBITDA,-13425000,203000,-84867000,914000,-13197000,7212000,33924000,147000000
16,EBITDA ratio,-0.3221,0.0016,-0.2324,0.0011,-0.0067,0.0018,0.0061,0.0115
17,Operating Income,-15108000,-35332000,-89479000,-155309000,- -,- -,- -,- -
18,Operating Income ratio,-0.3625,-0.2710,-0.2450,-0.1808,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-130000,-1448000,-3633000,-9007000,-26196000,-84336000,-130081000,-182000000
20,Income Before Tax,-15238000,-36780000,-93112000,-164316000,-254745000,-364639000,-462477000,-286000000
21,Income Before Tax Ratio,-0.3656,-0.2821,-0.2550,-0.1913,-0.1303,-0.0926,-0.0828,-0.0223
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-255000,1000000
23,Net Income,-15238000,-4009000,-93112000,-18313000,-61754000,-114659000,-171140000,-135000000
24,Net Income ratio,-0.3656,-0.0307,-0.2550,-0.0213,-0.0316,-0.0291,-0.0306,-0.0105
25,EPS,-1.02,-0.27,-7.58,-1.31,-2.24,-2.45,-2.63,-0.76
26,EPS Diluted,-1.02,-0.27,-7.58,-1.31,-2.24,-2.45,-2.63,-0.76
27,Weighted Average Shares Outstanding,15000000,15000000,15000000,15241000,30043000,46847000,64981000,177600003
28,Weighted Average Shares Outstanding Diluted,15000000,15000000,15000000,15241000,30043000,46847000,64981000,177600003
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1690820/000169082018000005/0001690820-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082019000024/0001690820-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082020000052/0001690820-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1690820/000169082021000069/0001690820-21-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1690820/000169082022000080/0001690820-22-000080-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,43134000,39184000,172680000,78861000,76016000,300810000,403000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,43134000,39184000,172680000,78861000,76016000,300810000,403000000
34,Net Receivables,- -,4392000,5692000,14105000,33120000,39864000,78563000,206000000
35,Inventory,- -,68038000,185506000,227446000,412243000,762696000,1036235000,3149000000
36,Other Current Assets,- -,3654000,44859000,75487000,138630000,480846000,507539000,1134000000
37,Total Current Assets,- -,119218000,275241000,489718000,662854000,1359422000,1923147000,4892000000
38,PP&E,- -,16794000,60592000,148681000,296839000,666891000,1064630000,1929000000
39,Goodwill,- -,- -,- -,- -,9353000,9353000,9353000,9000000
40,Intangible Assets,- -,- -,- -,- -,8869000,7232000,5643000,4000000
41,Intangible Assets,- -,- -,- -,- -,18222000,16585000,14996000,13000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2738000,13098000,14850000,31758000,181000000
45,Total Non-Current Assets,- -,16794000,60592000,151419000,328159000,698326000,1111384000,2123000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,136012000,335833000,641137000,991013000,2057748000,3034531000,7015000000
48,Accounts Payable,- -,341000,6208000,10546000,29141000,63576000,66504000,141000000
49,Short-Term Debt,- -,42302000,166370000,253923000,208096000,617571000,105317000,2205000000
50,Tax Payable,- -,1382000,4265000,9034000,27651000,45812000,71504000,102000000
51,Deferred Revenue,- -,- -,- -,- -,- -,6379000,16881000,34000000
52,Other Current Liabilities,- -,28165000,23840000,41562000,92274000,177344000,278435000,510000000
53,Total Current Liabilities,- -,70808000,196418000,306031000,329511000,864870000,467137000,2890000000
54,Long-Term Debt,- -,- -,4404000,48469000,425349000,883060000,1617002000,3569000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
