,https://roic.ai/company/SFIX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,730313000,977139000,1226505000,1577558000,1711733000,2101258000
2,COGS,407064000,542718000,690483000,874429000,957523000,1153622000
3,Gross Profit,323249000,434421000,536022000,703129000,754210000,947636000
4,Gross Profit Ratio,0.4426,0.4446,0.4370,0.4457,0.4406,0.4510
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,402781000,- -,679634000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,402781000,- -,679634000,- -,- -
9,Other Expenses,259021000,0,492998000,- -,805874000,1010997000
10,Operating Expenses,259021000,402781000,492998000,679634000,805874000,1010997000
11,COGS and Expenses,666085000,945499000,1183481000,1554063000,1763397000,2164619000
12,Interest Income ,- -,- -,- -,5791000,5535000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3544000,7655000,10542000,14331000,22617000,29929000
15,EBITDA,64766000,20456000,65255000,45152000,-25105000,-31188000
16,EBITDA ratio,0.0887,0.0209,0.0532,0.0286,-0.0147,-0.0148
17,Operating Income,64228000,31640000,43024000,23495000,-51664000,-63361000
18,Operating Income ratio,0.0879,0.0324,0.0351,0.0149,-0.0302,-0.0302
19,Total Other Income Expenses (Gains),-3006000,-18839000,11689000,7326000,3942000,2244000
20,Income Before Tax,61222000,12801000,54713000,30821000,-47722000,-61117000
21,Income Before Tax Ratio,0.0838,0.0131,0.0446,0.0195,-0.0279,-0.0291
22,Income Tax expense (Gain),28041000,13395000,9813000,-6060000,19395000,-52241000
23,Net Income,33181000,-594000,44900000,36881000,-67117000,-8876000
24,Net Income ratio,0.0454,-0.0006,0.0366,0.0234,-0.0392,-0.0042
25,EPS,0.10,0.21,0.47,0.37,-0.66,-0.08
26,EPS Diluted,0.10,0.20,0.34,0.36,-0.66,-0.08
27,Weighted Average Shares Outstanding,85551211,85551211,75947759,100013462,102383282,105975403
28,Weighted Average Shares Outstanding Diluted,90908541,90908541,81288418,103653626,102383282,105975403
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576942/000157694219000013/0001576942-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1576942/000157694220000077/0001576942-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1576942/000157694221000121/0001576942-21-000121-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,91488000,110608000,297516000,170932000,143455000,129785000
32,Short-Term Investments,- -,- -,- -,143276000,143037000,101546000
33,Cash and Short-Term Investments,91488000,110608000,297516000,314208000,286492000,231331000
34,Net Receivables,- -,- -,- -,- -,- -,27667000
35,Inventory,44808000,67592000,85092000,118216000,124816000,212294000
36,Other Current Assets,11976000,19562000,34398000,49980000,55002000,50512000
37,Total Current Assets,148272000,197762000,417006000,482404000,466310000,521804000
38,PP&E,19151000,26733000,34169000,54888000,202984000,205524000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,53372000,95097000,59035000
43,Tax Assets,13201000,- -,14107000,- -,333000,- -
44,Other Non-Current Assets,10976000,32710000,16303000,25402000,4705000,32786000
45,Total Non-Current Assets,43328000,59443000,64579000,133662000,303119000,297345000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,191600000,257205000,481585000,616066000,769429000,819149000
48,Accounts Payable,36588000,44238000,79782000,98433000,85177000,73499000
49,Short-Term Debt,- -,- -,- -,- -,24333000,25702000
50,Tax Payable,- -,- -,7066000,10995000,7134000,9937000
51,Deferred Revenue,4431000,- -,15684000,11997000,21649000,28057000
52,Other Current Liabilities,44054000,89680000,46766000,72201000,80996000,101055000
53,Total Current Liabilities,85073000,133918000,142232000,182631000,212155000,228313000
54,Long-Term Debt,- -,- -,- -,- -,140175000,121623000
55,Deferred Revenue,- -,- -,- -,24439000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,8364000,- -,- -
57,Other Non-Current Liabilities,14358000,19204000,24281000,4632000,16062000,8364000
58,Total Non-Current Liabilities,14358000,19204000,24281000,37435000,156237000,129987000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,164508000,147325000
61,Total Liabilities,99431000,153122000,166513000,220066000,368392000,358300000
62,Preferred Stock,42222000,42222000,- -,- -,- -,- -
63,Common Stock,- -,1000,2000,2000,2000,2000
64,Retained Earnings,39009000,34858000,79758000,116674000,49557000,40681000
65,Other Comprehensive Income/Loss,-4246000,-10659000,- -,-374000,2728000,3411000
66,Other Total Stockholders Equity,57406000,37661000,235312000,279698000,348750000,416755000
67,Total Stockholders Equity,92169000,104083000,315072000,396000000,401037000,460849000
68,Total Liabilities And Stockholders Equity,191600000,257205000,481585000,616066000,769429000,819149000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,191600000,257205000,481585000,616066000,769429000,819149000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1576942/000157694219000013/0001576942-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1576942/000157694220000077/0001576942-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1576942/000157694221000121/0001576942-21-000121-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,33181000,-594000,44900000,36881000,-67117000,-8876000
74,Depreciation and Amortization,3544000,7655000,10542000,14331000,22617000,29929000
75,Deferred Income Tax,-5869000,-6728000,6588000,-8203000,-20273000,64000
76,Stock Based Compensation,6660000,13244000,15403000,35256000,67530000,100696000
77,Change in Working Capital,-1297000,645000,210930000,24999000,-45618000,39336000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,-26509000,-26375000,-19416000,-41233000,-15222000,-96056000
80,Accounts Payable,10192000,7841000,35502000,10774000,-5520000,-12385000
81,Other Working Capital,63199000,63844000,274774000,299773000,254155000,293491000
82,Other Non-Cash Items,8897000,24402000,-216185000,-24670000,85738000,-176824000
83,Cash Provided by Operating Activities,45116000,38624000,72178000,78594000,42877000,-15675000
84,CAPEX,-15238000,-17165000,-16565000,-30825000,-30207000,-35256000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-285205000,-248318000,-173726000
87,Sales/Maturities of Investments,- -,- -,- -,90846000,208064000,248075000
88,Other Investing Activites,- -,35000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-15238000,-17130000,-16565000,-225184000,-70461000,39093000
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,129046000,- -,- -,- -
92,Common Stock Repurchased,- -,-3557000,-39000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,499000,529000,5788000,6945000,-1435000,-38885000
95,Cash Used/Provided by Financing Activities,499000,-3028000,134795000,6945000,-1435000,-38885000
96,Effect of Forex Changes on Cash,- -,- -,- -,211000,1542000,1797000
97,Net Change In Cash,30377000,18466000,190408000,-139434000,-27477000,-13670000
98,Cash at the End of Period,101492000,119958000,310366000,170932000,143455000,129785000
99,Cash at the Beginning of Period,71115000,101492000,119958000,310366000,170932000,143455000
