,https://roic.ai/company/TPST,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,277000,653000,295000,- -,- -,- -,- -
2,COGS,- -,- -,2249000,5401000,790000,- -,- -,- -,- -
3,Gross Profit,- -,- -,-1972000,-4748000,-495000,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,-7.1191,-7.2711,-1.6780,- -,- -,- -,- -
5,Research and Development Exp.,15802000,21784000,18433000,21641000,18337000,14425000,27843000,20374000,17166000
6,General and Administrative Exp.,13332000,26149000,51594000,49223000,27744000,12449000,17556000,15598000,9820000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13332000,26149000,51594000,49223000,27744000,12449000,17556000,15598000,9820000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,29134000,47933000,70027000,70864000,46081000,26874000,45399000,35972000,26986000
11,COGS and Expenses,29134000,47933000,72276000,76265000,46871000,26874000,45399000,35972000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,90000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,134000,-1038000,- -,1282000
14,Depreciation and Amortization,231000,450000,1286000,2238000,1650000,32000,1052000,1104000,374000
15,EBITDA,-28903000,-47483000,-71858000,-79821000,-49258000,-26842000,-44347000,-34868000,-26612000
16,EBITDA ratio,-Infinity,-Infinity,-259.4152,-122.2374,-166.9763,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-29134000,-47933000,-71999000,-75612000,-46576000,-26874000,-45399000,-19298000,-26986000
18,Operating Income ratio,-Infinity,-Infinity,-259.9242,-115.7917,-157.8847,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),90000,-1587000,-1145000,-6447000,-4332000,-303000,831000,-17108000,-1316000
20,Income Before Tax,-29044000,-49520000,-73144000,-82059000,-50908000,-27177000,-44568000,-36406000,-28302000
21,Income Before Tax Ratio,-Infinity,-Infinity,-264.0578,-125.6646,-172.5695,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,75000,201000,67000,- -,- -,- -,- -
23,Net Income,-29044000,-49520000,-73219000,-82260000,-50975000,-27192000,-44568000,-36406000,-28302000
24,Net Income ratio,-Infinity,-Infinity,-264.3285,-125.9724,-172.7966,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-404.39,-491.98,-608.24,-575.73,-321.49,-263.65,-48.77,-361.70,-281.18
