,https://roic.ai/company/BIMI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,500,- -,- -,- -,5269013,10336449,15834944,20323997,25372206,14929430,9269016,5674933,9980917,6714869,6041261,8508173,6542232,157978,12844902
2,COGS,- -,- -,- -,- -,3827826,6964240,11436787,13700704,18534434,10757351,7423946,4132139,8496623,5537379,5892492,7591659,6082878,304120,10402085
3,Gross Profit,500,- -,- -,- -,1441187,3372209,4398157,6623293,6837772,4172079,1845070,1542794,1484294,1177490,148769,916514,459354,-146142,2442817
4,Gross Profit Ratio,1.0000,- -,- -,- -,0.2735,0.3262,0.2778,0.3259,0.2695,0.2795,0.1991,0.2719,0.1487,0.1754,0.0246,0.1077,0.0702,-0.9251,0.1902
5,Research and Development Exp.,- -,- -,- -,- -,- -,370633,111030,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,-2106,- -,- -,- -,- -,- -,641776,1015866,1152712,1352565,1082702,1057738,1827713,1717893,1592999,2048134,16119299,1350147,5471964
7,Selling and Marketing Exp.,16000,- -,- -,- -,- -,- -,169082,122446,81885,101586,196033,98863,32777,100382,35820,63451,133788,216791,783134
8,"Selling, General and Administrative Exp.",13894,- -,- -,- -,- -,- -,810858,1138312,1234597,1454151,1278735,1156601,1860490,1818275,1628819,2111585,16253087,1566938,6255098
9,Other Expenses,313578,287917,313460,348860,272157,948106,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,327472,287917,313460,348860,272157,1318739,921888,1138312,1234597,1454151,1278735,1156601,1860490,1818275,1628819,2111585,16253087,1566938,6255098
11,COGS and Expenses,327472,287917,313460,348860,4099983,8282979,12358675,14839016,19769031,12211502,8702681,5288740,10357113,7355654,7521311,9703244,22335965,1871058,16657183
12,Interest Income ,- -,- -,- -,168,1623,- -,29291,10807,1007,5838,33002,36686,63153,11790,14246,8,505,- -,304
13,Interest Expense (Gain),- -,4159,- -,50567,- -,- -,- -,50809,522653,375773,468031,592528,420942,398641,354422,353745,416412,6340,84913
14,Depreciation and Amortization,- -,- -,- -,- -,188613,270188,306994,356263,394033,588278,842050,831084,844657,1273823,998189,944012,1038836,261983,56041
15,EBITDA,-330972,-287917,-313460,-348860,1357643,2338894,3960340,5943593,5998215,3312044,1441387,1290467,713170,662724,-464722,-269316,-15331144,-4170242,-1302665
16,EBITDA ratio,-661.9440,-Infinity,-Infinity,-Infinity,0.2577,0.2263,0.2501,0.2924,0.2364,0.2218,0.1555,0.2274,0.0715,0.0987,-0.0769,-0.0317,-2.3434,-26.3976,-0.1014
17,Operating Income,-326972,-287917,-313460,-348860,1169030,2053470,3476269,5484981,5603175,2717928,566335,386193,-376196,-640785,-1480050,-1195071,-15793733,-1713080,-3812281
18,Operating Income ratio,-653.9440,-Infinity,-Infinity,-Infinity,0.2219,0.1987,0.2195,0.2699,0.2208,0.1821,0.0611,0.0681,-0.0377,-0.0954,-0.2450,-0.1405,-2.4141,-10.8438,-0.2968
19,Total Other Income Expenses (Gains),-4000,- -,-30897,-50567,- -,15236,177077,51540,-521646,-369935,-435029,-519338,-176233,-368955,-337683,-380600,-1205944,-555921,460552
20,Income Before Tax,-330972,- -,-344357,-399427,1169030,2068706,3653346,5536521,5081529,2347993,131306,-133145,-552429,-1009740,-1817733,-1575671,-16999677,-2269001,-3351729
21,Income Before Tax Ratio,-661.9440,- -,-Infinity,-Infinity,0.2219,0.2001,0.2307,0.2724,0.2003,0.1573,0.0142,-0.0235,-0.0553,-0.1504,-0.3009,-0.1852,-2.5985,-14.3628,-0.2609
22,Income Tax expense (Gain),- -,- -,- -,- -,378069,- -,536,760642,778765,301533,43272,47020,64862,-40298,246,2744,117,- -,434306
23,Net Income,-330972,-292076,-344357,-399259,790961,2068706,3652810,4775879,4302764,2046460,88034,-180165,-617291,-969442,-1817579,-1569817,-16786509,-4438565,-1877925
24,Net Income ratio,-661.9440,-Infinity,-Infinity,-Infinity,0.1501,0.2001,0.2307,0.2350,0.1696,0.1371,0.0095,-0.0317,-0.0618,-0.1444,-0.3009,-0.1845,-2.5659,-28.0961,-0.1462
25,EPS,-26.25,-26.25,-39.38,-39.38,7.50,2.25,3.75,4.50,4.05,1.90,0.10,-0.15,-0.55,-0.75,-1.40,-1.11,-11.35,-2.70,-0.90
26,EPS Diluted,-26.25,-26.25,-39.38,-39.38,7.50,2.25,3.75,4.50,3.95,1.90,0.10,-0.15,-0.55,-0.75,-1.40,-1.11,-11.35,-2.70,-0.90
27,Weighted Average Shares Outstanding,10920,9318,9438,11179,103395,855498,993843,1063372,1065300,1065300,1065300,1095619,1134432,1253067,1315171,1414657,1495479,1633835,2134562
28,Weighted Average Shares Outstanding Diluted,10920,9318,9438,11179,103395,855498,993843,1065344,1091621,1090900,1090900,1095619,1134432,1253067,1315171,1414657,1495479,1633835,2134562
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1213660/000119312504062302/0001193125-04-062302-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000119312505077790/0001193125-05-077790-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000119312506061773/0001193125-06-061773-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000126493107000164/0001264931-07-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420408018155/0001144204-08-018155-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420409016978/0001144204-09-016978-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420410016461/0001144204-10-016461-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420411017031/0001144204-11-017031-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420412017575/0001144204-12-017575-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420413018543/0001144204-13-018543-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420414018510/0001144204-14-018510-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420415018791/0001144204-15-018791-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420416091133/0001144204-16-091133-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420417017905/0001144204-17-017905-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000114420418018116/0001144204-18-018116-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390019017050/0001213900-19-017050-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390020012223/0001213900-20-012223-index.htm,https://www.sec.gov/Archives/edgar/data/1213660/000121390021019186/0001213900-21-019186-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1462,60120,106924,1930,796944,2240901,2252771,227329,823717,2317456,3388018,1020760,1304130,434571,124637,282154,17860,36363,135309
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1462,60120,106924,1930,796944,2240901,2252771,227329,823717,2317456,3388018,1020760,1304130,434571,124637,282154,17860,36363,135309
34,Net Receivables,1160,- -,- -,- -,1398031,4061352,8907497,13385634,15471646,11351630,7583678,5758242,9108459,9074802,7274674,12763730,1340509,10095,6686552
35,Inventory,- -,- -,- -,- -,1812184,1448386,1516777,638775,823398,581176,1205560,2647947,5623318,7051198,4606564,2064231,937966,707526,735351
36,Other Current Assets,- -,- -,25750,650,276864,605989,652842,604864,1193397,3106516,1515826,3064442,2801343,3016366,3109069,3645652,310938,21295974,17627276
37,Total Current Assets,2622,60120,132674,2580,4284023,8356628,13329887,14856602,18312158,17356778,13693082,12491391,18837250,19576937,15114944,18755767,2607273,22049958,25184488
38,PP&E,- -,- -,- -,- -,2195512,2514795,4722126,11215072,12193803,23342663,23851047,27079775,26698543,10554111,17128235,22677298,20443526,38641,910208
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6914232
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,3058507,3118482,3071015,3105027,2712832,2797655,2555704,- -,- -,7973179,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,3058507,3118482,3071015,3105027,2712832,2797655,2555704,- -,- -,7973179,6914232
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193211
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,469377,- -,2216558,- -,56306,11424939,2520234,- -,- -,- -,-193211
45,Total Non-Current Assets,- -,- -,- -,- -,2195512,2514795,4722126,11215072,15721687,26461145,29138620,30184802,29467681,24776705,22204173,22677298,20443526,8011820,7824440
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2622,60120,132674,2580,6479535,10871423,18052013,26071674,34033845,43817923,42831702,42676193,48304931,44353642,37319117,41433065,23050799,30061778,33008928
48,Accounts Payable,27029,47757,47201,54631,676898,1259081,2043944,2055839,3822643,2679267,1380213,1085336,5805720,4883076,3404760,3976334,3198729,641927,5852050
49,Short-Term Debt,150000,164500,414500,400000,- -,- -,- -,437917,2004711,8830857,10055509,8369480,9950475,8057683,5760618,7223681,5816961,107383,4289939
50,Tax Payable,- -,- -,- -,- -,- -,- -,5886,201480,121136,93407,117360,72502,2003,5978,89471,627290,933691,861,773649
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177718,487175,513382,356799,67975,- -
52,Other Current Liabilities,4000,103096,80629,185538,574857,448713,460560,2282824,1024025,1829976,1582630,1356752,1215577,857690,959506,2422856,3692889,20731908,5423225
53,Total Current Liabilities,181029,315353,542330,640169,1251755,1707794,2504504,4776580,6851379,13340100,13018352,10811568,16971772,13976167,10612059,14136253,13065378,21549193,15565214
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,889730,960000,- -,- -,- -,- -,- -,- -,- -,- -,22457
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,675809,36827,- -,- -,- -,- -,- -,- -,- -,- -,- -,720997
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,675809,926557,960000,- -,- -,- -,- -,- -,- -,- -,- -,743454
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,437917,529091,34287,- -,- -,- -,- -,- -,- -,- -,- -,45520
61,Total Liabilities,181029,315353,542330,640169,1251755,1707794,2504504,5452389,7777936,14300100,13018352,10811568,16971772,13976167,10612059,14136253,13065378,21549193,16308668
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11498,12318,13268,16523,30527,33227,39872,13315,5326,5326,5326,5619,5719,6553,7073,7073,7573,9073,13254
64,Retained Earnings,-628088,-920164,-1264521,-1663780,675822,2341893,5595312,9839011,15591120,17637580,17725614,17545449,14700245,13730803,11913224,10343407,-6443102,-10881667,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,185499,-188613,1288573,1348382,2215900,3431354,3619119,4710113,6739549,5034974,3086136,4841463,4015936,3911404,3267249
66,Other Total Stockholders Equity,438183,652613,841597,1009668,4335932,6977122,8623752,9418577,8443563,8443563,8463291,9603444,9887646,11605145,11700625,12055825,12555325,15643825,13429947
67,Total Stockholders Equity,-178407,-255233,-409656,-637589,5227780,9163629,15547509,20619285,26255909,29517823,29813350,31864625,31333159,30377475,26707058,27247768,10135732,8682635,16710450
68,Total Liabilities And Stockholders Equity,2622,60120,132674,2580,6479535,10871423,18052013,26071674,34033845,43817923,42831702,42676193,48304931,44353642,37319117,41384021,23201110,30231828,33019118
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49044,-150311,-170050,-10190
70,Total Liabilities & Equity,2622,60120,132674,2580,6479535,10871423,18052013,26071674,34033845,43817923,42831702,42676193,48304931,44353642,37319117,41433065,23050799,30061778,33008928
