,https://roic.ai/company/INM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2443,13769,185613,2092561,4232632,2757737,1737077,623373,168422,79464,39658,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,17023,17163,90017,1200361,3191324,1415899,1817632,405579,108889,8756,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-14580,-3394,95596,892201,1041309,1341838,-80555,217794,59533,70708,39658,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-5.9690,-0.2465,0.5150,0.4264,0.2460,0.4866,-0.0464,0.3494,0.3535,0.8898,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,212643,236233,116938,118419,- -,17032,- -,57873,759851,292840,573724,1465281,4295109,5202030,5338084
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,439366,237275,287002,- -,46748,1094353,2620780,1477136,2790753,4991303,6003218,3503886,4479333
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,97002,63455,27361,- -,- -,22651,498436,112640,844275,1049253,706229,474943,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,536368,300730,314363,- -,46748,1117004,3119216,1589776,3635028,6040556,6709447,3978829,4479333
9,Other Expenses,4238535,2748969,1376360,2134844,3030690,2517805,1481411,1251668,183225,62961,112852,151570,- -,-23552,-422679,-45231,-769059,-959651,-611512,-312973,120866
10,Operating Expenses,4238535,2748969,1376360,2134844,3030690,2517805,1694054,1487901,836531,482110,427215,168602,46748,1151325,3456388,1837385,3439693,6546186,10393043,8867885,9938283
11,COGS and Expenses,4255558,2766132,1466378,3335205,6222014,3933704,3511686,1893480,945421,490866,427215,168602,46748,1151325,3456388,1837385,3439693,6546186,10393043,8867885,9938283
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17,10,- -,- -,- -,- -,67166,330441,125885,16017
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,5900,27633,11702,- -,- -,- -,- -,- -,- -,- -,- -,18616,360350
14,Depreciation and Amortization,3390708,2924365,380698,295853,426337,252486,169631,83242,168761,69503,135516,- -,- -,40,75757,67409,75216,89602,94717,161970,120866
15,EBITDA,-877916,212341,-849695,-1224011,-2352326,-1020053,-1704566,-839018,-885177,-237652,-178248,-168585,-46748,-1150438,-3378868,-1769952,-3364229,-6456802,-10264157,-8580030,-9801400
16,EBITDA ratio,-359.4053,15.4216,-4.5778,-0.5849,-0.5558,-0.3699,-0.9813,-1.3459,-5.2557,-2.9907,-4.4946,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-4253116,-2752363,-1280765,-1242643,-1989382,-1175967,-1774610,-1270107,-776998,-411402,-387556,-168719,-49186,-1151325,-3456388,-1837385,-3439693,-6546186,-10393043,-8867885,-9938283
18,Operating Income ratio,-1741.1598,-199.8943,-6.9002,-0.5938,-0.4700,-0.4264,-1.0216,-2.0375,-4.6134,-5.1772,-9.7724,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),1962033,-32912,543,-267569,-760730,-20145,-17470,-230102,-276940,-104247,-73792,-21197,2449,-846,-1763,-24,-248,67384,296271,186619,-264806
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-189915,-46737,-1152171,-3458151,-1837409,-3439940,-6478802,-10096772,-8681266,-10203089
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4268624,-2712024,-1230392,-1519863,-2778664,-1272539,-1874197,-922261,-1059838,-334788,-325467,-189915,-46737,-1152171,-3458151,-1837409,-3439940,-6478802,-10096772,-8681266,-10203089
24,Net Income ratio,-1747.5087,-196.9646,-6.6288,-0.7263,-0.6565,-0.4614,-1.0789,-1.4795,-6.2927,-4.2131,-8.2067,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-841.24,-437.52,-19.39,-111.61,-105.06,-31.10,-27.90,-9.73,-12.79,-2.82,-0.68,-0.32,-0.05,-1.24,-2.39,-1.02,-1.27,-1.51,-2.01,-1.66,-1.52
26,EPS Diluted,-841.24,-437.52,-19.39,-111.61,-105.06,-31.10,-27.90,-9.73,-12.79,-2.82,-0.68,-0.32,-0.05,-1.24,-2.39,-1.02,-1.27,-1.51,-2.01,-1.66,-1.52
27,Weighted Average Shares Outstanding,5065,6375,6304,13599,26753,43968,63718,84712,94446,117496,435632,1020886,1020886,1048330,1396799,1824154,2933191,4316715,5192079,5221223,6719830
28,Weighted Average Shares Outstanding Diluted,5065,6375,6304,13599,26753,43968,65918,85300,94446,117496,435632,1020886,1020886,1048330,1396799,1824154,2933191,4316715,5192079,5221223,6719830
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1728328/000121390021049679/0001213900-21-049679-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,62738,5674,49105,14410,- -,47304,127783,46790,- -,- -,230529,44900,4142,7111,134185,41924,5157621,18350271,9806491,5793056,7363126
32,Short-Term Investments,3286500,1031500,32044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1781185,3934410,42291,46462
33,Cash and Short-Term Investments,3349238,1037174,81149,14410,- -,47304,127783,46790,- -,- -,230529,44900,4142,7111,134185,41924,5157621,20131457,13740900,5835347,7409588
34,Net Receivables,237107,571634,198972,207747,614142,410363,208320,533099,22525,- -,17970,1688,542,22534,30611,65793,45479,40582,64737,45244,11919
35,Inventory,- -,- -,110423,10959,1666,967,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,41669,5595,23924,18279,10353,0,14579,8439,- -,12977,0,719,411,156069,37240,37333,136539,154712,323183,418000,956762
37,Total Current Assets,3628014,1614403,414468,251395,626161,458634,361682,588328,22525,12977,248499,47307,5094,185714,202037,145051,5339639,20326750,14128821,6298591,8378269
38,PP&E,- -,- -,51833,78558,104179,32736,25089,112486,2897,- -,- -,- -,- -,1995,5095,3653,20798,42375,42527,402598,326595
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,587254,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,6267,1621,697539,215935,254401,160330,16489,83315,- -,124514,- -,- -,- -,1402206,1130886,1068042,1049208,968423,902438,799269,1061697
41,Intangible Assets,6267,1621,697539,215935,254401,160330,16489,670569,- -,124514,- -,- -,- -,1402206,1130886,1068042,1049208,968423,902438,799269,1061697
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3513578,542823,- -,-0,- -,-0,- -,9733,- -,- -,- -,- -,- -,0,- -,- -,-0,- -,-0,-0,14655
45,Total Non-Current Assets,3519845,544444,749372,294493,358579,193067,41578,792787,2897,124514,- -,- -,- -,1404201,1135981,1071695,1070006,1010798,944964,1201868,1402947
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7147859,2158847,1163840,545888,984740,651701,403261,1381115,25421,137491,248499,47307,5094,1589915,1338017,1216746,6409645,21337549,15073785,7500459,9781216
48,Accounts Payable,754261,117920,255492,447621,899496,829470,943243,1130258,- -,- -,- -,44591,29643,57720,57922,236703,284242,713016,1190482,- -,775129
49,Short-Term Debt,- -,- -,65513,110101,42278,114856,- -,24258,57555,97068,- -,- -,- -,- -,- -,- -,- -,- -,- -,68814,80483
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,112426,171601,82210,87734,44137,56251,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,35605,26005,529975,66426,326442,285388,996889,1180784,46205,- -,19563,12387,4586,219464,- -,- -,- -,1603772,1359749
53,Total Current Liabilities,754261,117920,469036,755328,1553959,1098485,1313822,1496155,1054444,1277851,46205,44591,49205,70108,62508,456166,284242,713016,1190482,1672586,2215361
54,Long-Term Debt,- -,- -,- -,26110,7512,- -,- -,14206,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247466,189288
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,452950,- -,93899,38593,39857,9733,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,452950,26110,101411,38593,39857,23939,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247466,189288
59,Other Liabilities,- -,- -,905899,- -,202823,- -,- -,47878,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,26110,7512,- -,- -,14206,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316280,269771
61,Total Liabilities,754261,117920,921985,781439,1655370,1137078,1353679,1520094,1054444,1277851,46205,44591,49205,70108,62508,456166,284242,713016,1190482,1920052,2404649
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25866329,27557855,25510325,25303668,33180992,51747793,52239404,50212249,60587417
64,Retained Earnings,-12718529,-17014131,-13346130,-15606275,-19728436,-22963549,-25684986,-27785758,-25419496,-28330959,-31159795,-29861418,-28913115,-29666098,-28955781,-29618871,-32904404,-39016934,-49185035,-55957671,-74852470
65,Other Comprehensive Income/Loss,-2795831,-5652749,1550968,1695922,2341086,-2238228,-2297652,59835,-7387,-27800,- -,- -,- -,-43,-1861,-4604,-7674,-34630,-70024,-159356,128569
66,Other Total Stockholders Equity,19693537,23955417,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3002674,3628093,4722825,5080386,5856489,7928303,10898958,11485185,21513051
67,Total Stockholders Equity,4179177,1288537,241855,-235551,-670630,-485377,-950418,-138979,-1029023,-1140360,202294,2717,-44111,1519807,1275509,760579,6125403,20624532,13883303,5580407,7376567
68,Total Liabilities And Stockholders Equity,4933438,1406457,1163840,545888,984740,651701,403261,1381115,25421,137491,248499,47307,5094,1589915,1338017,1216746,6409645,21337549,15073785,7500459,9781216
69,Minority Interest,2214421,752390,- -,0,0,- -,0,-0,-0,0,- -,-0,-0,0,- -,-0,-0,-0,-0,- -,- -
70,Total Liabilities & Equity,7147859,2158847,1163840,545888,984740,651701,403261,1381115,25421,137491,248499,47307,5094,1589915,1338017,1216746,6409645,21337549,15073785,7500459,9781216
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1728328/000121390021049679/0001213900-21-049679-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4268624,-2712024,-1230392,-1519863,-2778664,-1272539,-1874197,-922261,-1059838,-334788,-325467,-189915,-46737,-1152171,-3458151,-1837409,-3439940,-6478802,-10096772,-8681266,-10203089
74,Depreciation and Amortization,3390708,2924365,380698,295853,426337,252486,169631,83242,168761,69503,135516,- -,- -,40,75757,67409,75216,89602,94717,161970,120866
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
