,https://roic.ai/company/GRYN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,80000,80000,- -,- -,- -,- -,- -,- -,- -,161374,41
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161374,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,660000,800000,80000,- -,- -,- -,- -,- -,1595040,- -,- -
6,General and Administrative Exp.,60000,- -,- -,203175,409239,271689,1974948,43762,7188,2029,165989,1818511,6685397,1776
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",60000,- -,- -,203175,409239,271689,1974948,43762,7188,2029,165989,1818511,6685397,1776
9,Other Expenses,20000,27580,48661,-4334,-1774,2034,- -,- -,- -,- -,- -,-1595040,- -,5663
10,Operating Expenses,80000,27580,48661,858841,1207465,353723,1974948,43762,7188,2029,165989,1818511,6685397,7439
11,COGS and Expenses,80000,30000,50000,860000,1310000,8290000,1640000,26621620,1570390,2030,126240,1818510,1005274,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,6657,6446,46137,4429,9266,40890,145263,2865,2841,2841,25383,1204222,-993
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78076,175204
15,EBITDA,-80000,-40000,-70000,-783863,-1235571,-8290734,-1898405,-26621622,-1570385,-2029,-126239,-1869273,-6445947,165819
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-9.7983,-15.4446,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-39.9441,4048.9176
17,Operating Income,-80000,-30000,-50000,-780000,-1240000,-8290000,-1640000,-26621620,-1570390,-2030,-126240,-1818510,-7728245,-8391
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-9.7500,-15.5000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-47.8903,-204.8968
19,Total Other Income Expenses (Gains),- -,- -,-10000,-50000,- -,-10000,-270000,-73470,-2860,-2840,-2840,-25380,- -,- -
