,https://roic.ai/company/CCCC,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,19364000,21381000,33195000,45785000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,33195000,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -
5,Research and Development Exp.,28592000,48059000,78440000,94665000
6,General and Administrative Exp.,7161000,8774000,15204000,33254000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7161000,8774000,15204000,33254000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,35753000,56833000,93644000,127919000
11,COGS and Expenses,35753000,56833000,93644000,127919000
12,Interest Income ,685000,1832000,393000,387000
13,Interest Expense (Gain),- -,- -,1229000,2145000
14,Depreciation and Amortization,1273000,1595000,1617000,1492000
15,EBITDA,-14438000,-31700000,-64115000,-80255000
16,EBITDA ratio,-0.7456,-1.4826,-1.9315,-1.7529
17,Operating Income,-16389000,-35452000,-60449000,-82134000
18,Operating Income ratio,-0.8464,-1.6581,-1.8210,-1.7939
19,Total Other Income Expenses (Gains),678000,2157000,-6512000,-1758000
20,Income Before Tax,-15711000,-33295000,-66961000,-83892000
21,Income Before Tax Ratio,-0.8114,-1.5572,-2.0172,-1.8323
22,Income Tax expense (Gain),- -,804000,-626000,- -
23,Net Income,-15711000,-34099000,-66335000,-83892000
24,Net Income ratio,-0.8114,-1.5948,-1.9983,-1.8323
25,EPS,-1.63,-2.31,-5.83,-1.73
26,EPS Diluted,-1.63,-2.31,-5.83,-1.73
27,Weighted Average Shares Outstanding,14788060,14788060,11370328,48490533
28,Weighted Average Shares Outstanding Diluted,14788060,14788060,11370328,48490533
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1662579/000156459021012531/0001564590-21-012531-index.htm,https://www.sec.gov/Archives/edgar/data/1662579/000156459022006499/0001564590-22-006499-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,36311000,90549000,181727000,76124000
32,Short-Term Investments,- -,- -,189962000,233155000
33,Cash and Short-Term Investments,36311000,90549000,371689000,309279000
34,Net Receivables,86438000,4623000,4484000,5716000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,781000,1595000,4836000,10694000
37,Total Current Assets,123530000,96767000,381009000,325689000
38,PP&E,20384000,18916000,16552000,35053000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,189962000,142200000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,2577000,2577000,-187385000,3823000
45,Total Non-Current Assets,22961000,21493000,19129000,181076000
