,https://roic.ai/company/CDAY,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,693900000,623400000,750700000,746400000,824100000,842500000,1024200000
2,COGS,413100000,396400000,457700000,425800000,455900000,501200000,641900000
3,Gross Profit,280800000,227000000,293000000,320600000,368200000,341300000,382300000
4,Gross Profit Ratio,0.4047,0.3641,0.3903,0.4295,0.4468,0.4051,0.3733
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,295900000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",245500000,225300000,253000000,270700000,295900000,333500000,417800000
9,Other Expenses,- -,5900000,- -,- -,- -,- -,- -
10,Operating Expenses,245500000,231200000,253000000,270700000,295900000,333500000,417800000
11,COGS and Expenses,658600000,627600000,710700000,696500000,751800000,834700000,1059700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),87800000,87400000,87100000,83200000,32400000,25100000,35900000
14,Depreciation and Amortization,56000000,53200000,57900000,56600000,57100000,51800000,77500000
15,EBITDA,47700000,54400000,91100000,84100000,123800000,56900000,23100000
16,EBITDA ratio,0.0687,0.0873,0.1214,0.1127,0.1502,0.0675,0.0226
17,Operating Income,- -,-11200000,- -,52800000,72300000,7800000,-35500000
18,Operating Income ratio,- -,-0.0180,- -,0.0707,0.0877,0.0093,-0.0347
19,Total Other Income Expenses (Gains),-115600000,-87400000,-94500000,-83200000,-38000000,-27800000,-54800000
20,Income Before Tax,-80300000,-98600000,-54500000,-30400000,34300000,-20000000,-90300000
21,Income Before Tax Ratio,-0.1157,-0.1582,-0.0726,-0.0407,0.0416,-0.0237,-0.0882
22,Income Tax expense (Gain),8600000,6700000,-44700000,7700000,-44400000,-16000000,-14900000
23,Net Income,-104700000,-92900000,-9200000,-63400000,78700000,-4000000,-75400000
24,Net Income ratio,-0.1509,-0.1490,-0.0123,-0.0849,0.0955,-0.0047,-0.0736
25,EPS,-1.60,-1.83,-0.07,-0.60,0.55,-0.03,-0.50
26,EPS Diluted,-1.60,-1.83,-0.07,-0.60,0.53,-0.03,-0.50
27,Weighted Average Shares Outstanding,65314462,65314462,133166413,114049682,142049112,146774471,150402321
28,Weighted Average Shares Outstanding Diluted,133166413,133166413,133166413,114049682,148756592,146774471,150402321
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1725057/000156459019005517/0001564590-19-005517-index.html,https://www.sec.gov/Archives/edgar/data/1725057/000156459020007850/0001564590-20-007850-index.html,https://www.sec.gov/Archives/edgar/data/1725057/000156459021009508/0001564590-21-009508-index.htm,https://www.sec.gov/Archives/edgar/data/1725057/000095017022002143/0000950170-22-002143-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,131400000,99600000,217800000,281300000,188200000,367500000
32,Short-Term Investments,- -,3702800000,4099700000,2603500000,3204100000,- -,- -
33,Cash and Short-Term Investments,- -,3834200000,4199300000,2821300000,3485400000,188200000,367500000
34,Net Receivables,- -,78100000,79900000,69900000,80400000,101100000,146300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,32700000,43200000,42300000,57900000,3833300000,3630300000
37,Total Current Assets,- -,3945000000,4322400000,2933500000,3623700000,4122600000,4144100000
38,PP&E,- -,86900000,103800000,104400000,160300000,164300000,157600000
39,Goodwill,- -,2058000000,2087300000,1927400000,1973500000,2031800000,2323600000
40,Intangible Assets,- -,232900000,212400000,187500000,177900000,195000000,332500000
41,Intangible Assets,- -,2290900000,2299700000,2114900000,2151400000,2226800000,2656100000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
