,https://roic.ai/company/AYLA,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,2334000,3708000,- -
2,COGS,- -,1285000,3708000,3506000
3,Gross Profit,- -,1049000,- -,-3506000
4,Gross Profit Ratio,- -,0.4494,- -,-Infinity
5,Research and Development Exp.,5741000,14424000,22406000,29941000
6,General and Administrative Exp.,3294000,4336000,7371000,9277000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3294000,4336000,7371000,9277000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,9035000,18760000,29777000,39218000
11,COGS and Expenses,9035000,20045000,33485000,42724000
12,Interest Income ,448000,225000,56000,- -
13,Interest Expense (Gain),- -,225000,56000,- -
14,Depreciation and Amortization,49000,150000,182000,168000
15,EBITDA,-8986000,-17111000,-29483000,-40862000
16,EBITDA ratio,-Infinity,-7.3312,-7.9512,-Infinity
17,Operating Income,-9035000,-17711000,-29777000,-42724000
18,Operating Income ratio,-Infinity,-7.5883,-8.0305,-Infinity
19,Total Other Income Expenses (Gains),448000,225000,56000,3246000
20,Income Before Tax,-8587000,-17486000,-29721000,-39478000
21,Income Before Tax Ratio,-Infinity,-7.4919,-8.0154,-Infinity
22,Income Tax expense (Gain),286000,306000,425000,-776000
23,Net Income,-8873000,-17792000,-30146000,-40254000
24,Net Income ratio,-Infinity,-7.6230,-8.1300,-Infinity
25,EPS,-1.31,-2.07,-3.06,-4.69
26,EPS Diluted,-1.31,-2.07,-3.06,-4.69
27,Weighted Average Shares Outstanding,6771411,8580349,9860610,8580349
28,Weighted Average Shares Outstanding Diluted,6771411,8580349,9860610,8580349
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1797336/000119312521092589/0001193125-21-092589-index.htm,https://www.sec.gov/Archives/edgar/data/1797336/000121390022015423/0001213900-22-015423-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,26097000,16725000,42025000,36982000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,26097000,16725000,42025000,36982000
