,https://roic.ai/company/NEXA,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,2118332000,1865183000,1912813000,2449484000,2491202000,2332306000,1950929000,2622110000
2,COGS,1594891000,1463290000,1387073000,1681202000,1888944000,1944683000,1563931000,1966036000
3,Gross Profit,523441000,401893000,525740000,768282000,602258000,387623000,386998000,656074000
4,Gross Profit Ratio,0.2471,0.2155,0.2749,0.3137,0.2418,0.1662,0.1984,0.2502
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,149808000,106299000,127305000,148242000,140860000,216511000,- -,- -
7,Selling and Marketing Exp.,93070000,84559000,90647000,89239000,18743000,- -,- -,- -
8,"Selling, General and Administrative Exp.",242878000,190858000,217952000,237481000,159603000,216511000,- -,156786000
9,Other Expenses,6134000,8953000,92903000,10807000,106371000,119798000,211094000,91707000
10,Operating Expenses,249012000,199811000,310855000,248288000,265974000,336309000,211094000,248493000
11,COGS and Expenses,1843903000,1663101000,1697928000,1929490000,2154918000,2280992000,1775025000,2214529000
12,Interest Income ,3406000,7089000,10086000,3633000,26033000,5498000,8149000,7451000
13,Interest Expense (Gain),45909000,33073000,36340000,64618000,84941000,95443000,113412000,117144000
14,Depreciation and Amortization,319031000,295258000,275034000,270454000,267189000,317892000,243925000,258711000
15,EBITDA,358590000,160091000,502924000,568151000,467913000,209836000,-226062000,643391000
16,EBITDA ratio,0.1693,0.0858,0.2629,0.2319,0.1878,0.0900,-0.1159,0.2454
17,Operating Income,172282000,163930000,129969000,401580000,334553000,-111026000,-398483000,446193000
18,Operating Income ratio,0.0813,0.0879,0.0679,0.1639,0.1343,-0.0476,-0.2043,0.1702
19,Total Other Income Expenses (Gains),-167073000,-342187000,78923000,-130121000,-202654000,-104854000,-278175000,-136902000
20,Income Before Tax,5209000,-178257000,208892000,271459000,131899000,-215880000,-676658000,309291000
21,Income Before Tax Ratio,0.0025,-0.0956,0.1092,0.1108,0.0529,-0.0926,-0.3468,0.1180
22,Income Tax expense (Gain),27493000,-38779000,98383000,106194000,40923000,-56873000,-24152000,153204000
23,Net Income,-33843000,-129461000,93167000,126885000,74860000,-146626000,-559247000,114332000
24,Net Income ratio,-0.0160,-0.0694,0.0487,0.0518,0.0300,-0.0629,-0.2867,0.0436
25,EPS,-0.30,-1.15,1.03,1.42,0.56,-1.11,-4.22,0.86
26,EPS Diluted,-0.30,-1.15,1.03,1.42,0.56,-1.11,-4.22,0.86
27,Weighted Average Shares Outstanding,112821000,112821000,90793000,116527000,133313000,132622000,132439000,132439000
28,Weighted Average Shares Outstanding Diluted,112821000,112821000,90793000,116527000,133313000,132622000,132439000,132439000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1713930/000110465918028667/a18-9928_120f.htm,https://www.sec.gov/Archives/edgar/data/1713930/000110465919019711/a19-6890_120f.htm,https://www.sec.gov/Archives/edgar/data/1713930/000110465920036842/0001104659-20-036842-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,621415000,915576000,1019037000,1032938000,698618000,1086163000,743817000
32,Short-Term Investments,- -,57856000,116957000,206155000,91878000,58423000,35044000,19202000
33,Cash and Short-Term Investments,- -,679271000,1032533000,1225192000,1124816000,757041000,1121207000,763019000
34,Net Receivables,- -,170140000,223058000,262847000,173204000,177231000,241985000,239877000
35,Inventory,- -,230581000,291768000,324878000,269705000,295258000,256522000,372502000
36,Other Current Assets,- -,89302000,44708000,25990000,130242000,145819000,107470000,97411000
37,Total Current Assets,- -,1169294000,1592067000,1838907000,1697967000,1375349000,1727184000,1472809000
38,PP&E,- -,1883354000,1978462000,243938000,- -,- -,1917165000,2100419000
39,Goodwill,- -,674769000,675561000,673287000,674800000,674645000,406434000,406228000
40,Intangible Assets,- -,1294190000,1227591000,1149432000,1067661000,863881000,669971000,650543000
41,Intangible Assets,- -,1968959000,1903152000,1822719000,1742461000,1538526000,1076405000,1056771000
42,Investments,- -,1889000,2864000,701000,638000,352000,- -,3723000
43,Tax Assets,- -,200005000,221304000,224513000,201154000,262941000,221580000,168205000
44,Other Non-Current Assets,- -,433599000,462704000,1830746000,2093186000,2312397000,121892000,102909000
45,Total Non-Current Assets,- -,4487806000,4568486000,4122617000,4037439000,4114216000,3337042000,3432027000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5657100000,6160553000,5961524000,5735406000,5489565000,5064226000,4904836000
48,Accounts Payable,- -,259748000,282241000,329814000,387225000,414080000,370122000,411818000
49,Short-Term Debt,- -,- -,- -,20611000,25623000,25695000,88958000,62959000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,65063000
51,Deferred Revenue,- -,442000,40874000,32096000,31992000,26351000,27132000,33156000
52,Other Current Liabilities,- -,290440000,552758000,385694000,207010000,232864000,390347000,481349000
53,Total Current Liabilities,- -,550630000,875873000,768215000,651850000,698990000,876559000,989282000
54,Long-Term Debt,- -,1014806000,1081784000,1406458000,1392354000,1475408000,1878312000,1655995000
55,Deferred Revenue,- -,- -,212020000,190589000,167645000,154171000,138893000,114076000
