,https://roic.ai/company/STRL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,47339000,41928000,32307000,31660000,20142000,21259000,112066000,170093000,154178000,219439000,249348000,306220000,415074000,390847000,459893000,501156000,630507000,556236000,672230000,623595000,690123000,957958000,1037667000,1126278000,1427412000,1581766000
2,COGS,37321000,32459000,26119000,25849000,16048000,16388000,117852000,148652000,137680000,195683000,220801000,272534000,373102000,336478000,397188000,461319000,583035000,586180000,639809000,594642000,646269000,868866000,927335000,1018484000,1236043000,1367009000
3,Gross Profit,10018000,9469000,6188000,5811000,4094000,4871000,-5786000,21441000,16498000,23756000,28547000,33686000,41972000,54369000,62705000,39837000,47472000,-29944000,32421000,28953000,43854000,89092000,110332000,107794000,191369000,214757000
4,Gross Profit Ratio,0.2116,0.2258,0.1915,0.1835,0.2033,0.2291,-0.0516,0.1261,0.1070,0.1083,0.1145,0.1100,0.1011,0.1391,0.1363,0.0795,0.0753,-0.0538,0.0482,0.0464,0.0635,0.0930,0.1063,0.0957,0.1341,0.1358
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10952000,10573000,6705000,6337000,4271000,- -,- -,- -,- -,- -,- -,- -,- -,14971000,24895000,- -,35187000,40951000,36897000,41880000,38623000,48351000,50620000,49200000,71415000,78506000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10952000,10573000,6705000,6337000,4271000,- -,- -,- -,- -,- -,- -,- -,- -,14971000,24895000,- -,35187000,40951000,36897000,41880000,38623000,48351000,50620000,49200000,71415000,78506000
9,Other Expenses,439000,448000,194000,194000,212000,4589000,9796000,10443000,10106000,9091000,10549000,12657000,13844000,1941000,1900000,24615000,-2896000,-1306000,-252000,1460000,9960000,14565000,17101000,16532000,24036000,25087000
10,Operating Expenses,11391000,11021000,6899000,6531000,4483000,4589000,9796000,10443000,10106000,9091000,10549000,12657000,13844000,16912000,26795000,24615000,32291000,39645000,36645000,43340000,48583000,62916000,67721000,65732000,95451000,103593000
11,COGS and Expenses,48712000,43480000,33018000,32380000,20531000,20977000,127648000,159095000,147786000,204774000,231350000,285191000,386946000,353390000,423983000,485934000,615326000,625825000,676454000,637982000,694852000,931782000,995056000,1084216000,1331494000,1470602000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1426000,1669000,1070000,572000,1809000,1655000,1301000,879000,754000,460000,33000,314000,1017000,1142000,161000,52000
13,Interest Expense (Gain),646000,843000,634000,558000,1243000,2688000,2643000,2074000,1695000,1336000,220000,277000,199000,234000,1187000,1231000,944000,616000,1123000,3012000,2628000,9800000,12350000,16686000,29377000,19348000
14,Depreciation and Amortization,873000,1207000,661000,537000,212000,150000,3855000,4807000,4628000,5064000,7011000,9544000,13168000,13730000,15770000,17322000,18997000,18650000,18348000,16529000,16048000,16994000,16770000,20740000,32785000,34201000
15,EBITDA,-574000,-3613000,1903000,53000,-3988000,-4076000,9970000,14178000,10058000,20288000,27117000,32155000,41458000,49935000,46314000,-34359000,19065000,-53441000,10322000,-854000,9526000,38529000,56045000,51111000,126939000,141094000
16,EBITDA ratio,-0.0121,-0.0862,0.0589,0.0017,-0.1980,-0.1917,0.0890,0.0834,0.0652,0.0925,0.1088,0.1050,0.0999,0.1278,0.1007,-0.0686,0.0302,-0.0961,0.0154,-0.0014,0.0138,0.0402,0.0540,0.0454,0.0889,0.0892
17,Operating Income,-1373000,-1552000,-711000,-720000,-389000,282000,4345000,10998000,6392000,14665000,17998000,21029000,28128000,37457000,35910000,-52234000,14979000,-69589000,-4224000,-14387000,-4729000,26176000,42611000,37751000,94892000,107287000
18,Operating Income ratio,-0.0290,-0.0370,-0.0220,-0.0227,-0.0193,0.0133,0.0388,0.0647,0.0415,0.0668,0.0722,0.0687,0.0678,0.0958,0.0781,-0.1042,0.0238,-0.1251,-0.0063,-0.0231,-0.0069,0.0273,0.0411,0.0335,0.0665,0.0678
19,Total Other Income Expenses (Gains),-785000,-4111000,1319000,-172000,-2598000,-7535000,-873000,-3701000,-2657000,-1336000,1206000,1392000,871000,338000,584000,518000,2154000,785000,-369000,-2792000,-2595000,-10241000,-11333000,-23272000,-29517000,-17264000
20,Income Before Tax,-2158000,-5663000,608000,-892000,-2987000,-7253000,3472000,7297000,3735000,13329000,19204000,22421000,28999000,37795000,36494000,-51716000,17133000,-68804000,-4593000,-17179000,-7324000,15935000,31278000,14479000,65375000,90023000
21,Income Before Tax Ratio,-0.0456,-0.1351,0.0188,-0.0282,-0.1483,-0.3412,0.0310,0.0429,0.0242,0.0607,0.0770,0.0732,0.0699,0.0967,0.0794,-0.1032,0.0272,-0.1237,-0.0068,-0.0275,-0.0106,0.0166,0.0301,0.0129,0.0458,0.0569
22,Income Tax expense (Gain),1885000,3098000,1016000,4000,10000,27000,-1250000,1878000,-1918000,2788000,6566000,7890000,10025000,12267000,10270000,-17012000,-579000,1222000,632000,7000,88000,118000,1738000,-26216000,22471000,24900000
23,Net Income,-3978000,-8761000,-408000,-1046000,-5453000,-6941000,4722000,5419000,5653000,11100000,13320000,14444000,18066000,23704000,19087000,-35900000,-297000,-73929000,-9781000,-20402000,-9238000,11617000,25187000,39901000,42306000,62645000
