,https://roic.ai/company/LMNL,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2100000,10000000,3000000,2079339,2500795,2511663,1319385,8183000,8052000,2647000,8436000,10154000,13560000,11433000,17589000,23321000,20644000,23010000,24534000,16392000,39115000,47374000,4904000,3317000,643000
2,COGS,2700000,7100000,5100000,2793553,3456849,- -,- -,- -,- -,- -,- -,1856000,3101000,2818000,1854000,5326000,6594000,7015000,8219000,6758000,10149000,38002000,2763000,2033000,- -
3,Gross Profit,-600000,2900000,-2100000,-714214,-956054,- -,1319385,- -,8052000,2647000,- -,8298000,10459000,8615000,15735000,17995000,14050000,15995000,16315000,9634000,28966000,9372000,2141000,1284000,- -
4,Gross Profit Ratio,-0.2857,0.2900,-0.7000,-0.3435,-0.3823,- -,1.0000,- -,1.0000,1.0000,- -,0.8172,0.7713,0.7535,0.8946,0.7716,0.6806,0.6951,0.6650,0.5877,0.7405,0.1978,0.4366,0.3871,- -
5,Research and Development Exp.,100000,700000,1200000,3769555,6897467,10205803,13500532,14271000,13338000,15288000,19092000,16813000,12480000,11868000,11230000,10310000,18560000,35200000,50250000,88076000,100392000,91666000,75114000,56826000,18347000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31928000
9,Other Expenses,4100000,9700000,1200000,582785,624197,6705879,8405130,8014000,9634000,10245000,9598000,7955000,6189000,6073000,5997000,5966000,8581000,12905000,16575000,29301000,51932000,31532000,45283000,38552000,- -
10,Operating Expenses,4200000,10400000,2400000,4352340,7521664,16911682,21905662,22285000,22972000,25533000,28690000,24768000,18669000,17941000,17227000,16276000,27141000,48105000,66825000,117377000,152324000,123198000,120397000,95378000,50275000
11,COGS and Expenses,6900000,17500000,7500000,7145893,10978513,16911682,21905662,22285000,22972000,25533000,28690000,26624000,21770000,20759000,19081000,21602000,33735000,55120000,75044000,124135000,162473000,161200000,123160000,97411000,50275000
