,https://roic.ai/company/RDFN,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,125363000,187338000,267196000,370036000,486920000,779796000,886093000,1922765000
2,COGS,93272000,138492000,184452000,258216000,367496000,635693000,653983000,1518945000
3,Gross Profit,32091000,48846000,82744000,111820000,119424000,144103000,232110000,403820000
4,Gross Profit Ratio,0.2560,0.2607,0.3097,0.3022,0.2453,0.1848,0.2619,0.2100
5,Research and Development Exp.,17876000,27842000,34588000,42532000,53797000,69765000,84297000,156718000
6,General and Administrative Exp.,24240000,31394000,42369000,53009000,65500000,76874000,92140000,218315000
7,Selling and Marketing Exp.,15058000,19899000,28571000,32251000,44061000,76710000,54881000,138740000
8,"Selling, General and Administrative Exp.",39298000,51293000,70940000,85260000,109561000,153584000,147021000,357055000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,57174000,79135000,105528000,127792000,163358000,223349000,231318000,513773000
11,COGS and Expenses,150446000,217627000,289980000,386008000,530854000,859042000,885301000,2032718000
12,Interest Income ,23000,46000,173000,882000,5416000,7146000,2074000,635000
13,Interest Expense (Gain),- -,- -,- -,- -,3377000,8928000,19495000,11762000
14,Depreciation and Amortization,2672000,4395000,6293000,7176000,8465000,9230000,14564000,46906000
15,EBITDA,-22364000,-25841000,-16233000,-7826000,-30136000,-62647000,15532000,-57052000
16,EBITDA ratio,-0.1784,-0.1379,-0.0608,-0.0211,-0.0619,-0.0803,0.0175,-0.0297
17,Operating Income,-25083000,-30289000,-22784000,-15972000,-43934000,-79246000,792000,-109953000
18,Operating Income ratio,-0.2001,-0.1617,-0.0853,-0.0432,-0.0902,-0.1016,0.0009,-0.0572
19,Total Other Income Expenses (Gains),47000,53000,258000,970000,1956000,-1559000,-19319000,-5767000
20,Income Before Tax,-25036000,-30236000,-22526000,-15002000,-41978000,-80805000,-18527000,-115720000
21,Income Before Tax Ratio,-0.1997,-0.1614,-0.0843,-0.0405,-0.0862,-0.1036,-0.0209,-0.0602
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-6107000
23,Net Income,-25036000,-30236000,-22526000,-15002000,-41978000,-80805000,-18527000,-109613000
24,Net Income ratio,-0.1997,-0.1614,-0.0843,-0.0405,-0.0862,-0.1036,-0.0209,-0.0570
25,EPS,-0.36,-1.89,-0.32,-4.47,-0.49,-0.88,-0.23,-1.12
26,EPS Diluted,-0.36,-1.89,-0.32,-4.47,-0.49,-0.88,-0.23,-1.12
27,Weighted Average Shares Outstanding,69817069,70189480,69817069,42722114,85669039,91583533,98574529,104683460
28,Weighted Average Shares Outstanding Diluted,69817069,70189480,69817069,42722114,85669039,91583533,98574529,104683460
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1382821/000138282118000008/0001382821-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282119000022/0001382821-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282120000025/0001382821-20-000025-index.html,https://www.sec.gov/Archives/edgar/data/1382821/000138282121000045/0001382821-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1382821/000138282122000034/0001382821-22-000034-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,85597000,64030000,208342000,432608000,234679000,925276000,591003000
32,Short-Term Investments,- -,1744000,1749000,- -,- -,70029000,131561000,33737000
33,Cash and Short-Term Investments,- -,87341000,65779000,208342000,432608000,304708000,1056837000,624740000
34,Net Receivables,- -,5604000,10625000,13334000,15363000,19223000,54719000,69594000
35,Inventory,- -,- -,- -,- -,22694000,74590000,49158000,358221000
36,Other Current Assets,- -,10065000,16984000,18530000,25582000,53072000,80112000,193509000
37,Total Current Assets,- -,103010000,93388000,240206000,496247000,451593000,1240826000,1246064000
38,PP&E,- -,7378000,19226000,22318000,25187000,91581000,88137000,112871000
39,Goodwill,- -,9186000,9186000,9186000,9186000,9186000,9186000,409382000
40,Intangible Assets,- -,4270000,3782000,3294000,2806000,2318000,1830000,185929000
41,Intangible Assets,- -,13456000,12968000,12480000,11992000,11504000,11016000,595311000
42,Investments,- -,- -,- -,- -,- -,30978000,11922000,54828000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1210000,7895000,6951000,9395000,10557000,8619000,12898000
45,Total Non-Current Assets,- -,22044000,40089000,41749000,46574000,144620000,119694000,775908000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,125054000,133477000,281955000,542821000,596213000,1360520000,2021972000
48,Accounts Payable,- -,1490000,5385000,1901000,2516000,2122000,5644000,12546000
49,Short-Term Debt,- -,- -,- -,2016000,4733000,25746000,85460000,271144000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1512000,1267000,7814000,7152000,14871000,6708000
52,Other Current Liabilities,- -,18286000,26046000,30673000,31155000,50162000,79746000,111414000
53,Total Current Liabilities,- -,19776000,32943000,35857000,46218000,85182000,185721000,401812000
54,Long-Term Debt,- -,- -,- -,- -,113586000,119716000,488268000,1269239000
55,Deferred Revenue,- -,1077000,8852000,10668000,11079000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1201000
57,Other Non-Current Liabilities,- -,599914000,655416000,- -,- -,59869000,95974000,39868000
58,Total Non-Current Liabilities,- -,600991000,664268000,10668000,124665000,179585000,584242000,1310308000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,71277000,61312000,70262000
