,https://roic.ai/company/RMTI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3300000,5300000,6700000,7457001,9015542,11495764,14970144,17944710,27694955,28638859,43045304,51666033,54729505,59554592,48966231,49842392,52379543,54188444,55350702,53284166,57300281,63388617,61302801,62197000,61931000
2,COGS,3500000,5000000,5400000,6098216,8103343,10042000,12414462,15139215,24689912,25837294,40015466,48649478,46842334,49693753,43323321,43148965,45720323,45643231,46412848,46531648,53598390,64973157,58463859,59472000,64351000
3,Gross Profit,-200000,300000,1300000,1358785,912199,1453764,2555682,2805495,3005043,2801565,3029838,3016555,7887171,9860839,5642910,6693427,6659220,8545213,8937854,6752518,3701891,-1584540,2838942,2725000,-2420000
4,Gross Profit Ratio,-0.0606,0.0566,0.1940,0.1822,0.1012,0.1265,0.1707,0.1563,0.1085,0.0978,0.0704,0.0584,0.1441,0.1656,0.1152,0.1343,0.1271,0.1577,0.1615,0.1267,0.0646,-0.0250,0.0463,0.0438,-0.0391
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,4777976,3263733,3830134,6454352,3422134,17805362,48271649,39382037,7783594,4961313,5840346,6321400,6742317,6886251,7092000,6835000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3374458,7271617,6914198,9307621,9522305,12683860,14336449,18320720,19078867,21120901,23303409,23082304,20997948,16182000,15348000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9050033,7871000,5733000
8,"Selling, General and Administrative Exp.",1400000,1900000,2000000,2024396,2352561,2318945,2367773,2396315,2867608,2661419,3374458,7271617,6914198,9307621,9522305,12683860,14336449,18320720,19078867,21120901,23303409,23082304,30047981,24053000,21081000
9,Other Expenses,300000,400000,400000,379127,- -,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1700000,2300000,2400000,2403523,2352561,2315945,2367773,2396315,2867608,7439395,6638191,11101751,13368550,12729755,27327667,60955509,53718486,26104314,24040180,26961247,29624809,29824621,36934232,31145000,27916000
11,COGS and Expenses,5200000,7300000,7800000,8501739,10455904,12357945,14782235,17535530,27557520,33276689,46653657,59751229,60210884,62423508,70650988,104104474,99438809,71747545,70453028,73492895,83223199,94797778,95398091,90617000,92267000
12,Interest Income ,- -,- -,- -,27934,- -,- -,- -,- -,- -,62851,- -,221139,- -,195218,244049,241518,98101,386257,681876,810340,892,535328,367077,238000,22000
13,Interest Expense (Gain),- -,100000,- -,- -,90001,115530,183056,197658,198095,- -,110542,- -,19859,9701,1844,951,1822147,4154313,- -,- -,- -,- -,- -,1879000,2360000
14,Depreciation and Amortization,300000,400000,400000,379127,384427,391838,453926,629697,716312,756868,949739,911718,1233706,1389152,1176007,1087397,1007411,996321,822294,762368,514362,650142,2652713,2289000,668000
15,EBITDA,-1600000,-1400000,-700000,-637677,-1104675,-473343,641835,1038877,991215,-3818111,-2658614,-6952339,-4247673,-1284546,-20264701,-52933167,-45953754,-16176523,-13598156,-18636021,-25406922,-31475716,-31475318,-26722000,-29646000
16,EBITDA ratio,-0.4848,-0.2642,-0.1045,-0.0855,-0.1225,-0.0412,0.0429,0.0579,0.0358,-0.1333,-0.0618,-0.1346,-0.0776,-0.0216,-0.4139,-1.0620,-0.8773,-0.2985,-0.2457,-0.3497,-0.4434,-0.4966,-0.5134,-0.4296,-0.4787
17,Operating Income,-1900000,-2000000,-1100000,-1044738,-1440362,-862181,187909,409180,137435,-4637830,-3608353,-8085196,-5481379,-2868916,-21684757,-54262082,-47059266,-17559101,-15102326,-20208729,-25922918,-32439161,-34525290,-28420000,-30336000
18,Operating Income ratio,-0.5758,-0.3774,-0.1642,-0.1401,-0.1598,-0.0750,0.0126,0.0228,0.0050,-0.1619,-0.0838,-0.1565,-0.1002,-0.0482,-0.4429,-1.0887,-0.8984,-0.3240,-0.2728,-0.3793,-0.4524,-0.5118,-0.5632,-0.4569,-0.4898
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-138741,-118530,-183056,-197658,-60627,62851,-110542,221139,-19859,185517,242205,240567,-1724046,-3768056,681876,810340,1634,313303,397259,-2470000,-2338000
20,Income Before Tax,- -,- -,- -,- -,-1579103,-980711,4853,211522,76808,-4574979,-3718895,-7864057,-5501238,-2683399,-21442552,-54021515,-48783312,-21327157,-14420450,-19398389,-25921284,-32125858,-34128031,-30890000,-32674000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.1752,-0.0853,0.0003,0.0118,0.0028,-0.1597,-0.0864,-0.1522,-0.1005,-0.0451,-0.4379,-1.0838,-0.9313,-0.3936,-0.2605,-0.3641,-0.4524,-0.5068,-0.5567,-0.4966,-0.5276
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2005,- -,- -,- -,- -,404527,- -,- -,- -,- -,- -
23,Net Income,-1900000,-1900000,-1100000,-1016804,-1579103,-980711,4853,211522,76808,-4574979,-3718895,-7864057,-5501238,-2683399,-21444557,-54021515,-48783312,-21327157,-14420450,-19802916,-25921284,-32125858,-34128031,-30890000,-32674000
24,Net Income ratio,-0.5758,-0.3585,-0.1642,-0.1364,-0.1752,-0.0853,0.0003,0.0118,0.0028,-0.1597,-0.0864,-0.1522,-0.1005,-0.0451,-0.4379,-1.0838,-0.9313,-0.3936,-0.2605,-0.3716,-0.4524,-0.5068,-0.5567,-0.4966,-0.5276
25,EPS,-0.64,-0.41,-0.22,-0.21,-0.26,-0.12,0.00,0.02,0.01,-0.41,-0.32,-0.57,-0.37,-0.16,-1.21,-2.65,-1.48,-0.52,-0.29,-0.39,-0.51,-0.61,-0.56,-0.41,-0.43
26,EPS Diluted,-0.64,-0.41,-0.22,-0.21,-0.26,-0.12,0.00,0.02,0.01,-0.41,-0.32,-0.57,-0.37,-0.16,-1.21,-2.65,-1.48,-0.52,-0.29,-0.39,-0.51,-0.61,-0.56,-0.41,-0.43
27,Weighted Average Shares Outstanding,4939000,4848485,5000000,4854810,5762003,7720610,9517200,10576100,7680800,11158485,11621547,13836435,14868211,16771244,17722774,20395889,32961697,41404999,49725690,50776708,50826047,52824486,60918544,75621674,75621674
28,Weighted Average Shares Outstanding Diluted,4939000,4848485,5000000,4854810,5762003,7720610,9517200,10576100,8771200,11158485,11621547,13836435,14868211,16771244,17722774,20395889,32961697,41404999,49725690,50776708,50826047,52824486,60918544,75621674,75621674
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041024/000095012405001792/0000950124-05-001792-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1041024/000095012408001387/0000950124-08-001387-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095015209002684/0000950152-09-002684-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095012310024169/0000950123-10-024169-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000095012311022695/0000950123-11-022695-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000119312512096912/0001193125-12-096912-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746913002971/0001047469-13-002971-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746914001989/0001047469-14-001989-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746915001577/0001047469-15-001577-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000104746916010588/0001047469-16-010588-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837017001846/0001558370-17-001846-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837018002142/0001558370-18-002142-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000155837019002200/0001558370-19-002200-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828020003683/0001628280-20-003683-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828021006280/0001628280-21-006280-index.htm,https://www.sec.gov/Archives/edgar/data/1041024/000162828022008830/0001628280-22-008830-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,1900000,1100000,210801,83041,133,106639,166195,299031,2662873,11097092,5596645,23038095,12263449,5715246,4711730,11881451,65800451,31198182,17180594,8406917,22713980,11794526,48682000,13280000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11938098,11810775,- -,12034622,19927310,39482732,40759703,24648459,10818059,14250176,- -,9158000
33,Cash and Short-Term Investments,100000,1900000,1100000,210801,83041,133,106639,166195,299031,2662873,11097092,5596645,23038095,24201547,17526021,4711730,23916073,85727761,70680914,57940297,33055376,33532039,26044702,48682000,22438000
34,Net Receivables,400000,700000,1000000,926879,1115365,1722455,2169564,2302093,2836072,3474402,4687229,5229656,3492622,4507296,4222816,4431932,4578319,4472002,5046733,6393228,6355566,7350731,4202725,4171000,5913000
35,Inventory,300000,- -,400000,585121,1066528,1476506,1350291,1652457,2051819,2660098,2559051,3161625,3088352,2936878,2504127,2649639,2799648,3920185,7871780,12141072,7637384,4038778,3646906,3913000,4076000
36,Other Current Assets,100000,300000,- -,248619,400899,132281,112633,120292,193158,261473,302573,440765,329876,1020647,1643565,1356131,623734,587201,1026889,2034598,1779992,1903682,2979504,12703000,2861000
37,Total Current Assets,900000,2900000,2500000,1971420,2665833,3331375,3739127,4241037,5380080,9058846,18645945,14428691,29948945,32666368,25896529,13149432,31917774,94707149,84626316,78509195,48828318,46825230,36873837,69469000,35288000
38,PP&E,700000,900000,700000,823749,1716224,1730594,1943376,2048665,2430222,2587771,2840331,3249003,3631549,3049513,2290476,1858442,1648919,1496912,1646568,1391575,2548978,2638293,5645935,2642000,10223000
39,Goodwill,- -,- -,- -,- -,920745,- -,- -,- -,- -,920745,920745,920745,920745,920745,920745,920745,920745,920745,920745,920745,920745,920745,920745,921000,921000
40,Intangible Assets,- -,1300000,1100000,1085770,- -,1256946,1234816,1290253,1315564,457846,270446,240656,214337,166657,833773,666744,499715,332686,165657,4382,4028,- -,- -,- -,- -
41,Intangible Assets,- -,1300000,1100000,1085770,920745,1256946,1234816,1290253,1315564,1378591,1191191,1161401,1135082,1087402,1754518,1587489,1420460,1253431,1086402,925127,924773,920745,920745,921000,921000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1800000,200000,200000,170994,755357,134776,127467,120597,134794,127625,125667,120887,163645,163624,1998076,429723,1374941,542224,462839,2327741,6477571,2173516,875935,- -,2142000
45,Total Non-Current Assets,2500000,2400000,2000000,2080513,3392326,3122316,3305659,3459515,3880580,4093987,4157189,4531291,4930276,4300539,6043070,3875654,4444320,3292567,3195809,4644443,9951322,5732554,7442615,3563000,13286000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3400000,5300000,4500000,4051933,6058159,6453691,7044786,7700552,9260660,13152833,22803134,18959982,34879221,36966907,31939599,17025086,36362094,97999716,87822125,83153638,58779640,52557784,44316452,73032000,48574000
48,Accounts Payable,1000000,500000,500000,740888,1159383,1680842,1666952,2124679,1795393,2920258,2982899,5210972,3388757,3659507,5364537,14833565,8686153,5294515,3995216,5858234,4222159,4492071,3018424,4155000,3739000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,369551,194239,176850,- -,- -,- -,- -,2308145,- -,- -,- -,- -,- -,763422,1167000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135133,207545,183890,264879,77217,205303,2316011,2288740,2175000,2171000
52,Other Current Liabilities,700000,200000,400000,430012,1409622,945845,1279496,1334876,2886746,1162866,1460133,1710014,2148200,2760713,8327814,12018258,6647828,4325997,3831356,4210151,4715712,6396429,6302975,5296000,15056000
53,Total Current Liabilities,1700000,700000,900000,1170900,2569005,2626687,2946448,3459555,4682139,4452675,4637271,7097836,5536957,6420220,13692351,26986956,17849671,9804402,8091451,10145602,9143174,13204511,12373561,12793000,20966000
54,Long-Term Debt,- -,- -,- -,19839,892543,781504,926230,818678,733723,326045,204837,41203,- -,- -,- -,- -,17916914,- -,- -,- -,- -,- -,- -,- -,5887000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19492520,17410852,20051737,16723318,12076399,9842762,- -,5986000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19062,8750,2280,- -,- -,- -,- -,- -,- -,- -,1780626,- -,13200000
58,Total Non-Current Liabilities,- -,- -,- -,19839,892543,781504,926230,818678,733723,326045,204837,41203,19062,8750,2280,- -,17916914,19492520,17410852,20051737,16723318,12076399,11623388,- -,25073000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30785000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,26965,8750,2280,- -,- -,- -,- -,- -,- -,3274020,2988000,- -
61,Total Liabilities,1700000,700000,900000,1190739,3461548,3408191,3872678,4278233,5415862,4778720,4842108,7139039,5556019,6428970,13694631,26986956,35766585,29296922,25502303,30197339,25866492,25280910,23996949,43578000,46039000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
