,https://roic.ai/company/CRAWA,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,10500000,11700000,18400000,20900000,22500000,29400000,26200000,21200000,20800000,18800000,18274626,15261149,12391642,11037946,15721038,9670694,15877719,12520061,12070326,6062776,5259012,5068613,4761289,6466172,6305836,5852924,6645780,- -,66378306,89698527,85069900
2,COGS,- -,4800000,6400000,11000000,12500000,13700000,18300000,16300000,12700000,10800000,10900000,9859034,9486573,6384149,6111802,8049495,6033430,8786159,7792384,7342902,4085074,2940727,3026517,3004161,3498034,3611160,3168303,4334815,- -,51074339,70123892,66138610
3,Gross Profit,- -,5700000,5300000,7400000,8400000,8800000,11100000,9900000,8500000,10000000,7900000,8415592,5774576,6007493,4926144,7671543,3637264,7091560,4727677,4727424,1977702,2318285,2042096,1757128,2968138,2694676,2684621,2310965,- -,15303967,19574635,18931290
4,Gross Profit Ratio,- -,0.5429,0.4530,0.4022,0.4019,0.3911,0.3776,0.3779,0.4009,0.4808,0.4202,0.4605,0.3784,0.4848,0.4463,0.4880,0.3761,0.4466,0.3776,0.3917,0.3262,0.4408,0.4029,0.3690,0.4590,0.4273,0.4587,0.3477,- -,0.2306,0.2182,0.2225
5,Research and Development Exp.,- -,- -,- -,- -,- -,2100000,3600000,3700000,3300000,3000000,2800000,2740315,2343684,1874858,1961901,2127641,2059401,1840182,2020312,1920851,1317529,1069707,987114,938058,939373,965975,1015414,1050157,- -,220418,- -,- -
6,General and Administrative Exp.,- -,4300000,4100000,5100000,5500000,3700000,4100000,3900000,3700000,4800000,5100000,5357063,4570170,3894173,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-124630,- -,7769090,- -,11478837
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2524914,- -,1734257,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4300000,4100000,5100000,5500000,3700000,4100000,3900000,3700000,4800000,5100000,5357063,4570170,3894173,- -,- -,- -,- -,- -,- -,2524914,- -,1734257,- -,- -,- -,- -,-124630,- -,7769090,- -,11478837
9,Other Expenses,- -,100000,200000,300000,400000,500000,600000,700000,700000,700000,700000,651870,- -,- -,4216551,4752997,4243632,4408798,3630598,3454382,-39514,2217520,- -,1616320,1812598,1728107,1798960,- -,- -,- -,9063969,- -
10,Operating Expenses,- -,4400000,4300000,5400000,5900000,6300000,8300000,8300000,7700000,8500000,8600000,8749248,6913854,5769031,6178452,6880638,6303033,6248980,5650910,5375233,3802929,3287227,2721371,2554378,2751971,2694082,2814374,925527,- -,7989508,9063969,11478837
11,COGS and Expenses,- -,9200000,10700000,16400000,18400000,20000000,26600000,24600000,20400000,19300000,19500000,18608282,16400427,12153180,12290254,14930133,12336463,15035139,13443294,12718135,7888003,6227954,5747888,5558539,6250005,6305242,5982677,5260342,- -,59063847,79187861,77617447
