,https://roic.ai/company/MNTR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,32000,2149726,2561758,2761245,3182700,5281533,4326472,4825956,6010438
2,COGS,- -,1376565,1565411,1785160,2075655,3698934,3045661,3299315,4138785
3,Gross Profit,32000,773161,996347,976085,1107045,1582599,1280811,1526641,1871653
4,Gross Profit Ratio,1.0000,0.3597,0.3889,0.3535,0.3478,0.2996,0.2960,0.3163,0.3114
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1859359,1768560,1872059,2317556,2170029,3026754,2600745,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1859359,1768560,1872059,2317556,2170029,3026754,2600745,2275989
9,Other Expenses,292899,- -,- -,- -,-5036,- -,- -,- -,- -
10,Operating Expenses,292899,1859359,1768560,1872059,2312520,2170029,3026754,2600745,2275989
11,COGS and Expenses,292899,3235924,3333971,3657219,4388175,5868963,6072415,5900060,6414774
12,Interest Income ,4597,35648,75050,114836,737584,168205,108113,92571,70229
13,Interest Expense (Gain),1852,20836,15632,40625,73462,17407,22596,35295,-62392
14,Depreciation and Amortization,2231,35524,35355,25761,15706,20762,78606,27656,198802
15,EBITDA,-253901,-380743,-745718,-779927,-655505,-351742,-3320860,-604540,-110276
16,EBITDA ratio,-7.9344,-0.1771,-0.2911,-0.2825,-0.2060,-0.0666,-0.7676,-0.1253,-0.0183
17,Operating Income,-260899,-1086198,-772213,-895974,-1210511,-587430,-1745943,-1074104,-404336
18,Operating Income ratio,-8.1531,-0.5053,-0.3014,-0.3245,-0.3803,-0.1112,-0.4035,-0.2226,-0.0673
19,Total Other Income Expenses (Gains),2915,621072,10581,52633,504568,186401,-1657861,406613,157650
20,Income Before Tax,-257984,-465126,-761632,-843341,-705943,-401029,-3403804,-667491,-246686
21,Income Before Tax Ratio,-8.0620,-0.2164,-0.2973,-0.3054,-0.2218,-0.0759,-0.7867,-0.1383,-0.0410
22,Income Tax expense (Gain),800,35819,3163,11800,9222,19250,14828,10050,9780
23,Net Income,-258784,-472922,-799868,-858113,-753895,-409161,-3436890,-677541,-256466
24,Net Income ratio,-8.0870,-0.2200,-0.3122,-0.3108,-0.2369,-0.0775,-0.7944,-0.1404,-0.0427
25,EPS,-0.04,-0.04,-0.05,-0.05,-0.03,-0.02,-0.15,-0.03,-0.01
26,EPS Diluted,-0.04,-0.04,-0.05,-0.05,-0.03,-0.02,-0.15,-0.03,-0.01
27,Weighted Average Shares Outstanding,5741161,11368461,15537163,17695152,22347974,23075926,23117615,22850947,22850947
28,Weighted Average Shares Outstanding Diluted,5741161,11368461,15537163,17695152,22347974,23075926,23117615,22850947,22850947
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1599117/000107878215000456/0001078782-15-000456-index.htm,https://www.sec.gov/Archives/edgar/data/1599117/000107878216002459/0001078782-16-002459-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878217000361/0001078782-17-000361-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878218000361/0001078782-18-000361-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878219000256/0001078782-19-000256-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878220000194/0001078782-20-000194-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878221000356/0001078782-21-000356-index.htm,https://www.sec.gov/Archives/edgar/data/1599117/000149315222007638/0001493152-22-007638-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,40184,326228,73679,1311338,1148726,1470574,686611,506174,453939
32,Short-Term Investments,21320,120582,130042,- -,305635,479585,4000,34826,1009
33,Cash and Short-Term Investments,61504,446810,203721,1311338,1454361,1950159,690611,541000,454948
34,Net Receivables,- -,300947,380300,394355,2510970,684792,905680,508286,706418
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,342408,58155,24797,43563,57795,125545,63486,140558,186474
37,Total Current Assets,403912,805912,608818,1749256,4023126,2760496,1659777,1189844,1347840
38,PP&E,4300,81576,46740,36552,40729,42969,525721,267160,196174
39,Goodwill,- -,1426182,1426182,1426182,1426182,1426182,1426182,1426182,1426182
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,1426182,1426182,1426182,1426182,1426182,1426182,1426182,1426182
42,Investments,65943,66203,575974,537930,620076,1641468,591209,508924,205203
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1080000,1614517,1617347,1628679,1553821,2221548,763688,-508924,1611042
45,Total Non-Current Assets,1150243,3188478,3666243,3629343,3640808,5332167,3306800,1693342,3438601
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1554155,3994390,4275061,5378599,7663934,8092663,4966577,2883186,4786441
48,Accounts Payable,20892,65585,118922,25572,60260,67455,74120,18813,41278
49,Short-Term Debt,- -,78911,80841,28226,33854,93166,51489,69053,232776
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,866,- -,- -,86461,22653,16198,16308
52,Other Current Liabilities,38474,166423,195566,165528,224921,359568,443875,435789,644104
53,Total Current Liabilities,59366,310919,396195,219326,319035,606650,592137,539853,934466
54,Long-Term Debt,- -,31249,19612,69266,28805,25055,- -,15566,71644
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1788658,272982,484372,1038378,969481,1027118,1361756,- -,767188
58,Total Non-Current Liabilities,1788658,304231,503984,1107644,998286,1052173,1361756,15566,838832
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,1041812,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,479429,409810,- -
61,Total Liabilities,1848024,615150,900179,1326970,1317321,1658823,1953893,1566099,1773298
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1625,2098,2281,2314,2285,- -,2285
64,Retained Earnings,-3179179,-3652101,-4451969,-5310082,-6063977,-6438316,-9875206,- -,-10874079
65,Other Comprehensive Income/Loss,-26732,-157484,-189713,-178482,-162563,-152602,-121542,- -,- -
66,Other Total Stockholders Equity,2912042,7394123,8200356,9744177,12758004,13224228,13193197,2335143,12950471
67,Total Stockholders Equity,-293869,3584538,3560299,4257711,6533745,6635624,3198734,2472709,2078677
68,Total Liabilities And Stockholders Equity,1554155,4199688,4460478,5584681,7851066,8294447,5152627,4038808,3851975
69,Minority Interest,- -,-205298,-185417,-206082,-187132,-201784,-186050,-1155622,934466
70,Total Liabilities & Equity,1554155,3994390,4275061,5378599,7663934,8092663,4966577,2883186,4786441
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1599117/000107878215000456/0001078782-15-000456-index.htm,https://www.sec.gov/Archives/edgar/data/1599117/000107878216002459/0001078782-16-002459-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878217000361/0001078782-17-000361-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878218000361/0001078782-18-000361-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878219000256/0001078782-19-000256-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878220000194/0001078782-20-000194-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878221000356/0001078782-21-000356-index.htm,https://www.sec.gov/Archives/edgar/data/1599117/000149315222007638/0001493152-22-007638-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-258784,-472922,-799868,-858113,-753895,-409161,-3436890,-677541,-256466
74,Depreciation and Amortization,2231,35524,35355,25761,15706,20762,78606,27656,198802
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,194214,150447,-282370,1317307,2174161,-1550245,-1086206,-417649,-236617
78,Accounts Receivable,- -,-96222,-69470,-39280,-101678,-56239,-127337,-87694,-217712
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,892,32072,53337,75399,34688,7195,6665,-55307,22465
81,Other Working Capital,344546,494993,212623,1529930,3704091,2153846,1067640,649991,413374
82,Other Non-Cash Items,280,-1093780,424391,-855131,-2919165,1689843,3447494,510690,78610
83,Cash Provided by Operating Activities,-62059,-1380731,-622492,-370176,-1483193,-248801,-996996,-556844,-215671
84,CAPEX,-2432,-32110,-18021,-30239,-20437,-69647,-35797,-52177,-62665
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-24476,-118846,-3060,- -,-1071901,-1454740,- -,-83536,-38471
87,Sales/Maturities of Investments,- -,36787,125014,54669,754643,226000,516190,- -,- -
88,Other Investing Activites,-136000,-1650723,-116859,67041,-996752,1620504,-169897,-17335,206399
89,Cash Used for Investing Activites,-162908,-1764892,-12926,91471,-1334447,322117,310496,-153048,105263
90,Debt Repayment,- -,-50626,-19707,-167104,-34833,-34438,-94939,-24017,-90640
91,Common Stock Issued,278228,3426243,332250,1542962,2395105,- -,- -,- -,- -
92,Common Stock Repurchased,-28334,-19145,-15705,- -,- -,-228150,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,75195,86031,140506,-19780,825656,-2524,553472,148813
95,Cash Used/Provided by Financing Activities,249894,3431667,382869,1516364,2340492,563068,-97463,529455,58173
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,24927,286044,-252549,1237659,-477148,636384,-783963,- -,-52235
98,Cash at the End of Period,40184,326228,73679,1311338,834190,1470574,686611,506174,453939
99,Cash at the Beginning of Period,15257,40184,326228,73679,1311338,834190,1470574,- -,506174
100,Free Cash Flow,-64491,-1412841,-640513,-400415,-1503630,-318448,-1032793,-609021,-278336
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1599117/000107878215000456/0001078782-15-000456-index.htm,https://www.sec.gov/Archives/edgar/data/1599117/000107878216002459/0001078782-16-002459-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878217000361/0001078782-17-000361-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878218000361/0001078782-18-000361-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878219000256/0001078782-19-000256-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878220000194/0001078782-20-000194-index.html,https://www.sec.gov/Archives/edgar/data/1599117/000107878221000356/0001078782-21-000356-index.htm,https://www.sec.gov/Archives/edgar/data/1599117/000149315222007638/0001493152-22-007638-index.htm
102,false,,,,,,,,,
