,https://roic.ai/company/WIT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,23000129808,30810188981,33909808437,42849909798,58560132933,81353707560,106296234005,149785275551,197320000000,254564000000,271957000000,310542000000,371971000000,374256000000,434269000000,469545000000,512440000000,550402000000,544871000000,585845000000,610232000000,619430000000
2,COGS,14848601848,18290645533,20824267356,27176448406,39084557171,53842791960,71774354176,102442210432,138760000000,178176000000,186299000000,212808000000,263173000000,260665000000,295488000000,321284000000,356724000000,391544000000,385575000000,413033000000,436085000000,423205000000
3,Gross Profit,8151527960,12519543449,13085541081,15673461393,19475575762,27510915600,34521879829,47343065119,58560000000,76388000000,85658000000,97734000000,108798000000,113591000000,138781000000,148261000000,155716000000,158858000000,159296000000,172812000000,174147000000,196225000000
4,Gross Profit Ratio,0.3544,0.4063,0.3859,0.3658,0.3326,0.3382,0.3248,0.3161,0.2968,0.3001,0.3150,0.3147,0.2925,0.3035,0.3196,0.3158,0.3039,0.2886,0.2924,0.2950,0.2854,0.3168
5,Research and Development Exp.,- -,- -,126641499,260473962,232537972,262008720,202744861,268285289,400000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,14696000000,14823000000,18339000000,20286000000,22032000000,21984000000,24809000000,26460000000,29259000000,34141000000,35951000000,29823000000,34686000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,17762000000,18608000000,22172000000,27777000000,24213000000,28647000000,29335000000,32520000000,34920000000,37840000000,39798000000,39368000000,41400000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,32458000000,33431000000,40511000000,48063000000,46245000000,50631000000,54144000000,58980000000,64179000000,71981000000,75749000000,69191000000,76086000000
9,Other Expenses,4657729015,5393733932,5038226653,5926730492,8318091501,9388645800,12307281422,17136128831,24480000000,2540000000,- -,-445000000,- -,- -,2155000000,2331000000,3582000000,4577000000,4509000000,368000000,2395000000,81000000
10,Operating Expenses,4657729015,5393733932,5164868152,6187204454,8550629473,9650654520,12510026283,17404414120,24880000000,34998000000,33431000000,40066000000,48063000000,46245000000,52786000000,56475000000,62562000000,68756000000,76490000000,76117000000,71586000000,76167000000
11,COGS and Expenses,19506330863,23684379465,25989135508,33363652859,47635186644,63493446480,84284380458,119846624553,163640000000,213174000000,219730000000,252874000000,311236000000,306910000000,348274000000,377759000000,419286000000,460300000000,462065000000,489150000000,507671000000,499372000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1930000000,2610000000,6652000000,8895000000,8427000000,12491000000,15687000000,20568000000,17307000000,17806000000,20261000000,21764000000,18442000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2332000000,1232000000,1933000000,3491000000,863000000,868000000,768000000,1410000000,1916000000,3451000000,5616000000,5136000000,4298000000
14,Depreciation and Amortization,835982489,1117298400,1663686302,1750047581,2329978419,2925764040,3864183363,4319349957,6080000000,8357000000,7831000000,8211000000,10129000000,10835000000,11106000000,12823000000,14967000000,23107000000,21124000000,19474000000,20862000000,27656000000
