,https://roic.ai/company/KOS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,9210000,5109000,667687000,667951000,851212000,855877000,446696000,310377000,578139000,886666000,1499416000,804033000,1332013000
2,COGS,- -,73126000,209960000,280816000,319335000,298202000,261302000,259771000,382053000,554562000,966474000,824339000,813227000
3,Gross Profit,9210000,-68017000,457727000,387135000,531877000,557675000,185394000,50606000,196086000,332104000,532942000,-20306000,518786000
4,Gross Profit Ratio,1.0000,-13.3132,0.6855,0.5796,0.6248,0.6516,0.4150,0.1630,0.3392,0.3746,0.3554,-0.0253,0.3895
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,113579000,160027000,158421000,135231000,136809000,102584000,67482000,106811000,110010000,85303000,91529000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,113579000,160027000,158421000,135231000,136809000,102584000,67482000,106811000,110010000,85303000,91529000
9,Other Expenses,82195000,199412000,188449000,94562000,229373000,90427000,155994000,127302000,157353000,293455000,180990000,86582000,65382000
10,Operating Expenses,82195000,199412000,302028000,254589000,387794000,225658000,292803000,229886000,224835000,400266000,291000000,171885000,156911000
11,COGS and Expenses,82195000,272538000,511988000,535405000,707129000,523860000,554105000,489657000,606888000,954828000,1257474000,996224000,970138000
12,Interest Income ,985000,4231000,9093000,1108000,275000,529000,844000,1954000,3422000,3455000,3692000,4773000,- -
13,Interest Expense (Gain),6774000,59582000,65749000,52207000,36811000,33737000,24275000,28645000,64982000,84665000,119349000,97246000,128371000
14,Depreciation and Amortization,1911000,- -,140469000,- -,- -,- -,- -,- -,- -,- -,- -,495209000,477801000
15,EBITDA,-70089000,-263198000,305261000,86363000,112765000,612005000,109711000,-265919000,-112873000,33805000,144466000,175660000,562792000
16,EBITDA ratio,-7.6101,-51.5165,0.4572,0.1293,0.1325,0.7151,0.2456,-0.8568,-0.1952,0.0381,0.0963,0.2185,0.4225
17,Operating Income,-72985000,-267429000,155699000,132546000,144083000,332017000,-107409000,-179280000,-28749000,-68162000,241942000,-192191000,-43380000
18,Operating Income ratio,-7.9245,-52.3447,0.2332,0.1984,0.1693,0.3879,-0.2405,-0.5776,-0.0497,-0.0769,0.1614,-0.2390,-0.0326
19,Total Other Income Expenses (Gains),-5789000,-55351000,-56656000,-98390000,-68129000,246251000,192845000,-115284000,-149106000,17302000,-216825000,-224604000,- -
20,Income Before Tax,-78774000,-322780000,99043000,34156000,75954000,578268000,85436000,-294564000,-177855000,-50860000,25117000,-416795000,-43380000
21,Income Before Tax Ratio,-8.5531,-63.1787,0.1483,0.0511,0.0892,0.6756,0.1913,-0.9491,-0.3076,-0.0574,0.0168,-0.5184,-0.0326
22,Income Tax expense (Gain),973000,-77108000,76686000,101184000,166998000,298898000,155272000,-10784000,44937000,43131000,80894000,-5209000,34456000
23,Net Income,-79747000,-245672000,22357000,-67028000,-91044000,279370000,-69836000,-283780000,-222792000,-93991000,-55777000,-411586000,-77836000
24,Net Income ratio,-8.6587,-48.0861,0.0335,-0.1003,-0.1070,0.3264,-0.1563,-0.9143,-0.3854,-0.1060,-0.0372,-0.5119,-0.0584
25,EPS,-0.35,-0.86,-0.01,-0.18,-0.24,0.73,-0.18,-0.74,-0.57,-0.23,-0.14,-1.02,-0.19
26,EPS Diluted,-0.35,-0.86,-0.01,-0.18,-0.24,0.72,-0.18,-0.74,-0.57,-0.23,-0.14,-1.02,-0.19
27,Weighted Average Shares Outstanding,374176471,374176471,389881128,371847000,376819000,379195000,382610000,385402000,388375000,404585000,401368000,405212000,416943000
28,Weighted Average Shares Outstanding Diluted,374176471,374176471,389881128,371847000,376819000,386119000,382610000,385402000,388375000,404585000,401368000,405212000,416943000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1509991/000104746912001964/0001047469-12-001964-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000104746913001596/0001047469-13-001596-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000104746914001232/a2218405z10-k.htm,https://www.sec.gov/Archives/edgar/data/1509991/000104746915001041/a2223111z10-k.htm,https://www.sec.gov/Archives/edgar/data/1509991/000155837016003331/0001558370-16-003331-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000155837017001056/0001558370-17-001056-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999118000014/0001509991-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999119000063/0001509991-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999120000052/0001509991-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1509991/000150999121000031/0001509991-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1509991/000150999122000019/0001509991-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,100415000,673092000,515164000,598108000,554831000,275004000,194057000,233412000,173515000,224502000,149027000,131620000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1034226000,- -
