,https://roic.ai/company/STLA,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,36779627612,33561124740,29866108629,35102372706,40073569593,40971345710,48617769564,48205474164,48438318390,57603000000,57575000000,55427000000,48346000000,46488000000,46544000000,51832000000,58529000000,59380000000,50102000000,35880000000,59559000000,83957000000,86816000000,96090000000,110595000000,111018000000,110934000000,110412000000,108187000000,86676000000,149419000000
2,COGS,33110645113,- -,13136466938,16930825158,28635175560,30655594380,25690701582,32781281094,34903892380,29976000000,29638000000,29814000000,28160000000,27899000000,39624000000,43888000000,48924000000,49423000000,43261000000,30718000000,50704000000,71474000000,74570000000,83146000000,97620000000,95295000000,93975000000,95011000000,93164000000,75962000000,119943000000
3,Gross Profit,3668982499,- -,16729641691,18171547548,11438394033,10315751330,22927067982,15424193070,13534426010,27627000000,27937000000,25613000000,20186000000,18589000000,6920000000,7944000000,9605000000,9957000000,6841000000,5162000000,8855000000,12483000000,12246000000,12944000000,12975000000,15723000000,16959000000,15401000000,15023000000,10714000000,29476000000
4,Gross Profit Ratio,0.0998,- -,0.5602,0.5177,0.2854,0.2518,0.4716,0.3200,0.2794,0.4796,0.4852,0.4621,0.4175,0.3999,0.1487,0.1533,0.1641,0.1677,0.1365,0.1439,0.1487,0.1487,0.1411,0.1347,0.1173,0.1416,0.1529,0.1395,0.1389,0.1236,0.1973
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1364000000,1401000000,1536000000,1497000000,1398000000,1013000000,1367000000,1835000000,2231000000,2537000000,2864000000,3274000000,3230000000,3051000000,3612000000,2979000000,4487000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,12773000000,13346000000,12067000000,8422000000,6753000000,4576000000,- -,- -,- -,- -,- -,- -,- -,- -,2519000000,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,9042000000,9835000000,9890000000,8505000000,7984000000,- -,- -,- -,- -,- -,2956000000,5047000000,- -,- -,4565000000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,21815000000,23181000000,21957000000,16927000000,14737000000,4576000000,- -,- -,- -,- -,2956000000,5047000000,- -,- -,7084000000,- -,- -,- -,- -,- -,- -,9130000000
9,Other Expenses,2007335148,- -,17197284069,17144312586,9976296756,11112793570,21143160675,14678797698,15689956520,4399000000,4777000000,4736000000,3987000000,3895000000,-635000000,4639000000,5148000000,5323000000,4878000000,81000000,49000000,6834000000,6621000000,-197000000,7576000000,7568000000,6490000000,7318000000,6455000000,5501000000,- -
