,https://roic.ai/company/YUMC,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,6905000000,6934000000,6909000000,6752000000,7144000000,8415000000,8776000000,8263000000,9853000000
2,COGS,6025000000,6093000000,6001000000,5681000000,5898000000,7100000000,7375000000,2342000000,8447000000
3,Gross Profit,880000000,841000000,908000000,1071000000,1246000000,1315000000,1401000000,5921000000,1406000000
4,Gross Profit Ratio,0.1274,0.1213,0.1314,0.1586,0.1744,0.1563,0.1596,0.7166,0.1427
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,356000000,389000000,395000000,424000000,487000000,456000000,487000000,479000000,564000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",356000000,389000000,395000000,424000000,487000000,456000000,487000000,479000000,564000000
9,Other Expenses,-5000000,-17000000,-13000000,-17000000,-5000000,29000000,37000000,1747000000,65000000
10,Operating Expenses,351000000,372000000,382000000,407000000,482000000,485000000,524000000,2226000000,629000000
11,COGS and Expenses,6376000000,6465000000,6383000000,6088000000,6380000000,7585000000,7899000000,7302000000,9076000000
12,Interest Income ,5000000,14000000,8000000,11000000,25000000,36000000,39000000,43000000,60000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,394000000,411000000,425000000,402000000,409000000,445000000,767000000,450000000,516000000
15,EBITDA,655000000,458000000,916000000,1062000000,1193000000,1367000000,1740000000,1558000000,1875000000
16,EBITDA ratio,0.0949,0.0661,0.1326,0.1573,0.1670,0.1624,0.1983,0.1886,0.1903
17,Operating Income,229000000,3000000,488000000,640000000,785000000,941000000,901000000,961000000,1386000000
18,Operating Income ratio,0.0332,0.0004,0.0706,0.0948,0.1099,0.1118,0.1027,0.1163,0.1407
19,Total Other Income Expenses (Gains),5000000,14000000,8000000,32000000,25000000,9000000,102000000,147000000,6000000
20,Income Before Tax,234000000,17000000,496000000,672000000,810000000,950000000,1003000000,1108000000,1392000000
21,Income Before Tax Ratio,0.0339,0.0025,0.0718,0.0995,0.1134,0.1129,0.1143,0.1341,0.1413
22,Income Tax expense (Gain),135000000,54000000,168000000,158000000,381000000,214000000,260000000,-295000000,369000000
23,Net Income,126000000,-7000000,323000000,502000000,403000000,708000000,713000000,1403000000,990000000
24,Net Income ratio,0.0182,-0.0010,0.0468,0.0743,0.0564,0.0841,0.0812,0.1698,0.1005
25,EPS,0.32,-0.02,0.83,1.36,1.03,1.84,1.89,2.01,2.54
26,EPS Diluted,0.32,-0.02,0.83,1.36,1.00,1.79,1.84,1.95,2.46
27,Weighted Average Shares Outstanding,390000000,390000000,390000000,367744992,387000000,384000000,377000000,390000000,390000000
28,Weighted Average Shares Outstanding Diluted,390000000,390000000,390000000,369143838,398000000,395000000,388000000,402000000,402000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1673358/000156459017003681/0001564590-17-003681-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459018003524/0001564590-18-003524-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459019004944/0001564590-19-004944-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459020007403/0001564590-20-007403-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459021009460/0001564590-21-009460-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459022007640/0001564590-22-007640-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,238000000,425000000,885000000,1059000000,1266000000,1046000000,1158000000,1136000000
32,Short-Term Investments,- -,- -,- -,79000000,205000000,122000000,611000000,3105000000,2860000000
33,Cash and Short-Term Investments,- -,238000000,425000000,964000000,1264000000,1388000000,1657000000,4263000000,3996000000
34,Net Receivables,- -,60000000,76000000,74000000,81000000,149000000,137000000,99000000,67000000
35,Inventory,- -,260000000,189000000,268000000,297000000,307000000,380000000,398000000,432000000
36,Other Current Assets,- -,90000000,109000000,120000000,160000000,108000000,85000000,176000000,221000000
37,Total Current Assets,- -,648000000,799000000,1426000000,1802000000,1952000000,2259000000,4936000000,4716000000
38,PP&E,- -,2001000000,1841000000,- -,- -,- -,- -,1765000000,4863000000
39,Goodwill,- -,89000000,85000000,79000000,108000000,266000000,254000000,832000000,2142000000
40,Intangible Assets,- -,127000000,107000000,88000000,101000000,254000000,227000000,246000000,272000000
41,Intangible Assets,- -,216000000,192000000,167000000,209000000,520000000,481000000,1078000000,2414000000
42,Investments,- -,52000000,61000000,71000000,89000000,128000000,199000000,306000000,292000000
43,Tax Assets,- -,141000000,116000000,162000000,99000000,89000000,95000000,- -,106000000
44,Other Non-Current Assets,- -,199000000,192000000,1901000000,2064000000,1921000000,3916000000,-306000000,832000000
45,Total Non-Current Assets,- -,2609000000,2402000000,2301000000,2461000000,2658000000,4691000000,2843000000,8507000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3257000000,3201000000,3727000000,4263000000,4610000000,6950000000,7779000000,13223000000
48,Accounts Payable,- -,501000000,454000000,480000000,424000000,619000000,623000000,1995000000,2332000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,382000000,448000000,- -
50,Tax Payable,- -,78000000,64000000,47000000,55000000,54000000,45000000,72000000,51000000
51,Deferred Revenue,- -,- -,- -,- -,- -,96000000,135000000,98000000,- -
52,Other Current Liabilities,- -,539000000,494000000,524000000,593000000,538000000,596000000,-474000000,51000000
53,Total Current Liabilities,- -,1040000000,948000000,1004000000,1017000000,1253000000,1736000000,2067000000,2383000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,1915000000,2326000000
55,Deferred Revenue,- -,- -,- -,- -,- -,31000000,33000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,65000000,67000000,- -,425000000
57,Other Non-Current Liabilities,- -,272000000,274000000,280000000,387000000,285000000,1939000000,- -,181000000
58,Total Non-Current Liabilities,- -,272000000,274000000,280000000,387000000,381000000,2039000000,1915000000,2932000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,4252000000,- -
60,Capital Lease Obligations,- -,34000000,34000000,28000000,28000000,25000000,2211000000,2391000000,2326000000
61,Total Liabilities,- -,1312000000,1222000000,1284000000,1404000000,1634000000,3775000000,4404000000,5315000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1671000000,1791000000,4000000,4000000,4000000,4000000,4000000,4000000
64,Retained Earnings,- -,- -,- -,40000000,405000000,944000000,1416000000,2105000000,2892000000
65,Other Comprehensive Income/Loss,- -,217000000,130000000,1000000,138000000,-17000000,-49000000,167000000,268000000
66,Other Total Stockholders Equity,- -,- -,- -,2332000000,2235000000,1942000000,1706000000,3930000000,3892000000
67,Total Stockholders Equity,- -,1888000000,1921000000,2377000000,2782000000,2873000000,3077000000,6206000000,7056000000
68,Total Liabilities And Stockholders Equity,- -,3200000000,3143000000,3661000000,4186000000,4507000000,6852000000,10610000000,12371000000
69,Minority Interest,- -,57000000,58000000,66000000,77000000,103000000,98000000,-2831000000,852000000
70,Total Liabilities & Equity,- -,3257000000,3201000000,3727000000,4263000000,4610000000,6950000000,7779000000,13223000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1673358/000156459017003681/0001564590-17-003681-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459018003524/0001564590-18-003524-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459019004944/0001564590-19-004944-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459020007403/0001564590-20-007403-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459021009460/0001564590-21-009460-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459022007640/0001564590-22-007640-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,126000000,-7000000,323000000,502000000,403000000,708000000,713000000,1403000000,990000000
74,Depreciation and Amortization,394000000,411000000,425000000,402000000,409000000,445000000,767000000,450000000,516000000
75,Deferred Income Tax,-49000000,-104000000,29000000,-40000000,64000000,33000000,16000000,111000000,160000000
76,Stock Based Compensation,12000000,13000000,14000000,16000000,26000000,24000000,26000000,36000000,41000000
77,Change in Working Capital,-13000000,- -,243000000,571000000,363000000,-86000000,-176000000,2346000000,-418000000
78,Accounts Receivable,-12000000,-5000000,-12000000,-54000000,-1000000,-13000000,-9000000,-15000000,-5000000
79,Inventory,22000000,-21000000,61000000,-96000000,-11000000,-23000000,-77000000,17000000,-16000000
80,Accounts Payable,-24000000,39000000,31000000,123000000,-58000000,254000000,171000000,65000000,118000000
81,Other Working Capital,-392000000,-392000000,-149000000,422000000,785000000,699000000,523000000,2869000000,- -
82,Other Non-Cash Items,312000000,462000000,-124000000,-587000000,-381000000,209000000,-161000000,-3232000000,-158000000
83,Cash Provided by Operating Activities,782000000,775000000,910000000,864000000,884000000,1333000000,1185000000,1114000000,1131000000
84,CAPEX,-568000000,-525000000,-512000000,-436000000,-415000000,-470000000,-435000000,- -,-689000000
85,Acquisitions Net,- -,- -,- -,- -,-25000000,-91000000,- -,-305000000,-115000000
86,Purchases of Investments,- -,-427000000,- -,-136000000,-596000000,-678000000,-1024000000,-4499000000,-6439000000
87,Sales/Maturities of Investments,- -,427000000,- -,53000000,479000000,680000000,534000000,- -,6383000000
88,Other Investing Activites,-575000000,-512000000,-493000000,48000000,- -,7000000,15000000,2114000000,-684000000
89,Cash Used for Investing Activites,-575000000,-512000000,-493000000,-471000000,-557000000,-552000000,-910000000,-3109000000,-855000000
90,Debt Repayment,-57000000,-3000000,-2000000,-3000000,-2000000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,460000000,- -,- -,- -,2195000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-128000000,-307000000,-265000000,-8000000,-75000000
93,Dividends Paid,- -,- -,- -,- -,-38000000,-161000000,-181000000,-95000000,-203000000
94,Other Financing Activites,-79000000,-316000000,-211000000,-362000000,-17000000,-50000000,-34000000,-34000000,-35000000
95,Cash Used/Provided by Financing Activities,-136000000,-319000000,-213000000,95000000,-185000000,-518000000,-480000000,2058000000,-313000000
96,Effect of Forex Changes on Cash,6000000,-6000000,-17000000,-28000000,32000000,-56000000,-6000000,40000000,15000000
97,Net Change In Cash,77000000,-62000000,187000000,460000000,174000000,207000000,-211000000,103000000,-22000000
98,Cash at the End of Period,300000000,238000000,425000000,885000000,1059000000,1266000000,1055000000,1158000000,1136000000
99,Cash at the Beginning of Period,223000000,300000000,238000000,425000000,885000000,1059000000,1266000000,1055000000,1158000000
100,Free Cash Flow,214000000,250000000,398000000,428000000,469000000,863000000,750000000,1114000000,442000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1673358/000156459017003681/0001564590-17-003681-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459018003524/0001564590-18-003524-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459019004944/0001564590-19-004944-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459020007403/0001564590-20-007403-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459021009460/0001564590-21-009460-index.htm,https://www.sec.gov/Archives/edgar/data/1673358/000156459022007640/0001564590-22-007640-index.htm
102,false,,,,,,,,,
