,https://roic.ai/company/OPRT,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,248751000,324555000,473559000,442365000,335060000,530400000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,122487000,166111000,209700000,265263000,303779000,350800000
7,Selling and Marketing Exp.,39845000,58060000,77617000,97153000,89375000,116900000
8,"Selling, General and Administrative Exp.",162332000,224171000,287317000,362416000,393154000,467700000
9,Other Expenses,- -,- -,- -,153584000,- -,- -
10,Operating Expenses,- -,- -,- -,516000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -
12,Interest Income ,254151000,327935000,448777000,544126000,545466000,575800000
13,Interest Expense (Gain),28774000,36399000,46919000,60546000,58368000,47700000
14,Depreciation and Amortization,8378000,10589000,11823000,14101000,20220000,- -
15,EBITDA,53208000,49057000,228837000,159079000,20494000,110500000
16,EBITDA ratio,0.2139,0.1512,0.4832,0.3596,0.0612,0.2083
17,Operating Income,- -,- -,- -,- -,- -,62000000
18,Operating Income ratio,- -,- -,- -,- -,- -,0.1169
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,800000
20,Income Before Tax,16056000,2069000,170095000,84432000,-58094000,62800000
21,Income Before Tax Ratio,0.0645,0.0064,0.3592,0.1909,-0.1734,0.1184
22,Income Tax expense (Gain),-34802000,12275000,46701000,22834000,-13012000,15400000
23,Net Income,50858000,-10206000,123394000,61598000,-45082000,47400000
24,Net Income ratio,0.2045,-0.0314,0.2606,0.1392,-0.1345,0.0894
25,EPS,2.31,-0.46,5.61,2.28,-1.63,1.68
26,EPS Diluted,2.20,-0.46,5.34,0.40,-1.65,1.56
27,Weighted Average Shares Outstanding,21981666,22015164,21981666,27003157,27679263,28191610
28,Weighted Average Shares Outstanding Diluted,23111364,22062143,23111364,27003157,27679263,30323194
