,https://roic.ai/company/GTN-A,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,27500000,27500000,13100000,36500000,58600000,79300000,103500000,128900000,144000000,171213003,156343450,198640000,295371000,346567000,261553000,332137000,307288000,327176000,270374000,346058000,307131000,404831000,346298000,508134000,597356000,812465000,882728000,1084132000,2122000000,2381000000,2413000000
2,COGS,- -,11200000,12900000,8900000,24900000,41500000,48300000,61300000,77400000,87600000,105314455,104024418,119377000,183287000,197006000,161905000,191502000,199687000,199572000,187583000,196353000,194196000,228213000,237221000,315193000,408525000,515478000,588657000,637313000,1354000000,1457000000,1610000000
3,Gross Profit,- -,16300000,14600000,4200000,11600000,17100000,31000000,42200000,51500000,56400000,65898548,52319032,79263000,112084000,149561000,99648000,140635000,107601000,127604000,82791000,149705000,112935000,176618000,109077000,192941000,188831000,296987000,294071000,446819000,768000000,924000000,803000000
4,Gross Profit Ratio,- -,0.5927,0.5309,0.3206,0.3178,0.2918,0.3909,0.4077,0.3995,0.3917,0.3849,0.3346,0.3990,0.3795,0.4316,0.3810,0.4234,0.3502,0.3900,0.3062,0.4326,0.3677,0.4363,0.3150,0.3797,0.3161,0.3655,0.3331,0.4121,0.3619,0.3881,0.3328
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14097000,14168000,13545000,- -,15927000,19810000,29203000,34343000,40347000,- -,40910000,70000000,- -,159000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,9900000,11500000,900000,1900000,2300000,3200000,2500000,3100000,3500000,3594113,3615117,5607000,8460000,11662000,11505000,15097000,15090000,14097000,14168000,13545000,14173000,15927000,19810000,29203000,34343000,40347000,31541000,40910000,104000000,65000000,159000000
9,Other Expenses,- -,2200000,1900000,1100000,3400000,5600000,10900000,19100000,23500000,31000000,31206905,30824267,17728000,28856000,24692000,27282000,37547000,39135000,35353000,33172000,31109000,26308000,7281000,4622000,9342000,14351000,22172000,45504000,33543000,91000000,136000000,221000000
10,Operating Expenses,- -,12100000,13400000,2000000,5300000,7900000,14100000,21600000,26600000,34500000,34801018,34439384,23335000,37316000,36354000,38787000,52644000,54225000,49450000,47340000,44654000,40481000,23208000,24432000,38545000,48694000,62519000,77045000,74453000,195000000,201000000,380000000
11,COGS and Expenses,- -,23300000,26300000,10900000,30200000,49400000,62400000,82900000,104000000,122100000,140115473,138463802,142712000,220603000,233360000,200692000,244146000,253912000,249022000,234923000,241007000,234677000,251421000,261653000,353738000,457219000,577997000,665702000,711766000,1549000000,1658000000,1990000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,100000,1600000,400000,1900000,5400000,11700000,- -,25500000,- -,39957362,35782547,35674000,43337000,41974000,46549000,66787000,67189000,54079000,69088000,70045000,61777000,59443000,52445000,68913000,74411000,97236000,95259000,106628000,227000000,191000000,205000000
14,Depreciation and Amortization,- -,2200000,1900000,1100000,3400000,5600000,10900000,19100000,23500000,31000000,38050624,37878866,23997000,40723000,38111000,40801000,54121000,56792000,51423000,48302000,46519000,39792000,34289000,35799000,51416000,63654000,81520000,98078000,95869000,195000000,239000000,259000000
15,EBITDA,- -,7500000,3500000,3300000,9900000,12500000,29500000,17900000,118800000,22400000,69929405,54371645,39585200,115421000,152334000,94435000,142442000,88287000,-207525000,83083000,153174000,115143000,141049000,119679000,200126000,203814000,284447000,386615000,490147000,677000000,974000000,632000000
16,EBITDA ratio,- -,0.2727,0.1273,0.2519,0.2712,0.2133,0.3720,0.1729,0.9216,0.1556,0.4084,0.3478,0.1993,0.3908,0.4396,0.3611,0.4289,0.2873,-0.6343,0.3073,0.4426,0.3749,0.3484,0.3456,0.3938,0.3412,0.3501,0.4380,0.4521,0.3190,0.4091,0.2619
17,Operating Income,- -,4200000,1200000,2200000,6300000,9200000,16900000,20600000,24900000,21900000,31097530,17879648,55928000,74768000,113207000,60861000,87991000,53376000,-258895000,43079000,106960000,75348000,153441000,83880000,153773000,140057000,234139000,291226000,388771000,478000000,752000000,381000000
18,Operating Income ratio,- -,0.1527,0.0436,0.1679,0.1726,0.1570,0.2131,0.1990,0.1932,0.1521,0.1816,0.1144,0.2816,0.2531,0.3267,0.2327,0.2649,0.1737,-0.7913,0.1593,0.3091,0.2453,0.3790,0.2422,0.3026,0.2345,0.2882,0.3299,0.3586,0.2253,0.3158,0.1579
19,Total Other Income Expenses (Gains),- -,1000000,400000,-400000,-1700000,-7700000,-6800000,-21800000,44900000,-30500000,-39176111,-37169416,-34489000,-43407000,-40958000,-52534000,-66457000,-89070000,-54132000,-77386000,-70350000,-61774000,-106124000,-52445000,-73976000,-74308000,-128448000,-97948000,-101121000,-223000000,-208000000,-213000000
20,Income Before Tax,- -,5200000,- -,1800000,4600000,1500000,10100000,-1200000,69800000,-8600000,-8078581,-19289768,21439000,31361000,72249000,8327000,21534000,-35694000,-313027000,-34307000,36610000,13574000,47317000,31435000,79797000,65749000,105691000,193278000,287650000,255000000,544000000,168000000
21,Income Before Tax Ratio,- -,0.1891,- -,0.1374,0.1260,0.0256,0.1274,-0.0116,0.5415,-0.0597,-0.0472,-0.1234,0.1079,0.1062,0.2085,0.0318,0.0648,-0.1162,-0.9568,-0.1269,0.1058,0.0442,0.1169,0.0908,0.1570,0.1101,0.1301,0.2190,0.2653,0.1202,0.2285,0.0696
22,Income Tax expense (Gain),- -,2000000,400000,700000,1800000,600000,4400000,200000,28100000,-2300000,-1866767,-5971919,7801000,17337000,27964000,3723000,9823000,-12543000,-111011000,-11260000,13447000,4539000,19188000,13147000,31736000,26448000,43418000,-68674000,76847000,76000000,134000000,78000000
23,Net Income,- -,3200000,-400000,1100000,2800000,900000,2500000,-1400000,41700000,-6300000,-6211814,-13317849,-27886800,14024000,44285000,3362000,11711000,-23151000,-202016000,-23047000,23163000,9035000,28129000,18288000,48061000,39301000,62273000,261952000,210803000,179000000,410000000,90000000
24,Net Income ratio,- -,0.1164,-0.0145,0.0840,0.0767,0.0154,0.0315,-0.0135,0.3235,-0.0437,-0.0363,-0.0852,-0.1404,0.0475,0.1278,0.0129,0.0353,-0.0753,-0.6175,-0.0852,0.0669,0.0294,0.0695,0.0528,0.0946,0.0658,0.0766,0.2968,0.1944,0.0844,0.1722,0.0373
25,EPS,- -,0.29,-0.05,0.17,0.39,0.14,0.25,-0.24,3.38,-0.57,-0.47,-0.89,-1.55,0.21,0.83,-0.05,0.17,-0.52,-4.32,-0.83,0.16,0.03,0.42,0.32,0.83,0.58,0.87,3.59,2.39,1.28,3.73,0.40
26,EPS Diluted,- -,0.29,-0.05,0.17,0.39,0.14,0.17,-0.24,3.25,-0.57,-0.47,-0.89,-1.55,0.21,0.82,-0.05,0.17,-0.52,-4.32,-0.83,0.16,0.03,0.42,0.32,0.82,0.57,0.86,3.55,2.37,1.27,3.69,0.40
27,Weighted Average Shares Outstanding,- -,11034483,8000000,6470588,7179487,6428571,8438322,11852545,11922852,12837912,15496847,15605133,22127000,50111000,49643000,48649000,48408000,47788000,48302000,48510000,54322000,57117000,57170000,57630000,57862000,68330000,71848000,73061000,88084000,99000000,96000000,95000000
28,Weighted Average Shares Outstanding Diluted,- -,11034483,8000000,6470588,7179487,6428571,8465587,11852545,12404295,12837912,15496847,15605133,22377000,50535000,50170000,48649000,48425000,47788000,48302000,48510000,54324000,57118000,57262000,57972000,58364000,68987000,72764000,73836000,88778000,100000000,97000000,95000000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/43196/000143774913002311/0001437749-13-002311-index.htm,- -,https://www.sec.gov/Archives/edgar/data/43196/000143774915004131/0001437749-15-004131-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774916026123/0001437749-16-026123-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774917003503/0001437749-17-003503-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774918003441/0001437749-18-003441-index.htm,- -,https://www.sec.gov/Archives/edgar/data/43196/000143774920003706/0001437749-20-003706-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774921004048/0001437749-21-004048-index.htm,https://www.sec.gov/Archives/edgar/data/43196/000143774922004412/0001437749-22-004412-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12915000,11947000,50566000,9315000,4741000,15338000,30649000,16000000,5431000,5190000,11067000,13478000,30769000,97318000,325189000,462399000,666980000,115000000,773000000,189000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4177000,1384000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12915000,11947000,50566000,9315000,4741000,19515000,32033000,16000000,5431000,5190000,11067000,13478000,30769000,97318000,325189000,462399000,666980000,115000000,773000000,189000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54770000,55215000,58375000,60081000,62056000,63070000,54685000,57179000,64487000,62085000,62472000,70047000,106692000,121473000,146811000,171230000,183592000,243000000,446000000,645000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1178000,1521000,1101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10007000,9352000,9867000,11788000,13361000,15422000,15089000,13605000,14773000,12080000,22844000,47062000,30843000,66663000,64311000,33128000,22173000,- -,85000000,129000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78870000,78035000,119909000,81184000,80158000,98007000,101807000,86784000,84691000,79355000,96383000,130587000,168304000,285454000,536311000,666757000,872745000,358000000,1304000000,963000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128232000,133959000,142209000,162761000,187120000,173039000,162903000,148092000,137148000,137099000,135138000,143621000,221811000,234475000,326093000,350658000,363142000,311000000,794000000,1235000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173341000,- -,- -,- -,269536000,269118000,170522000,170522000,170522000,170522000,170522000,184409000,374390000,423236000,485318000,611100000,612425000,829000000,1460000000,2649000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,887531000,157665000,1083429000,1249480000,1062576000,1061751000,820874000,820297000,819818000,819693000,819825000,841626000,1071382000,1167906000,1396555000,1604487000,1582788000,504000000,3974000000,6128000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060872000,157665000,1083429000,1249480000,1332112000,1330869000,991396000,990819000,990340000,990215000,990347000,1026035000,1445772000,1591142000,1881873000,2215587000,2195213000,1333000000,5434000000,8777000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13599000,13599000,13599000,13599000,13599000,13599000,13599000,13599000,16599000,16599000,16599000,17000000,72000000,117000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28750000,955670000,27922000,31629000,28897000,24054000,8560000,6445000,16515000,13712000,14321000,20582000,22094000,18491000,22455000,11256000,765746000,-17000000,39000000,16000000
