,https://roic.ai/company/CSWC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,318305,737135,1598062,891494,427890,2884137,3217182,3584619,87057166,16251432,98204192,6512036,6794683,13985132,6109306,7568000,9334000,116760000,119723000,65835000,14447000,38394000,53192000,48873000,-236000,69333000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1112640,1147294,1206478,1109699,804933,850959,894612,911671,1269991,1387382,1328331,1356062,1619008,2294187,2469962,3755000,4403000,3259000,2155000,6990000,11709000,4435000,4421000,4800000,5603000,5177000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1112640,1147294,1206478,1109699,804933,850959,894612,911671,1269991,1387382,1328331,1356062,1619008,2294187,2469962,3755000,4403000,3259000,2155000,6990000,11709000,4435000,4421000,4800000,5603000,5177000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,612618,671669,643938,1380992,1705813,1530038,2245000,2597000,5079000,6297000,5133000,9416000,8383000,9402000,10145000,10306000,10831000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,2000000,3000000,4000000,4000000,6000000,7000000,8338000,8452000,12123000,21125000,12818000,13823000,14945000,15909000,16008000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,2018308,1371802,2025024,1307668,884152,542241,322521,204490,846851,1074753,1353606,2308660,2255550,1375215,1044867,1364000,1980000,2078000,577000,410000,386000,166000,21873000,37301000,46991000,56301000
13,Interest Expense (Gain),1700003,634667,426962,416174,456262,1144337,929372,476761,531068,420351,436021,460399,- -,- -,- -,- -,- -,- -,- -,- -,- -,989000,4875000,12178000,15836000,17941000
14,Depreciation and Amortization,33439,31240,23770,24667,31976,29891,26258,21668,19089,17597,16136,16808,32756,40478,33130,27000,25000,30000,23000,55000,86000,459000,927000,1393000,2405000,1967000
15,EBITDA,54583500,32723180,79161369,-37925937,-16436236,-6622103,26785896,-41092694,86107309,10535837,96701810,117441480,-138870558,-138130792,73688650,53841000,91664000,108452000,111294000,53767000,-6592000,27024000,45171000,47499000,2096000,73233000
16,EBITDA ratio,171.4818,44.3924,49.5359,-42.5420,-38.4123,-2.2960,8.3259,-11.4636,0.9891,0.6483,0.9847,18.0345,-20.4381,-9.8770,12.0617,7.1143,9.8204,0.9288,0.9296,0.8167,-0.4563,0.7039,0.8492,0.9719,-8.8814,1.0563
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,2930365,2701387,2837822,1870818,1805424,-7796331,25830266,-41591123,2676706,2486641,2448476,4286664,3826360,10319631,2205798,1930000,2662000,108422000,111271000,53712000,-6678000,25576000,39369000,33928000,-16145000,53325000
21,Income Before Tax Ratio,9.2062,3.6647,1.7758,2.0985,4.2194,-2.7032,8.0288,-11.6027,0.0307,0.1530,0.0249,0.6583,0.5631,0.7379,0.3611,0.2550,0.2852,0.9286,0.9294,0.8159,-0.4622,0.6661,0.7401,0.6942,68.4110,0.7691
22,Income Tax expense (Gain),75448,-127325,111678,109100,142494,181991,151956,135513,89646,-4126899,59220,53324,111160,136176,115017,126000,-118000,1715000,-739000,270000,-1278000,2102000,62000,870000,6206000,2442000
23,Net Income,52774610,32184598,78598959,-38475878,-17066968,-7978322,25678310,-41726636,85467506,14224788,96190433,116910949,-139014474,-138307446,73540503,53688000,91757000,106707000,112010000,53442000,-5400000,23474000,39307000,33058000,-22351000,50883000
