,https://roic.ai/company/AVO,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,859887000,883301000,862300000,891700000
2,COGS,805931000,728626000,737700000,767200000
3,Gross Profit,53956000,154675000,124600000,124500000
4,Gross Profit Ratio,0.0627,0.1751,0.1445,0.1396
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,35235000,48168000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35235000,48168000,- -,63600000
9,Other Expenses,65000,- -,56200000,- -
10,Operating Expenses,35300000,48168000,56200000,63600000
11,COGS and Expenses,841166000,776794000,793900000,830800000
12,Interest Income ,700000,1701000,2400000,1700000
13,Interest Expense (Gain),5396000,10320000,6700000,3700000
14,Depreciation and Amortization,9440000,16466000,18100000,20400000
15,EBITDA,103522000,122783000,68600000,90100000
16,EBITDA ratio,0.1204,0.1390,0.0796,0.1010
17,Operating Income,18700000,106507000,68400000,60900000
18,Operating Income ratio,0.0217,0.1206,0.0793,0.0683
19,Total Other Income Expenses (Gains),69986000,-10510000,-24600000,5100000
20,Income Before Tax,88686000,95997000,43800000,66000000
21,Income Before Tax Ratio,0.1031,0.1087,0.0508,0.0740
22,Income Tax expense (Gain),16245000,24298000,15000000,21100000
23,Net Income,72441000,71699000,28800000,44900000
24,Net Income ratio,0.0842,0.0812,0.0334,0.0504
25,EPS,1.04,1.03,0.45,0.71
26,EPS Diluted,1.04,1.03,0.45,0.71
27,Weighted Average Shares Outstanding,69350922,69350922,63634863,63634863
28,Weighted Average Shares Outstanding Diluted,69350922,69350922,63660018,63660018
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1802974/000180297421000016/0001802974-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1802974/000180297421000047/0001802974-21-000047-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,26314000,64008000,124000000,84500000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,26314000,64008000,124000000,84500000
34,Net Receivables,86736000,87078000,75300000,96700000
35,Inventory,32319000,44902000,38600000,48200000
36,Other Current Assets,11535000,10051000,10200000,17700000
37,Total Current Assets,156904000,206039000,248100000,247100000
38,PP&E,314708000,330316000,379100000,468000000
39,Goodwill,76376000,76376000,76400000,76400000
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,76376000,76376000,76400000,76400000
42,Investments,58751000,62702000,46700000,52700000
43,Tax Assets,2919000,3011000,4400000,7600000
44,Other Non-Current Assets,12115000,11005000,22600000,21600000
45,Total Non-Current Assets,464869000,483410000,529200000,626300000
46,Other Assets,- -,- -,- -,1252700000
47,Total Assets,621773000,689449000,777300000,873500000
48,Accounts Payable,39087000,46930000,39300000,45000000
49,Short-Term Debt,8453000,7316000,8600000,13500000
50,Tax Payable,1503000,4083000,1700000,2900000
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,20766000,25267000,30000000,30700000
53,Total Current Liabilities,68306000,79513000,77900000,89200000
54,Long-Term Debt,192404000,174034000,170000000,199800000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,27097000,27347000,27800000,26800000
57,Other Non-Current Liabilities,20515000,29522000,28100000,23500000
58,Total Non-Current Liabilities,240016000,230903000,225900000,250100000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,3203000,5591000,4500000,49400000
61,Total Liabilities,308322000,310416000,303800000,339300000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,63000,63000,100000,100000
64,Retained Earnings,174076000,239309000,251200000,309000000
65,Other Comprehensive Income/Loss,30000,79000,-500000,-500000
66,Other Total Stockholders Equity,139282000,139582000,222700000,- -
67,Total Stockholders Equity,313451000,379033000,473500000,534200000
68,Total Liabilities And Stockholders Equity,621773000,689449000,777300000,873500000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,621773000,689449000,777300000,873500000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1802974/000180297421000016/0001802974-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1802974/000180297421000047/0001802974-21-000047-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,72441000,71699000,28800000,44900000
74,Depreciation and Amortization,9440000,16466000,18100000,20400000
75,Deferred Income Tax,6272000,594000,-1000000,8800000
76,Stock Based Compensation,9000,- -,5000000,2600000
77,Change in Working Capital,13400000,37928000,43674000,-27700000
78,Accounts Receivable,2255000,5363000,12600000,-16400000
79,Inventory,4094000,-12229000,5900000,-11200000
80,Accounts Payable,5800000,9520000,-400000,8900000
81,Other Working Capital,88598000,126526000,170200000,800000
82,Other Non-Cash Items,-68893000,-34053000,-15674000,-2000000
83,Cash Provided by Operating Activities,32669000,92634000,78900000,47000000
84,CAPEX,-27205000,-29711000,-67300000,-73400000
85,Acquisitions Net,-31600000,-1912000,-3400000,-200000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-5700000,952000,3000000,3300000
89,Cash Used for Investing Activites,-64500000,-30671000,-67700000,-70300000
90,Debt Repayment,-225241000,-65625000,-27000000,-11700000
91,Common Stock Issued,- -,- -,78100000,- -
92,Common Stock Repurchased,- -,-866000,-1900000,- -
93,Dividends Paid,-4546000,-5600000,-13000000,- -
94,Other Financing Activites,278187000,45300000,13900000,200000
95,Cash Used/Provided by Financing Activities,48400000,-26791000,50100000,-11500000
96,Effect of Forex Changes on Cash,9000,-31000,100000,- -
97,Net Change In Cash,16620000,35141000,61400000,-34800000
98,Cash at the End of Period,30495000,65636000,127000000,92200000
99,Cash at the Beginning of Period,13875000,30495000,65600000,127000000
100,Free Cash Flow,5464000,62923000,11600000,-26400000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1802974/000180297421000016/0001802974-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1802974/000180297421000047/0001802974-21-000047-index.htm
102,false,,,,
