,https://roic.ai/company/SRG,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,113571000,248674000,241017000,214754000,168633000,116495000,28525000
2,COGS,6329000,65191000,65353000,71151000,80718000,77932000,- -
3,Gross Profit,107242000,183483000,175664000,143603000,87915000,38563000,28525000
4,Gross Profit Ratio,0.9443,0.7378,0.7288,0.6687,0.5213,0.3310,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,32311000,17469000,27902000,34788000,39156000,28849000,9947000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",32311000,17469000,27902000,34788000,39156000,28849000,9947000
9,Other Expenses,84304000,177388000,262329000,226932000,104581000,95997000,- -
10,Operating Expenses,116615000,194857000,290231000,261720000,143737000,124846000,9947000
11,COGS and Expenses,122944000,260048000,355584000,332871000,224455000,202778000,- -
12,Interest Income ,- -,266000,877000,7886000,6824000,3394000,- -
13,Interest Expense (Gain),-25553000,63591000,70112000,90020000,94519000,91316000,-26128000
14,Depreciation and Amortization,65907000,176439000,261451000,225907000,104086000,94204000,11570000
15,EBITDA,17072000,188977000,258080000,242776000,139404000,80746000,79042000
16,EBITDA ratio,0.1503,0.7599,1.0708,1.1305,0.8267,0.6931,2.7710
17,Operating Income,-9373000,-30447000,-114567000,-118117000,-55822000,-86283000,93600000
18,Operating Income ratio,-0.0825,-0.1224,-0.4753,-0.5500,-0.3310,-0.7407,3.2813
19,Total Other Income Expenses (Gains),-28486000,-60057000,-5975000,3560000,-34585000,-66429000,- -
20,Income Before Tax,-37859000,-90504000,-120542000,-114557000,-90407000,-152712000,93600000
21,Income Before Tax Ratio,-0.3334,-0.3639,-0.5001,-0.5334,-0.5361,-1.3109,3.2813
22,Income Tax expense (Gain),-944000,505000,271000,321000,196000,252000,-1000
23,Net Income,-22338000,-51558000,-73754000,-73472000,-59397000,-105026000,93601000
24,Net Income ratio,-0.1967,-0.2073,-0.3060,-0.3421,-0.3522,-0.9015,3.2814
25,EPS,-0.71,-1.64,-2.19,-2.20,-1.77,-2.87,-0.78
26,EPS Diluted,-0.71,-1.64,-2.19,-2.20,-1.77,-2.87,-0.78
27,Weighted Average Shares Outstanding,31386000,31416000,33804000,35560000,36413000,38298000,42393000
28,Weighted Average Shares Outstanding Diluted,31386000,31416000,33804000,35560000,36413000,38298000,42393000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1628063/000119312516501519/0001193125-16-501519-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459017003120/0001564590-17-003120-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459018003848/0001564590-18-003848-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459019005833/0001564590-19-005833-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459020008210/0001564590-20-008210-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459021013212/0001564590-21-013212-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000095017022003827/0000950170-22-003827-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,62867000,52026000,241569000,532857000,139260000,143728000,106602000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,1696111000
33,Cash and Short-Term Investments,62867000,52026000,241569000,532857000,139260000,143728000,1802713000
34,Net Receivables,9772000,23172000,30787000,36926000,54470000,46570000,29111000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,115598000,102668000,195813000,32993000,73019000,72145000,- -
37,Total Current Assets,188237000,177866000,468169000,602776000,266749000,262443000,1831824000
38,PP&E,2572000,1644952000,1714560000,5299000,22842000,21719000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,578795000,464399000,310098000,123656000,68153000,18595000,14817000
41,Intangible Assets,578795000,464399000,310098000,123656000,68153000,18595000,14817000
42,Investments,427052000,425020000,282990000,398577000,445077000,457033000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1636703000,- -,- -,1745768000,1947791000,1889153000,- -
45,Total Non-Current Assets,2645122000,2534371000,2307648000,2273300000,2483863000,2386500000,14817000
46,Other Assets,- -,- -,- -,- -,- -,- -,597131000
47,Total Assets,2833359000,2712237000,2775817000,2876076000,2750612000,2648943000,2414138000
48,Accounts Payable,15124000,26463000,9588000,28065000,34379000,44777000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,1979000,4156000,4021000,- -,- -,- -
52,Other Current Liabilities,64645000,58099000,52632000,57003000,74376000,102105000,- -
53,Total Current Liabilities,79769000,86541000,66376000,89089000,108755000,146882000,- -
54,Long-Term Debt,1142422000,1166871000,1345524000,1598053000,1598487000,1598909000,- -
55,Deferred Revenue,- -,1979000,14678000,14996000,8325000,5988000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,41091000,32535000,28379000,23480000,-8325000,14437000,- -
58,Total Non-Current Liabilities,1183513000,1201385000,1388581000,1636529000,1598487000,1619334000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,1569338000
60,Capital Lease Obligations,- -,- -,- -,- -,7668000,20425000,- -
61,Total Liabilities,1263282000,1287926000,1454957000,1725618000,1707242000,1766216000,1569338000
62,Preferred Stock,- -,- -,28000,28000,28000,28000,- -
63,Common Stock,332000,332000,368000,370000,381000,389000,- -
64,Retained Earnings,-38145000,-121338000,-229760000,-344132000,-418711000,-528637000,-553771000
65,Other Comprehensive Income/Loss,-29076000,-89940000,-139483000,- -,- -,- -,- -
66,Other Total Stockholders Equity,953584000,1015503000,1255543000,1124504000,1149721000,1177260000,1398571000
67,Total Stockholders Equity,886695000,804557000,886696000,780770000,731419000,649040000,844800000
68,Total Liabilities And Stockholders Equity,2149977000,2092483000,2341653000,2506388000,2438661000,2415256000,2414138000
69,Minority Interest,683382000,619754000,434164000,369688000,311951000,233687000,- -
70,Total Liabilities & Equity,2833359000,2712237000,2775817000,2876076000,2750612000,2648943000,2414138000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1628063/000119312516501519/0001193125-16-501519-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459017003120/0001564590-17-003120-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459018003848/0001564590-18-003848-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459019005833/0001564590-19-005833-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459020008210/0001564590-20-008210-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000156459021013212/0001564590-21-013212-index.htm,https://www.sec.gov/Archives/edgar/data/1628063/000095017022003827/0000950170-22-003827-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-22338000,-51558000,-73754000,-73472000,-59397000,-105026000,93601000
74,Depreciation and Amortization,65907000,176439000,261451000,225907000,104086000,94204000,11570000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,944000,1068000,7018000,7472000,6845000,-3035000,- -
77,Change in Working Capital,-9241000,-17143000,310468000,111894000,-355693000,-42433000,1716263000
78,Accounts Receivable,-1473000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,21589000,12143000,-21462000,15056000,-8006000,20811000,- -
81,Other Working Capital,108468000,91325000,401793000,513687000,157994000,115561000,1831824000
82,Other Non-Cash Items,-17601000,-16381000,-435535000,-216902000,246499000,8976000,-1821434000
83,Cash Provided by Operating Activities,17671000,92425000,69648000,54899000,-57660000,-47314000,- -
84,CAPEX,- -,-66193000,-243105000,- -,- -,- -,- -
85,Acquisitions Net,-2630000000,-9000000,219380000,-27005000,-54193000,-43340000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-89399000,22413000,50875000,-92470000,-245297000,86208000,- -
89,Cash Used for Investing Activites,-2730399000,-52780000,27150000,-119475000,-299490000,42868000,- -
90,Debt Repayment,944000,- -,-135634000,-1355561000,- -,- -,- -
91,Common Stock Issued,1644042000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,1644042000,- -,- -,-1840000,-3523000,-85000,- -
93,Dividends Paid,-27894000,-39354000,-34248000,-39697000,-22864000,-4900000,- -
94,Other Financing Activites,-485539000,-11132000,350676000,1577297000,-10060000,20425000,- -
