,https://roic.ai/company/VUZI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,9540000,10150000,12489884,11886098,12255414,13054296,3228228,2389053,3032076,2749984,2127378,5537753,8094368,6670604,11581496,13164933
2,COGS,5770000,6780000,8788905,7609091,8452769,8314367,2341026,1582095,2101911,2183798,3290966,6214351,6326086,11078725,19307774,10714088
3,Gross Profit,3770000,3370000,3700979,4277007,3802645,4739929,887202,806958,930165,566186,-1163588,-676598,1768282,-4408121,-7726278,2450845
4,Gross Profit Ratio,0.3952,0.3320,0.2963,0.3598,0.3103,0.3631,0.2748,0.3378,0.3068,0.2059,-0.5470,-0.1222,0.2185,-0.6608,-0.6671,0.1862
5,Research and Development Exp.,1280000,2370000,3366518,2217627,2038613,2122359,1153403,1751397,1752560,3595437,6947878,6706690,10378728,8900837,7568074,11674954
6,General and Administrative Exp.,2750000,3640000,2299685,2354573,2860585,2590636,2181310,2165341,2593384,6120101,5114139,6126335,6973238,6600092,6915213,22502833
7,Selling and Marketing Exp.,- -,- -,2128625,2143628,2286475,2091512,1225154,1091514,1232520,1798041,3394580,3694913,4822639,4215611,4039772,6118929
8,"Selling, General and Administrative Exp.",2750000,3640000,4428310,4498201,5147060,4682148,3406464,3256855,3825904,7918142,8508719,9821248,11795877,10815703,10954985,28621762
9,Other Expenses,280000,270000,510133,522457,444358,468823,468817,466114,362736,435273,822939,1026891,1527581,2551850,2532014,2177827
10,Operating Expenses,4310000,6280000,8304961,7238285,7630031,7273330,5028684,5474366,5941200,11948852,16279536,17554829,23702186,22268390,21055073,42474543
11,COGS and Expenses,10080000,13060000,17093866,14847376,16082800,15587697,7369710,7056461,8043111,14132650,19570502,23769180,30028272,33347115,40362847,53188631
12,Interest Income ,- -,- -,188,63,228,1182,232,- -,- -,- -,- -,- -,- -,- -,- -,- -
