,https://roic.ai/company/BFAM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,291143000,345862000,407532000,472756000,551763000,625259000,697865000,774601000,- -,- -,878159000,973701000,1070938000,1218776000,1352999000,1458445000,1569841000,1740905000,1903182000,2062017000,1515093000,1755307000
2,COGS,248405000,295027000,347640000,400409000,459810000,509970000,559591000,617787000,- -,- -,698264000,766500000,825168000,937840000,1039397000,1100690000,1178994000,1310295000,1429927000,1539081000,1210544000,1340296000
3,Gross Profit,42738000,50835000,59892000,72347000,91953000,115289000,138274000,156814000,- -,- -,179895000,207201000,245770000,280936000,313602000,357755000,390847000,430610000,473255000,522936000,304549000,415011000
4,Gross Profit Ratio,0.1468,0.1470,0.1470,0.1530,0.1667,0.1844,0.1981,0.2024,- -,- -,0.2049,0.2128,0.2295,0.2305,0.2318,0.2453,0.2490,0.2473,0.2487,0.2536,0.2010,0.2364
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24388000,28601000,33266000,37216000,44188000,52717000,63235000,72178000,- -,- -,83601000,92938000,123373000,141827000,137683000,148164000,163967000,188939000,201591000,221496000,219563000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",24388000,28601000,33266000,37216000,44188000,52717000,63235000,72178000,- -,- -,83601000,92938000,123373000,141827000,137683000,148164000,163967000,188939000,201591000,221496000,219563000,256821000
9,Other Expenses,1904000,2213000,377000,548000,1012000,1916000,3376000,11729000,- -,- -,27631000,27427000,26933000,30075000,28999000,27989000,29642000,32561000,32569000,33621000,31652000,29172000
10,Operating Expenses,26292000,30814000,33643000,37764000,45200000,54633000,66611000,83907000,- -,- -,111232000,120365000,150306000,171902000,166682000,176153000,193609000,221500000,234160000,255117000,251215000,285993000
11,COGS and Expenses,274697000,325841000,381283000,438173000,505010000,564603000,626202000,701694000,- -,- -,809496000,886865000,975474000,1109742000,1206079000,1276843000,1372603000,1531795000,1664087000,1794198000,1461759000,1626289000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,824000,152000,85000,103000,163000,81000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88999000,82908000,83864000,40626000,34709000,41609000,43005000,44039000,47508000,45154000,37682000,36099000
14,Depreciation and Amortization,7525000,9781000,9760000,11028000,12357000,14510000,18856000,23739000,- -,- -,53320000,55451000,61348000,72808000,77447000,78666000,85284000,94776000,100943000,108269000,111662000,108830000
15,EBITDA,23297000,29717000,36033000,45673000,59453000,76452000,90123000,95876000,- -,- -,122011000,143943000,156617000,118524000,224470000,260431000,271486000,300215000,340038000,376088000,164996000,235277000
16,EBITDA ratio,0.0800,0.0859,0.0884,0.0966,0.1078,0.1223,0.1291,0.1238,- -,- -,0.1389,0.1478,0.1462,0.0972,0.1659,0.1786,0.1729,0.1724,0.1787,0.1824,0.1089,0.1340
17,Operating Income,16446000,20021000,26249000,34583000,46753000,60656000,71663000,72907000,- -,- -,68663000,86836000,95464000,109034000,146920000,181602000,197238000,205439000,239095000,267819000,53334000,129018000
18,Operating Income ratio,0.0565,0.0579,0.0644,0.0732,0.0847,0.0970,0.1027,0.0941,- -,- -,0.0782,0.0892,0.0891,0.0895,0.1086,0.1245,0.1256,0.1180,0.1256,0.1299,0.0352,0.0735
19,Total Other Income Expenses (Gains),-674000,-85000,24000,62000,343000,1286000,-396000,-770000,- -,- -,-88971000,-81249000,-83712000,-104223000,-34606000,-41446000,-54041000,-44039000,-47508000,-45154000,-37682000,-38670000
20,Income Before Tax,15772000,19936000,26273000,34645000,47096000,61942000,71267000,72137000,- -,- -,-20308000,5587000,11752000,4811000,112314000,140156000,143197000,161400000,191587000,222665000,15652000,90348000
