,https://roic.ai/company/NYC,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,26436000,47607000,58384000,62399000,70530000,62895000,70219000
2,COGS,11296000,20919000,26825000,28378000,31177000,32283000,- -
3,Gross Profit,15140000,26688000,31559000,34021000,39353000,30612000,70219000
4,Gross Profit Ratio,0.5727,0.5606,0.5405,0.5452,0.5580,0.4867,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4779000,10112000,14126000,15186000,13759000,19022000,8704000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4779000,10112000,14126000,15186000,13759000,19022000,8704000
9,Other Expenses,16759000,25586000,29539000,29690000,31161000,32900000,81901000
10,Operating Expenses,21538000,35698000,43665000,44876000,44920000,51922000,90605000
11,COGS and Expenses,32834000,56617000,70490000,73254000,76097000,84205000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3554000,7404000,11230000,13294000,17157000,19140000,-19090000
14,Depreciation and Amortization,16759000,25586000,29539000,29690000,31161000,31747000,8311000
15,EBITDA,4528000,13225000,17696000,18872000,26428000,9925000,-50208000
16,EBITDA ratio,0.1713,0.2778,0.3031,0.3024,0.3747,0.1578,-0.7150
17,Operating Income,-12413000,-12705000,-12112000,-11262000,-5580000,-22609000,-20386000
18,Operating Income ratio,-0.4695,-0.2669,-0.2075,-0.1805,-0.0791,-0.3595,-0.2903
19,Total Other Income Expenses (Gains),-3372000,-7060000,-10961000,-12850000,-16310000,-18353000,-19043000
20,Income Before Tax,-15785000,-19765000,-23073000,-24112000,-21890000,-40962000,-39429000
21,Income Before Tax Ratio,-0.5971,-0.4152,-0.3952,-0.3864,-0.3104,-0.6513,-0.5615
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-37000
23,Net Income,-15785000,-19765000,-23073000,-24112000,-21890000,-40962000,-39392000
24,Net Income ratio,-0.5971,-0.4152,-0.3952,-0.3864,-0.3104,-0.6513,-0.5610
25,EPS,-1.24,-1.55,-1.81,-1.89,-1.72,-3.21,-3.08
26,EPS Diluted,-1.24,-1.55,-1.81,-1.89,-1.72,-3.21,-3.08
27,Weighted Average Shares Outstanding,12756969,12756969,12756969,12756969,12756969,12767380,12799703
28,Weighted Average Shares Outstanding Diluted,12756969,12756969,12756969,12756969,12756969,12767380,12799703
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1595527/000159552720000004/0001595527-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1595527/000159552721000007/0001595527-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1595527/000159552722000007/0001595527-22-000007-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,47671000,39598000,47952000,51199000,30999000,11674000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,852654000
33,Cash and Short-Term Investments,- -,47671000,39598000,47952000,51199000,30999000,864328000
34,Net Receivables,- -,670000,39000,158000,21649000,22050000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,14497000,25300000,32701000,15700000,21948000,- -
37,Total Current Assets,- -,62838000,64937000,80811000,88548000,74997000,864328000
38,PP&E,- -,- -,- -,- -,- -,55375000,55167000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,91207000,77009000,66532000,61456000,50923000,87478000
41,Intangible Assets,- -,91207000,77009000,66532000,61456000,50923000,87478000
42,Investments,- -,477000,- -,- -,- -,- -,-157880000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,619082000,618504000,626399000,751352000,680551000,157880000
45,Total Non-Current Assets,- -,710766000,695513000,692931000,812808000,786849000,142645000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,773604000,760450000,773742000,901356000,861846000,823051000
48,Accounts Payable,- -,6413000,11042000,10923000,6811000,6916000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,396574000,398117000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,4558000,5120000
52,Other Current Liabilities,- -,4120000,4399000,204000,222000,-401132000,- -
53,Total Current Liabilities,- -,10533000,15441000,11127000,7033000,6916000,403237000
54,Long-Term Debt,- -,191328000,233517000,291653000,395031000,396574000,- -
55,Deferred Revenue,- -,3024000,5255000,5768000,4250000,4558000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,28528000,24753000,21514000,74493000,72231000,68678000
58,Total Non-Current Liabilities,- -,222880000,263525000,318935000,473774000,473363000,68678000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,28528000,24753000,21514000,54866000,54820000,- -
61,Total Liabilities,- -,233413000,278966000,330062000,480807000,480279000,471915000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,309000,314000,310000,310000,129000,133000
64,Retained Earnings,- -,-140604000,-210605000,-242388000,-264278000,-305882000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1000000,-3404000,-1553000
66,Other Total Stockholders Equity,- -,680486000,691775000,685758000,685517000,686715000,352556000
67,Total Stockholders Equity,- -,540191000,481484000,443680000,420549000,377558000,351136000
68,Total Liabilities And Stockholders Equity,- -,773604000,760450000,773742000,901356000,857837000,823051000
69,Minority Interest,- -,- -,- -,- -,- -,4009000,- -
70,Total Liabilities & Equity,- -,773604000,760450000,773742000,901356000,861846000,823051000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1595527/000159552720000004/0001595527-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1595527/000159552721000007/0001595527-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1595527/000159552722000007/0001595527-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-15785000,-19765000,-23073000,-24112000,-21890000,-40962000,-39392000
74,Depreciation and Amortization,16759000,25586000,29539000,29690000,31161000,31747000,8311000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,26000,61000,74000,17000,86000,3874000,2115000
77,Change in Working Capital,-5519000,50879000,-2809000,20188000,11831000,-13434000,393010000
